method,stratum,level,n,energy_scale_bias,energy_sigma68,energy_rms
1d_cnn,pedestal_drift_bin,high,1170,-0.21536558036327724,0.9954231278760952,1.1250151008450269
1d_cnn,pedestal_drift_bin,low,1198,0.06785048983084518,1.0040069302841288,0.9831183585277687
1d_cnn,pedestal_drift_bin,mid,1301,0.11130838084606376,0.8979092292556485,0.9454620665819525
1d_cnn,pid_sideband,central,2501,-0.17856189596485894,0.8501349103138063,0.8925579647529159
1d_cnn,pid_sideband,high_duplicate,582,-0.3631019925457202,0.963145581675127,1.1168412237849898
1d_cnn,pid_sideband,low_duplicate,586,0.9541047320976408,0.794167251303624,0.7956453500393946
1d_cnn,pileup_separation_bin,close,1103,0.32760410510845084,0.899298955233309,0.9572326234617187
1d_cnn,pileup_separation_bin,late,3,0.021667856154630627,0.8053728011514346,1.2532101328956529
1d_cnn,pileup_separation_bin,mid,786,-0.3765996108778351,0.7977785663937033,0.7985645052662301
1d_cnn,pileup_separation_bin,none,1777,-0.060387347943041014,1.0303521880303375,1.0967484265112306
1d_cnn,saturation_onset_bin,linear,2641,-0.023307457524025743,0.9641181913650628,1.0052817639217673
1d_cnn,saturation_onset_bin,near_saturation,1028,-0.004287863506598821,1.0038966700651444,1.0755682093913632
gradient_boosted_trees,pedestal_drift_bin,high,1170,-0.005925734986201636,0.09606289166342906,0.17736771498585174
gradient_boosted_trees,pedestal_drift_bin,low,1198,-0.006523620117709683,0.13788505213137292,0.1851333403665088
gradient_boosted_trees,pedestal_drift_bin,mid,1301,-0.007576392055749448,0.13317072455407075,0.20059757691535723
gradient_boosted_trees,pid_sideband,central,2501,-0.021618570633735068,0.12659639775107534,0.17826517066000003
gradient_boosted_trees,pid_sideband,high_duplicate,582,-0.0017600473680595141,0.05052326822128203,0.10630691590349331
gradient_boosted_trees,pid_sideband,low_duplicate,586,0.07778003743437045,0.21400732289604357,0.24059140335847942
gradient_boosted_trees,pileup_separation_bin,close,1103,-0.004372625991424961,0.09827053600069045,0.16696139408363642
gradient_boosted_trees,pileup_separation_bin,late,3,0.06658891240279408,0.19178369104674486,0.29537364389520687
gradient_boosted_trees,pileup_separation_bin,mid,786,-0.009714974265930917,0.06499953294708807,0.10717324677258781
gradient_boosted_trees,pileup_separation_bin,none,1777,-0.005115834724183976,0.1761528889177088,0.22505565688194018
gradient_boosted_trees,saturation_onset_bin,linear,2641,-0.00864122035625492,0.12725081058749782,0.18825357161099945
gradient_boosted_trees,saturation_onset_bin,near_saturation,1028,-0.003194264420776305,0.10891858195337123,0.18892471753691242
mlp,pedestal_drift_bin,high,1170,-0.01855746645308186,0.3862380718588889,0.5850373429330332
mlp,pedestal_drift_bin,low,1198,-0.07159160319517555,0.5846548248630745,0.6204238251589658
mlp,pedestal_drift_bin,mid,1301,-0.05088194193545803,0.5816242073249027,0.6140279299760916
mlp,pid_sideband,central,2501,-0.20911158264570373,0.5105161711679687,0.5350393807991487
mlp,pid_sideband,high_duplicate,582,-0.0002307607491144198,0.060422630534825675,0.20464128620378436
mlp,pid_sideband,low_duplicate,586,0.6964885852439044,0.4715961046108187,0.46919928984493703
mlp,pileup_separation_bin,close,1103,-0.022121899648479104,0.5340352020921139,0.5935497863561319
mlp,pileup_separation_bin,late,3,-0.6334436507642836,1.3943555979287752,2.0429792340153945
mlp,pileup_separation_bin,mid,786,-0.01737320252800023,0.1771192964800551,0.4444836035468349
mlp,pileup_separation_bin,none,1777,-0.07297008795303694,0.649390281018794,0.6670000478104284
mlp,saturation_onset_bin,linear,2641,-0.030348031145674526,0.5388265949526043,0.595634365959114
mlp,saturation_onset_bin,near_saturation,1028,-0.04113556309550043,0.5329716691783515,0.6334358569881178
pedestal_residual_fusion_new,pedestal_drift_bin,high,1170,-0.3445002716184562,0.8319866617686598,0.9372082004225789
pedestal_residual_fusion_new,pedestal_drift_bin,low,1198,0.009104345908942157,0.851753833964676,0.8405816410500556
pedestal_residual_fusion_new,pedestal_drift_bin,mid,1301,0.038046725061096964,0.8236317961297188,0.8278053731087965
pedestal_residual_fusion_new,pid_sideband,central,2501,-0.23356030808345274,0.6961985842666625,0.7262651528616086
pedestal_residual_fusion_new,pid_sideband,high_duplicate,582,-0.46641823858627207,0.7616005040227247,0.823699587152712
pedestal_residual_fusion_new,pid_sideband,low_duplicate,586,0.9969481369212105,0.5772120916706904,0.5762775463556701
pedestal_residual_fusion_new,pileup_separation_bin,close,1103,0.22853739622988734,0.8002148054145083,0.8867528404820437
pedestal_residual_fusion_new,pileup_separation_bin,late,3,-0.23020897490005687,0.686391640033881,1.117158570105471
pedestal_residual_fusion_new,pileup_separation_bin,mid,786,-0.3567039465603319,0.708504795141689,0.7467139436615383
pedestal_residual_fusion_new,pileup_separation_bin,none,1777,-0.15652397497764703,0.8361596345603296,0.8860024566865958
pedestal_residual_fusion_new,saturation_onset_bin,linear,2641,-0.133454552455758,0.8273871218762124,0.8563353810742983
pedestal_residual_fusion_new,saturation_onset_bin,near_saturation,1028,-0.07324839315939258,0.885763512498307,0.9593568529094249
ridge,pedestal_drift_bin,high,1170,-0.10000428833556674,0.5682899591832308,0.7452708160365354
ridge,pedestal_drift_bin,low,1198,-0.035919760637004305,0.6442883882890852,0.6560883185529196
ridge,pedestal_drift_bin,mid,1301,-0.004983294444411257,0.6480526027295794,0.6594942414546856
ridge,pid_sideband,central,2501,-0.20103613968223488,0.5449890967097009,0.5879307736410001
ridge,pid_sideband,high_duplicate,582,-0.07656794119431565,0.3234375543034876,0.6325672667495874
ridge,pid_sideband,low_duplicate,586,0.7749930099386217,0.5010618720222231,0.48843177041931085
ridge,pileup_separation_bin,close,1103,-0.026300336168164407,0.6220546768990344,0.7093785761645707
ridge,pileup_separation_bin,late,3,-0.1009677547754868,0.3935821177832515,0.5423973381641388
ridge,pileup_separation_bin,mid,786,-0.0651358929396908,0.3193760068419256,0.48356487351730876
ridge,pileup_separation_bin,none,1777,-0.07141798465389204,0.7190157732527214,0.7527026825703553
ridge,saturation_onset_bin,linear,2641,-0.047807827342690956,0.6198764278461846,0.6937588273257004
ridge,saturation_onset_bin,near_saturation,1028,-0.0879360581228461,0.6145760179939652,0.6809193978460909
traditional_state_space_gls,pedestal_drift_bin,high,1170,-0.8239332719855157,2.284257115498817,2.132936504121759
traditional_state_space_gls,pedestal_drift_bin,low,1198,0.5960972667088469,0.9721542763912802,1.12612861299662
traditional_state_space_gls,pedestal_drift_bin,mid,1301,0.6805486238883329,1.0895975319234181,1.2137797206083856
traditional_state_space_gls,pid_sideband,central,2501,0.36588145059902555,0.9061983092294419,1.0027109986350455
traditional_state_space_gls,pid_sideband,high_duplicate,582,-3.1670826823974094,1.20662543554894,2.1607469511137136
traditional_state_space_gls,pid_sideband,low_duplicate,586,1.8043756538432931,0.42844670624674874,0.41790983924215264
traditional_state_space_gls,pileup_separation_bin,close,1103,0.768054298916085,1.3269390690047789,1.4520760768172103
traditional_state_space_gls,pileup_separation_bin,late,3,-0.16827024275690228,1.370503526985949,1.674283264854139
traditional_state_space_gls,pileup_separation_bin,mid,786,-1.8125107364624689,2.306981672450927,2.0192119236244235
traditional_state_space_gls,pileup_separation_bin,none,1777,0.4617264413143962,0.9767389154847822,1.2960597541006724
traditional_state_space_gls,saturation_onset_bin,linear,2641,0.37263065280072727,1.6743345862748042,1.7346919138763817
traditional_state_space_gls,saturation_onset_bin,near_saturation,1028,0.49067880213483006,1.6088535709024079,1.6795573227476537
waveform_transformer,pedestal_drift_bin,high,1170,-2.080636851199586,2.6329720301732413,2.3331099256795804
waveform_transformer,pedestal_drift_bin,low,1198,0.5943890432933965,1.0121126462736318,1.1015501401820205
waveform_transformer,pedestal_drift_bin,mid,1301,0.6799179870431775,1.120257003055718,1.1810028825391172
waveform_transformer,pid_sideband,central,2501,0.3400613274257678,0.9584989224618994,0.9830908228953765
waveform_transformer,pid_sideband,high_duplicate,582,-4.075245698860702,0.6271819397940392,0.5864197651602351
waveform_transformer,pid_sideband,low_duplicate,586,1.7950381018778039,0.3933007090732954,0.4263198351067854
waveform_transformer,pileup_separation_bin,close,1103,0.8457904778201684,1.2624583044597852,1.5024596972292512
waveform_transformer,pileup_separation_bin,late,3,-0.10448744906392093,1.290266853074759,1.6183341020246045
waveform_transformer,pileup_separation_bin,mid,786,-2.2235598628577375,2.6235770499363524,2.3270949478175793
waveform_transformer,pileup_separation_bin,none,1777,0.2835273404809575,1.1109031048445888,1.6587148271093224
