alpha,cv_rmse_ns_mean,cv_rmse_ns_std,sample,heldout_run
100.0,2.2328105244234875,1.2752748262923281,sample_iii,44
1000.0,2.2341031541366934,1.2797658297479872,sample_iii,44
10.0,2.2432509440080506,1.265019948963975,sample_iii,44
1.0,2.2453881011908696,1.263178369052925,sample_iii,44
0.1,2.2456206089357433,1.2629808836777598,sample_iii,44
0.01,2.2456440604224692,1.2629609937086088,sample_iii,44
100.0,2.795696226637809,0.8424300893024115,sample_iii,45
10.0,2.801215755773449,0.8230701948448822,sample_iii,45
1.0,2.8027226875465496,0.819751068483357,sample_iii,45
0.1,2.802891024391001,0.819396484515637,sample_iii,45
0.01,2.8029080482169375,0.8193607854330107,sample_iii,45
1000.0,2.8049926232306497,0.8682462055595291,sample_iii,45
100.0,2.729595826313685,0.6624376237591142,sample_iii,46
10.0,2.731374232734803,0.6504264988555927,sample_iii,46
1.0,2.732107543134675,0.6484889440949344,sample_iii,46
0.1,2.7321911051760024,0.648283583953798,sample_iii,46
0.01,2.732199571464893,0.6482629253976518,sample_iii,46
1000.0,2.7420603210039967,0.6821077700901246,sample_iii,46
100.0,2.7102692688296974,0.8132073653135268,sample_iii,47
10.0,2.7154206036460566,0.7964400327245081,sample_iii,47
1.0,2.7167981332499465,0.7935488326697289,sample_iii,47
0.1,2.716951534161859,0.793239674700219,sample_iii,47
0.01,2.7169670424896615,0.7932085458934358,sample_iii,47
1000.0,2.720267871720462,0.8344616146454313,sample_iii,47
100.0,2.6502279009874687,1.2956237888829993,sample_iii,48
1000.0,2.6525100191616993,1.3157238614732405,sample_iii,48
10.0,2.659211930715279,1.279580020980574,sample_iii,48
1.0,2.661204279546264,1.276817086701408,sample_iii,48
0.1,2.6614227940307966,1.2765218604678,sample_iii,48
0.01,2.6614448519872367,1.276492136915626,sample_iii,48
100.0,2.4048323331417736,1.0319634368659227,sample_iii,49
10.0,2.4073247267869577,1.0219556273968706,sample_iii,49
1.0,2.4082020534664914,1.020138711380306,sample_iii,49
0.1,2.40830165461313,1.0199432375936177,sample_iii,49
0.01,2.408311743017643,1.0199235432005294,sample_iii,49
1000.0,2.416652004849399,1.0400159866933876,sample_iii,49
100.0,2.7489221489702795,0.6409577044349019,sample_iii,50
10.0,2.7533358697491357,0.6216935397363769,sample_iii,50
1.0,2.754508072587405,0.6185810822394147,sample_iii,50
0.1,2.7546384560457975,0.6182510678257077,sample_iii,50
0.01,2.7546516357278192,0.6182178680430702,sample_iii,50
1000.0,2.756885219517353,0.6719385704363908,sample_iii,50
100.0,2.734777879024818,0.6525746353618281,sample_iii,51
10.0,2.7381352532476315,0.636576011450338,sample_iii,51
1.0,2.739117888213076,0.6339904602017259,sample_iii,51
0.1,2.739227832951999,0.6337163176274951,sample_iii,51
0.01,2.7392389528504717,0.6336887386653172,sample_iii,51
1000.0,2.7444820962935497,0.6781297946547844,sample_iii,51
100.0,2.7340031126171036,0.6527061778958629,sample_iii,52
10.0,2.7371806879040372,0.6369726539630521,sample_iii,52
1.0,2.7381286202436046,0.6344361372451942,sample_iii,52
0.1,2.738234789593746,0.6341672902316551,sample_iii,52
0.01,2.7382455286643608,0.6341402450243239,sample_iii,52
1000.0,2.743910896761737,0.6779833069245418,sample_iii,52
100.0,2.7267783219311252,0.6646154039821073,sample_iii,53
10.0,2.728023864326522,0.6528680415057792,sample_iii,53
1.0,2.728679470291988,0.6509639811758824,sample_iii,53
0.1,2.728754908099828,0.6507620401678433,sample_iii,53
0.01,2.7287625582691675,0.650741724195796,sample_iii,53
1000.0,2.740199878455406,0.6835537297649312,sample_iii,53
100.0,2.7280511125386018,0.6604295602494739,sample_iii,54
10.0,2.729981229001651,0.647089600312886,sample_iii,54
1.0,2.730765828066781,0.6449295165644585,sample_iii,54
0.1,2.7308552144265725,0.6447004399482693,sample_iii,54
0.01,2.7308642706803505,0.6446773942059217,sample_iii,54
1000.0,2.740857963810016,0.6818252129813349,sample_iii,54
100.0,2.7334342305978327,0.6540759890630149,sample_iii,55
10.0,2.736426509058014,0.63870665924065,sample_iii,55
1.0,2.737343495246089,0.63622892030899,sample_iii,55
0.1,2.7374463610886,0.6359663106758825,sample_iii,55
0.01,2.7374567675811092,0.6359398930178998,sample_iii,55
1000.0,2.743683195830598,0.6787663322876379,sample_iii,55
100.0,2.705977528981813,0.8151985019135709,sample_iii,56
10.0,2.7098717182773173,0.8010360292099912,sample_iii,56
1.0,2.7110552768898897,0.7986067756136463,sample_iii,56
0.1,2.7111882954391486,0.7983471788842902,sample_iii,56
0.01,2.7112017552767362,0.7983210420532066,sample_iii,56
1000.0,2.7177180793291846,0.8339317462149107,sample_iii,56
100.0,2.6790728999558366,1.0906318862976738,sample_iii,57
10.0,2.6840833318912267,1.0716015430692494,sample_iii,57
1.0,2.685486260880778,1.0683827336079854,sample_iii,57
0.1,2.6856429877204406,1.0680393353818962,sample_iii,57
0.01,2.6856588371399694,1.0680047671070216,sample_iii,57
1000.0,2.6901257064485167,1.1178966457000705,sample_iii,57
0.1,1.2500106924947818,0.1503691150111756,sample_iv,58
0.01,1.25984374230375,0.12948664619327976,sample_iv,58
1.0,1.3158056079756373,0.24901304573131994,sample_iv,58
10.0,1.4073759550592504,0.2645428886274452,sample_iv,58
100.0,1.444179496351545,0.26187430955170893,sample_iv,58
1000.0,1.4698218653402053,0.265756314606593,sample_iv,58
0.1,1.238774660612163,0.10585976666044081,sample_iv,59
0.01,1.241144244289417,0.10295168291397323,sample_iv,59
1.0,1.3294343225592002,0.15030567112920154,sample_iv,59
10.0,1.437833863922917,0.18253625883596278,sample_iv,59
100.0,1.4815133024697804,0.18546033997130124,sample_iv,59
1000.0,1.5063675145274307,0.17874310715284403,sample_iv,59
0.01,1.2192410579324915,0.1199551077456746,sample_iv,60
0.1,1.2232931218533534,0.12969568467652492,sample_iv,60
1.0,1.3278118582995064,0.18379103602256697,sample_iv,60
10.0,1.4200396126298307,0.2452085193341791,sample_iv,60
100.0,1.440178806881438,0.2776972628387184,sample_iv,60
1000.0,1.452179837731754,0.28038516330456004,sample_iv,60
0.1,1.2272003517355135,0.11519633261326943,sample_iv,61
0.01,1.2349642716654436,0.13218123785227814,sample_iv,61
1.0,1.2758061911530916,0.17829821451908193,sample_iv,61
10.0,1.3438717442548285,0.20033206385208707,sample_iv,61
100.0,1.3769439942539508,0.19583009164121964,sample_iv,61
1000.0,1.392580817427833,0.20072497824287425,sample_iv,61
0.1,1.233605824155146,0.11555052678310168,sample_iv,62
0.01,1.2365889902979894,0.11203657927534942,sample_iv,62
1.0,1.3068196542295092,0.13314179988402539,sample_iv,62
10.0,1.3993482424571175,0.13619204584824665,sample_iv,62
100.0,1.4297033708982565,0.12917882809091197,sample_iv,62
1000.0,1.451403918505035,0.12235593325620626,sample_iv,62
0.1,1.2208436958165634,0.12281416925940354,sample_iv,63
0.01,1.229262397780855,0.12405889273010404,sample_iv,63
1.0,1.289202140031127,0.22925471428241778,sample_iv,63
10.0,1.3750272688827858,0.27092951133924986,sample_iv,63
100.0,1.4147455858677747,0.2726764464407197,sample_iv,63
1000.0,1.435275226968343,0.27398050951334013,sample_iv,63
0.1,1.1860960673574426,0.09183169283926654,sample_iv,65
0.01,1.1932895470403815,0.05417606808810004,sample_iv,65
1.0,1.2655948484473791,0.2323972324120521,sample_iv,65
10.0,1.365465189419604,0.2611297227960743,sample_iv,65
100.0,1.4055614205445048,0.25119518055524404,sample_iv,65
1000.0,1.4280763825660217,0.2470047024033105,sample_iv,65
