method,feature_set,params,cv_rmse_ns,pool
ridge,safe,"{""alpha"": 0.1}",0.9836093435037432,run64_only
ridge,safe,"{""alpha"": 1.0}",1.0968982532458724,run64_only
ridge,safe,"{""alpha"": 10.0}",1.1182824034228458,run64_only
ridge,safe,"{""alpha"": 100.0}",1.1489115271776895,run64_only
ridge,safe,"{""alpha"": 1000.0}",1.1962060404243289,run64_only
gradient_boosted_trees,safe,fallback_ridge_small_pool,,run64_only
mlp,safe,fallback_ridge_small_pool,,run64_only
cnn1d,safe,fallback_ridge_small_pool,0.9836093435037432,run64_only
leakage_gated_cnn_new,safe,fallback_ridge_small_pool,0.9836093435037432,run64_only
ridge,safe_no_tail,"{""alpha"": 0.1}",1.0736888913075129,run64_only
ridge,safe_no_tail,"{""alpha"": 1.0}",1.105420474588628,run64_only
ridge,safe_no_tail,"{""alpha"": 10.0}",1.1180289192932842,run64_only
ridge,safe_no_tail,"{""alpha"": 100.0}",1.1561650669322314,run64_only
ridge,safe_no_tail,"{""alpha"": 1000.0}",1.1992926636637844,run64_only
ridge,waveform_only,"{""alpha"": 0.1}",0.49514724785490827,run64_only
ridge,waveform_only,"{""alpha"": 1.0}",0.7176330080403589,run64_only
ridge,waveform_only,"{""alpha"": 10.0}",0.9466332741583164,run64_only
ridge,waveform_only,"{""alpha"": 100.0}",1.1133727043173196,run64_only
ridge,waveform_only,"{""alpha"": 1000.0}",1.1890831965666098,run64_only
cnn1d,waveform_only,fallback_ridge_small_pool,0.49514724785490827,run64_only
leakage_gated_cnn_new,waveform_only,fallback_ridge_small_pool,0.49514724785490827,run64_only
ridge,run_only,"{""alpha"": 0.1}",1.2083862466376865,run64_only
ridge,run_only,"{""alpha"": 1.0}",1.2083862466376865,run64_only
ridge,run_only,"{""alpha"": 10.0}",1.2083862466376865,run64_only
ridge,run_only,"{""alpha"": 100.0}",1.2083862466376865,run64_only
ridge,run_only,"{""alpha"": 1000.0}",1.2083862466376865,run64_only
ridge,safe,"{""alpha"": 100.0}",2.2375082121262952,sample_iii_early
ridge,safe,"{""alpha"": 1000.0}",2.2376812467505074,sample_iii_early
ridge,safe,"{""alpha"": 10.0}",2.2516252822043175,sample_iii_early
ridge,safe,"{""alpha"": 1.0}",2.2552112799335604,sample_iii_early
ridge,safe,"{""alpha"": 0.1}",2.2556157092939033,sample_iii_early
gradient_boosted_trees,safe,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 60}",2.7862424649075583,sample_iii_early
