pool,comparison,delta_median_ns,ci_low_ns,ci_high_ns,pair_ci_low_ns,pair_ci_high_ns,p_value
run64_only,ridge_minus_traditional,-0.13711833837935683,-0.44021423473446086,0.31885454706592065,-0.5988299627916707,0.31386548429000377,0.484
run64_only,gradient_boosted_trees_minus_traditional,-0.1512000868506589,-0.4538103897495609,0.31960781922069026,-0.6122537561874232,0.3719385393963929,0.448
run64_only,mlp_minus_traditional,-0.14468241644912005,-0.45966185190634457,0.32083425517532294,-0.5553582406290604,0.3662467685422489,0.512
run64_only,cnn1d_minus_traditional,-0.15297490719813622,-0.4956406162911927,0.412752962510525,-0.5908045925801899,0.3407966325001576,0.552
run64_only,leakage_gated_cnn_new_minus_traditional,-0.1481561481711321,-0.4520193662622693,0.2959719764323243,-0.6022764328369431,0.30609801773885903,0.46
run64_only,ridge__safe_no_tail_minus_traditional,-0.10342818352568983,-0.5163674678919304,0.2866928335714899,-0.533330193387652,0.30884977276684067,0.66
run64_only,ridge__waveform_only_minus_traditional,1.5768062001824208,0.3887876665616879,4.241396098618538,0.4183464748105892,3.652551604452287,0.0
run64_only,cnn1d__waveform_only_minus_traditional,1.4117260182509612,0.2819740140952429,4.112877262921259,0.559181141835696,3.692939771041968,0.0
run64_only,leakage_gated_cnn_new__waveform_only_minus_traditional,1.4458119686411122,0.3825158124402262,4.386635603976995,0.4884328852842402,3.7437784200958086,0.0
run64_only,ridge__run_only_minus_traditional,-0.24013283514053452,-0.5798097868479551,0.1830300527349859,-0.5941686746439868,0.21599996172089675,0.284
sample_iii_early,ridge_minus_traditional,-0.06649887996657611,-0.2221545594026481,0.09127718347502348,-0.22858843843374965,0.1466483919175248,0.356
sample_iii_early,gradient_boosted_trees_minus_traditional,-0.03181336619271913,-0.22701248661905749,0.27372378651771245,-0.2037565416149415,0.22380059843650169,0.836
sample_iii_early,mlp_minus_traditional,0.12344889935178327,-0.14255804689103058,0.6481022604493463,-0.1267813503729075,0.4062555942844534,0.428
sample_iii_early,cnn1d_minus_traditional,-0.0005471157038746677,-0.1882391201601925,0.26237639747438757,-0.21842169790567925,0.24807024443833023,0.992
sample_iii_early,leakage_gated_cnn_new_minus_traditional,-0.044770178062394805,-0.25130997612527406,0.19071477554997207,-0.24894378316375604,0.19820981864965828,0.732
sample_iii_early,ridge__safe_no_tail_minus_traditional,-0.07596197252449577,-0.16992875801551113,0.015638285435858306,-0.17392138085082526,0.11534782699950903,0.08
sample_iii_early,ridge__waveform_only_minus_traditional,0.43179781860499644,0.11439318406658211,1.0123747871413002,0.1262799368814237,0.965410803537727,0.016
sample_iii_early,cnn1d__waveform_only_minus_traditional,-0.0462596415456501,-0.35371235205252327,0.4622719341781361,-0.42195929661120335,0.6418653232372212,0.868
sample_iii_early,leakage_gated_cnn_new__waveform_only_minus_traditional,-0.39823321178124094,-0.6830570105793009,0.08566001295068613,-0.6779785439124741,-0.08043706339531069,0.076
sample_iii_early,ridge__run_only_minus_traditional,0.05794104460802629,-0.08835716696035897,0.23499585218388278,-0.12450671431508811,0.23360787854163845,0.336
sample_iii_late,ridge_minus_traditional,0.7656752765162342,0.3714446183671652,1.4261969587647405,0.37376109448349176,1.1875807595159669,0.0
sample_iii_late,gradient_boosted_trees_minus_traditional,-0.04470254041717858,-0.2024513611445317,0.15641395970543534,-0.2893306366667955,0.18404513564592215,0.608
sample_iii_late,mlp_minus_traditional,0.25636061853062575,0.12611905639473148,0.51535307520633,0.03225650415019206,0.5239736345483846,0.0
sample_iii_late,cnn1d_minus_traditional,0.8919749279586381,0.5443381813256734,1.5756973550278235,0.4491709783009729,1.4026229748316779,0.0
sample_iii_late,leakage_gated_cnn_new_minus_traditional,0.7772853339299176,0.26061150601977384,1.3032153495591363,0.20190834170519076,1.1389990403579562,0.0
sample_iii_late,ridge__safe_no_tail_minus_traditional,0.5062384849280988,0.17048534999525075,0.9061968589721044,0.1357702835163585,0.7784955419483285,0.0
sample_iii_late,ridge__waveform_only_minus_traditional,0.5351470873361803,0.22045447592019557,1.5308203781643743,0.13427384202931714,1.0507999767739111,0.0
sample_iii_late,cnn1d__waveform_only_minus_traditional,0.38932848749147786,0.07791745193605237,1.1322091623022579,-0.019302362781129526,1.078016741222109,0.008
sample_iii_late,leakage_gated_cnn_new__waveform_only_minus_traditional,0.6203320166423443,0.29630463683406033,1.5775247827870011,0.09053533624695008,1.3751658878082917,0.0
sample_iii_late,ridge__run_only_minus_traditional,0.10024839393413132,-0.04212935030251014,0.24490601679674143,-0.116570203850028,0.24527516388655504,0.132
sample_iii_mixed,ridge_minus_traditional,0.3955242697511838,0.06245107771960111,0.8462614179646271,0.03277070534210918,0.6905531916110582,0.008
sample_iii_mixed,gradient_boosted_trees_minus_traditional,-0.13094078945217902,-0.27004421183540894,0.04552105815907156,-0.28021840665036457,0.05860736790837207,0.184
sample_iii_mixed,mlp_minus_traditional,1.1214365931334642,0.12494883402390755,2.136166438670814,0.2677262678327862,1.984955914142316,0.004
sample_iii_mixed,cnn1d_minus_traditional,0.24934668849071273,-0.00695539240231116,0.5499842781658161,-0.05438436791187502,0.5428043550582634,0.068
sample_iii_mixed,leakage_gated_cnn_new_minus_traditional,0.052972098859739525,-0.13321640763993292,0.33045282104312484,-0.18293670424884084,0.3344747207242788,0.544
sample_iii_mixed,ridge__safe_no_tail_minus_traditional,0.22526525104808648,-0.05096758740769536,0.4585018560066201,-0.0686900604813937,0.4103651787659353,0.108
sample_iii_mixed,ridge__waveform_only_minus_traditional,0.3368472427257003,0.09897174674577867,0.6353158523017992,0.00306784375732546,0.6659472975429919,0.004
sample_iii_mixed,cnn1d__waveform_only_minus_traditional,0.2136506791151166,-0.07801754302817283,0.49901098870256266,-0.16727431785963642,0.532763401929885,0.2
sample_iii_mixed,leakage_gated_cnn_new__waveform_only_minus_traditional,0.0781388477141709,-0.13081428267439638,0.8757674564121443,-0.29400124765037766,1.1667361959168074,0.48
sample_iii_mixed,ridge__run_only_minus_traditional,0.08784000071068132,-0.05396711119041431,0.22638548203505476,-0.11417120174575142,0.2335227199843226,0.168
