method,n_pairs,median_ns,robust_width_ns,full_rms_ns,tail_fraction_abs_gt_5ns,within_abs_2ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2_ndf,fit_window_ns,pool,pair_ci_low_ns,pair_ci_high_ns,robust_ci_low_ns,robust_ci_high_ns
traditional,127,-0.52603845642669,1.7936260637768346,1.7370391554517675,0.0,0.7086614173228346,1.9921763970438024,0.5288116634217912,-0.08294304200800275,1.5356428395497537,2.5,run64_only,1.337968086091621,2.158542501440567,1.3751873497417588,2.0813933757541054
ridge,127,0.05585501996958797,1.662377525302948,1.580150401108459,0.0,0.7716535433070866,1.5836290694801958,0.2537313589725578,-0.12067953721610158,0.66822480228587,2.5,run64_only,1.3350344849244284,1.9406658565931845,1.432248647301152,1.9328176814947298
gradient_boosted_trees,127,0.05585501996958797,1.662377525302948,1.580150401108459,0.0,0.7716535433070866,1.5836290694801958,0.2537313589725578,-0.12067953721610158,0.66822480228587,2.5,run64_only,1.3571976344660341,1.9244425313949625,1.4043276794886463,1.9477776831854519
mlp,127,0.05585501996958797,1.662377525302948,1.580150401108459,0.0,0.7716535433070866,1.5836290694801958,0.2537313589725578,-0.12067953721610158,0.66822480228587,2.5,run64_only,1.3334919597877408,1.932588354520753,1.416833352552112,1.9730836526159667
cnn1d,127,0.05585501996958797,1.662377525302948,1.580150401108459,0.0,0.7716535433070866,1.5836290694801958,0.2537313589725578,-0.12067953721610158,0.66822480228587,2.5,run64_only,1.3379565498308588,1.9235598109465852,1.409938497049818,1.924860007589963
leakage_gated_cnn_new,127,0.05585501996958797,1.662377525302948,1.580150401108459,0.0,0.7716535433070866,1.5836290694801958,0.2537313589725578,-0.12067953721610158,0.66822480228587,2.5,run64_only,1.3086843214305135,1.8994723292642848,1.40755252795653,1.9400957811796502
ridge__safe_no_tail,127,0.036966245624622474,1.73605771660491,1.5979182901604174,0.0,0.7716535433070866,2.653930377332299,1.1621248847094194,0.8413461226796107,1.8503882251412223,2.5,run64_only,1.3620255596287392,1.924606158567852,1.4318448808108322,1.850319473196688
ridge__waveform_only,127,0.459409426567575,3.073433245868967,5.01949074088913,0.18110236220472442,0.5826771653543307,4.16921410247241,5.080856043917738,-2.0591811169844787,1.0019656363344418,2.5,run64_only,2.287441507645487,5.284361294914338,2.1069509758520897,6.241301650626849
cnn1d__waveform_only,127,0.459409426567575,3.073433245868967,5.01949074088913,0.18110236220472442,0.5826771653543307,4.16921410247241,5.080856043917738,-2.0591811169844787,1.0019656363344418,2.5,run64_only,2.3124649457807647,5.371210139128931,2.175581903098708,5.886822216151166
leakage_gated_cnn_new__waveform_only,127,0.459409426567575,3.073433245868967,5.01949074088913,0.18110236220472442,0.5826771653543307,4.16921410247241,5.080856043917738,-2.0591811169844787,1.0019656363344418,2.5,run64_only,2.314261012788204,5.348929217487844,2.147072169468704,5.917936423477416
ridge__run_only,127,-0.22213974014581428,1.6099706543209522,1.4992425001417917,0.0,0.8267716535433071,1.8749892887759023,0.4369641867809996,-0.05268347755626,2.0220707908458113,2.5,run64_only,1.3451826961024753,1.7323523088808364,1.2213840358549295,1.7011931633228041
traditional,127,0.06296879264721156,1.5577453031744022,1.490313100691901,0.0,0.84251968503937,1.7820620691151132,0.38482828270366,-0.27351654854649227,1.028143535874907,2.5,sample_iii_early,1.3007478385876874,1.6859240663396002,1.2890279289148736,1.6860275931430038
ridge,127,0.2647016471184944,1.4651454487542614,1.4626346079537056,0.0,0.84251968503937,1.776279846294197,0.3526410096680453,-0.1690740189369698,0.7929073681535399,2.5,sample_iii_early,1.2886758052521408,1.696211165601429,1.2843480774745426,1.6538566754453725
gradient_boosted_trees,127,-0.5747044731342532,1.517263018538468,1.7741498647781049,0.023622047244094488,0.8031496062992126,1.5127889786565236,0.25820263734312415,0.16802564677432483,0.8516370091021817,2.5,sample_iii_early,1.2982011119596715,1.7738623337449828,1.2617657880191335,1.7677631501418443
mlp,127,-0.519543355799926,1.6238727395148365,2.2854835948131766,0.023622047244094488,0.8031496062992126,1.9128784958200815,0.535753287180666,0.05105237709451537,0.8556241281585506,2.5,sample_iii_early,1.4020407785667814,1.9348782963123006,1.3990589340471462,1.8893639787002752
cnn1d,127,0.046171990533537155,1.510113611720293,1.4867723649964324,0.0,0.8346456692913385,1.9449131092535956,0.49749911630583504,-0.11202768564570606,2.310481848659688,2.5,sample_iii_early,1.2842068944115257,1.8181977064969086,1.302282140864443,1.716544496055006
leakage_gated_cnn_new,127,0.035055261762757084,1.4537904918591442,1.4467183301890512,0.0,0.84251968503937,1.8648132512842057,0.4804383019671951,-0.04038803639608474,1.2468836037644153,2.5,sample_iii_early,1.2676634374275704,1.6865987312854216,1.3181290366069633,1.6249861874271083
ridge__safe_no_tail,127,0.07671504433030707,1.4579300416558276,1.4732676964793792,0.0,0.8267716535433071,2.017108072720638,0.57903567593293,-0.013138042571287928,2.086386288265609,2.5,sample_iii_early,1.2514953584783317,1.7011185538017188,1.2152107823426073,1.5896448553507427
ridge__waveform_only,127,-0.21793869477166083,1.897074633599786,2.321070092577458,0.05511811023622047,0.6850393700787402,2.2872885361804642,0.7848824546147254,-0.11211406781871311,0.6501024960454408,2.5,sample_iii_early,1.6369384119477104,2.3982980927670114,1.7409800890228084,2.412999247991552
cnn1d__waveform_only,127,-0.218798924589251,1.4640854283095137,2.531800382071178,0.031496062992125984,0.8031496062992126,1.32895410764955,0.20341307898840852,-0.07774155893927688,1.2541542339869274,2.5,sample_iii_early,1.1658431687116704,2.160420830258032,1.1491750444945639,1.856744578458155
leakage_gated_cnn_new__waveform_only,127,-0.2068311882117655,1.1264952290747023,1.5848628297866723,0.023622047244094488,0.84251968503937,1.1601064046132512,0.1481351689134143,-0.05093668604129779,1.4622321373038702,2.5,sample_iii_early,0.9168222823079133,1.35334093024952,0.8907553040638783,1.5069506827822527
ridge__run_only,127,-0.5144750991841054,1.5953919552424969,1.501893744960252,0.0,0.8267716535433071,2.091627809385842,0.6067997345732435,0.20330322011023788,2.5028897664013128,2.5,sample_iii_early,1.3685491835826658,1.7395463781878036,1.250128165180434,1.700989499351088
traditional,127,-0.03243820851864854,1.456624277722887,1.4720366872656505,0.0,0.84251968503937,2.037470731479423,0.6010953778214176,-0.18659652258183215,1.8483466555955372,2.5,sample_iii_late,1.2885374764158235,1.727925085076226,1.2548052495441677,1.6435189095949323
ridge,127,1.0198986420993368,2.274561227747005,2.2120189057343715,0.023622047244094488,0.6062992125984252,6.358039054868672,16.012734457418826,-1.1244110909186096,0.7884550114532172,2.5,sample_iii_late,1.8708650742201183,2.654062889418577,1.921399017378876,2.8229218495294885
gradient_boosted_trees,127,-0.5089382544947778,1.4352446682580107,5.90932368322061,0.015748031496062992,0.8267716535433071,1.5941834884798691,0.27891618571017496,0.11653856490532363,1.0767006339371066,2.5,sample_iii_late,1.1980140758183264,1.6728145389674185,1.1621848887350035,1.5989750463899914
mlp,127,0.7848089779247398,1.7737768087726762,1.7341061002046834,0.007874015748031496,0.7401574803149606,2.7773900428902953,1.31921492894509,-0.7668945663158694,1.6429788588224947,2.5,sample_iii_late,1.5094526292147765,2.010586422853924,1.5665432762693519,1.976176720719028
cnn1d,127,0.7188621980172627,2.3482866399778577,2.3479697682435132,0.05511811023622047,0.6299212598425197,45.226650092094154,6830.643617753443,-328.34785702197496,1.3995850737287376,2.5,sample_iii_late,1.9144930205800852,2.9166594569919875,1.9588132397953506,2.9335355826530525
leakage_gated_cnn_new,127,0.17009305464765845,2.289600850041265,2.2847554298758945,0.06299212598425197,0.6614173228346457,1.8542065491365511,0.4760917381367827,-0.33934685682923965,1.0385080789226977,2.5,sample_iii_late,1.7434314352642273,2.5894749355332944,1.6206020752058823,2.668047279600604
ridge__safe_no_tail,127,0.7975618234657995,1.961364988718437,1.8992370645846248,0.007874015748031496,0.6771653543307087,3.1916708670078378,2.1177594834287214,0.686376459053509,1.52014782108492,2.5,sample_iii_late,1.6205876409851248,2.2790217277821636,1.6729541627799491,2.3101494376706637
ridge__waveform_only,127,-0.5630200882445209,1.9621190069541203,4.19409612549459,0.08661417322834646,0.6614173228346457,2.3441579623094464,0.8585800954406094,-0.39573315204251525,1.0292800673656088,2.5,sample_iii_late,1.7473547231315287,2.690400953550573,1.8203743033581468,3.0509950424885663
cnn1d__waveform_only,127,-0.3693593035959992,1.8316059789502273,2.481187036145288,0.05511811023622047,0.6929133858267716,1.8521192943062592,0.48018145485511843,-0.30065607092224783,1.2967766079596728,2.5,sample_iii_late,1.562975042853005,2.52325818561547,1.563626953212519,2.4127799149823126
leakage_gated_cnn_new__waveform_only,127,0.6609087290759632,2.053058755099877,2.66516748226251,0.07874015748031496,0.6614173228346457,2.25770863274633,0.7545133327223014,-0.638758695566081,1.6777290059117975,2.5,sample_iii_late,1.6537088948668823,2.7434097613982544,1.7397950280079386,2.8743158458348326
ridge__run_only,127,-0.4119724255144668,1.5950687912419461,1.5010914747109514,0.0,0.8267716535433071,1.9428007200053314,0.4901078579274272,0.18687182020517354,2.485203718473225,2.5,sample_iii_late,1.3438057863190342,1.7410803801652515,1.312204694197609,1.704413547537446
traditional,127,0.035379553577293166,1.4921094019259467,1.476962066204108,0.0,0.8503937007874016,1.6829194724736605,0.33717264679829667,0.14586604642198495,1.0460414540403227,2.5,sample_iii_mixed,1.2855732722937097,1.7216237734335424,1.230950491200146,1.6578654399196655
ridge,127,0.686097948421919,1.8636634425445948,1.7809474203859552,0.0,0.7165354330708661,2.417880511535298,0.9314022095216845,-0.10817302111175704,1.8653377211458722,2.5,sample_iii_mixed,1.525194788076906,2.209090197079976,1.59298143609926,2.2947134509698333
gradient_boosted_trees,127,-0.4535712447873528,1.3702898462484696,1.3866585467156292,0.0,0.8582677165354331,1.4754758526115639,0.2220596181135372,-0.016201663784215857,0.7595823002613455,2.5,sample_iii_mixed,1.1738488357988044,1.5823656959589585,1.1740836958470309,1.5666484067860849
