method,n_pairs,median_ns,robust_width_ns,full_rms_ns,tail_fraction_abs_gt_5ns,within_abs_2ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2_ndf,fit_window_ns,pool,support_fraction
traditional,73,-0.183924175620092,1.6834694841574454,1.5643787180528594,0.0,0.7808219178082192,5.843676759688484,19.634534740487293,2.518385171051915,0.7292197307440277,2.5,run64_only,0.5748031496062992
ridge,73,-0.33431507476981537,1.4214610171683915,1.541937779965783,0.0,0.821917808219178,2.3329754777555545,1.1156149131847763,0.17432107588330384,0.5420689582751591,2.5,run64_only,0.5748031496062992
gradient_boosted_trees,73,-0.33431507476981537,1.4214610171683915,1.541937779965783,0.0,0.821917808219178,2.3329754777555545,1.1156149131847763,0.17432107588330384,0.5420689582751591,2.5,run64_only,0.5748031496062992
mlp,73,-0.33431507476981537,1.4214610171683915,1.541937779965783,0.0,0.821917808219178,2.3329754777555545,1.1156149131847763,0.17432107588330384,0.5420689582751591,2.5,run64_only,0.5748031496062992
cnn1d,73,-0.33431507476981537,1.4214610171683915,1.541937779965783,0.0,0.821917808219178,2.3329754777555545,1.1156149131847763,0.17432107588330384,0.5420689582751591,2.5,run64_only,0.5748031496062992
leakage_gated_cnn_new,73,-0.33431507476981537,1.4214610171683915,1.541937779965783,0.0,0.821917808219178,2.3329754777555545,1.1156149131847763,0.17432107588330384,0.5420689582751591,2.5,run64_only,0.5748031496062992
ridge__safe_no_tail,73,-0.20870095028604085,1.5752174759153754,1.6123055149919852,0.0136986301369863,0.7808219178082192,1.7567409536647673,0.5538886525500469,-0.06780814292820281,0.9605336356013188,2.5,run64_only,0.5748031496062992
ridge__waveform_only,73,-0.041816736646914876,1.8908310524545149,3.046104001156207,0.0547945205479452,0.684931506849315,5.906740897809535,17.9469274428534,-1.7507259273235998,0.9392844073130405,2.5,run64_only,0.5748031496062992
cnn1d__waveform_only,73,-0.041816736646914876,1.8908310524545149,3.046104001156207,0.0547945205479452,0.684931506849315,5.906740897809535,17.9469274428534,-1.7507259273235998,0.9392844073130405,2.5,run64_only,0.5748031496062992
leakage_gated_cnn_new__waveform_only,73,-0.041816736646914876,1.8908310524545149,3.046104001156207,0.0547945205479452,0.684931506849315,5.906740897809535,17.9469274428534,-1.7507259273235998,0.9392844073130405,2.5,run64_only,0.5748031496062992
ridge__run_only,73,-0.32697771763841477,1.607925514333878,1.5499237310240979,0.0,0.8356164383561644,42.74399212122208,8611.46892679471,268.9666612015509,1.5960266918010992,2.5,run64_only,0.5748031496062992
