sample,run,event,amp_left,amp_right,peak_left,peak_right,area_left,area_right,tail_left,tail_right,raw_residual_ns
sample_iii,31,5240,1068.5,2081.5,4.0,5.0,2422.0,11151.0,-0.935177539223782,-0.0006277463904582549,1.3942466685636177
sample_iii,31,5331,3059.0,2703.0,8.0,6.0,25179.0,20720.0,0.30557210373724136,0.3302123552123552,4.647908430870984
sample_iii,31,5681,2716.5,1757.5,6.0,7.0,20026.0,13003.0,0.3253770098871467,0.35130354533569175,2.0335728418202663
sample_iii,31,5722,2994.0,1343.0,8.0,7.0,24558.0,9458.0,0.3212395146184543,0.29900613237470924,3.544884343655916
sample_iii,31,5937,1659.0,1206.5,4.0,5.0,928.0,3433.0,-6.552801724137931,-0.6591902126420041,1.1696406382026936
sample_iii,31,6070,1912.0,2270.5,7.0,7.0,13673.0,16719.0,0.34220726980179916,0.3946408278007058,5.476437498631995
sample_iii,31,6123,3162.0,1613.5,8.0,7.0,26724.0,11536.0,0.32308037718904353,0.30123092926490985,5.0774231840387145
sample_iii,31,6185,2852.0,1298.5,6.0,7.0,21998.0,9061.0,0.34357668878989,0.33108928374351615,5.064480633802816
sample_iii,31,6479,2952.0,1915.0,6.0,7.0,24029.0,13432.0,0.36139664571975527,0.36547051816557474,6.544229265478073
sample_iii,31,6657,1065.0,2650.0,7.0,7.0,8064.0,19748.0,0.3392857142857143,0.3600870974275876,3.2236712251515556
sample_iii,31,6940,2664.0,1147.0,6.0,7.0,20523.0,7830.0,0.33435657554938364,0.313154533844189,4.93991755929472
sample_iii,31,6954,1573.5,1215.0,6.0,7.0,11422.0,8948.0,0.293293643845211,0.33616450603486814,2.8404529523629947
sample_iii,31,7060,3236.0,1638.5,6.0,7.0,26878.0,11592.0,0.37923208572066375,0.3642167011732229,5.79618267513807
sample_iii,31,7075,2278.0,1162.0,6.0,7.0,16501.0,8541.0,0.30628446760802375,0.33380166256878585,3.0614859583230043
sample_iii,31,7104,3162.0,1787.0,5.0,7.0,26502.0,13043.0,0.35593540110180366,0.36801349382810705,4.969347604585408
sample_iii,31,7361,1117.0,2418.5,7.0,7.0,7772.0,18063.0,0.3403242408646423,0.4281127166030006,2.6301033818118142
sample_iii,31,7401,3740.0,2436.5,6.0,7.0,34922.0,17346.0,0.4670121986140542,0.39294361812521617,6.2217944317138105
sample_iii,31,7425,3085.5,1693.0,5.0,6.0,24795.0,11878.0,0.2969550312563017,0.2843913116686311,4.080767523756979
sample_iii,31,7494,3070.0,1662.5,8.0,7.0,25712.0,12313.0,0.32630678282514003,0.3396410298058962,3.6009336136549877
sample_iii,31,7573,1072.5,1839.5,6.0,7.0,7204.0,13069.0,0.22695724597445863,0.336598056469508,5.478469155626929
sample_iii,31,7649,2189.0,1267.0,7.0,8.0,15674.0,9228.0,0.38273574071711114,0.3960771564802774,1.1040416236199206
sample_iii,31,7670,3030.0,1797.0,6.0,7.0,23846.0,12939.0,0.35687327015013,0.37421748203106886,4.918607834571141
sample_iii,31,7723,1452.5,2737.0,7.0,7.0,10252.0,21104.0,0.30003901677721423,0.37760614101592116,3.0770197067834175
sample_iii,31,7730,3056.5,1877.0,9.0,8.0,24483.0,13842.0,0.39921578237961036,0.43498049414824447,3.6300595849599375
sample_iii,31,7764,2264.5,1258.0,6.0,6.0,15484.0,8904.0,0.25949367088607594,0.2969451931716083,2.754599425887264
sample_iii,31,7979,1548.5,1904.0,5.0,5.0,10491.0,13125.0,0.1794871794871795,0.20739047619047618,2.0890886594749247
sample_iii,31,7997,3013.0,2179.5,6.0,7.0,24423.0,16571.0,0.3466814068705728,0.38018224609257134,4.105509244167095
sample_iii,31,8021,3354.5,1851.5,6.0,7.0,29290.0,13626.0,0.41461249573233183,0.384852487890797,4.7185597061621465
sample_iii,31,8029,3701.5,1621.0,6.0,7.0,33321.0,11475.0,0.4404429638966418,0.3739433551198257,6.115484061248068
sample_iii,31,8030,3409.5,1408.0,5.0,6.0,31500.0,11002.0,0.3357777777777778,0.31494273768405745,6.200954508126809
sample_iii,31,8169,1432.0,2262.5,7.0,7.0,9817.0,16976.0,0.3351329326678211,0.4232445805843544,2.9073095850828423
sample_iii,31,7816,2745.0,1835.0,6.0,7.0,20516.0,13153.0,0.3057613569896666,0.32661750171063636,3.4699820691740975
sample_iii,31,8162,2604.0,2238.0,7.0,7.0,18887.0,15751.0,0.3464817069942288,0.3760396165322837,4.713517852007968
sample_iii,31,8529,3004.0,1771.5,8.0,7.0,24082.0,12758.0,0.3176231210032389,0.33398651826305065,3.7799710975471648
sample_iii,31,8648,3395.0,1447.5,6.0,7.0,30669.0,10381.0,0.4071211973002054,0.35536075522589344,5.367484574544406
sample_iii,31,8762,1903.5,2763.5,6.0,7.0,14049.0,22211.0,0.30002135383301304,0.37949664580613207,3.8564528472318074
sample_iii,31,8879,3230.0,2040.0,5.0,7.0,26143.0,15197.0,0.30053934131507476,0.31183786273606634,3.6684113542940864
sample_iii,31,8928,1840.0,1147.0,7.0,7.0,13269.0,8051.0,0.3394377873238375,0.3690224816792945,5.50028522087036
sample_iii,31,9080,4056.0,2444.0,5.0,6.0,37870.0,17635.0,0.406337470293108,0.3106322653813439,5.299759382679277
sample_iii,31,9312,1871.5,1178.0,6.0,5.0,4144.0,5720.0,-1.1447876447876448,-0.05821678321678322,2.8468583478725478
sample_iii,31,9679,2742.0,1649.5,6.0,7.0,20680.0,11985.0,0.3513056092843327,0.3835627868168544,4.922426184023287
sample_iii,31,9694,1407.0,2746.5,7.0,7.0,10554.0,22138.0,0.35740003790032215,0.4071280151775228,3.835354341783855
sample_iii,31,9945,1565.0,1813.5,6.0,7.0,12116.0,13902.0,0.32164080554638497,0.3723205294202273,3.3767104281388924
sample_iii,31,9957,1875.5,1866.0,7.0,7.0,13472.0,13569.0,0.3182155581947744,0.379099417790552,5.7986265517880256
sample_iii,31,9961,2039.0,2143.5,6.0,6.0,14086.0,16190.0,0.25869657816271474,0.33570105003088324,3.2583736995207637
sample_iii,31,9989,3122.0,1562.0,5.0,6.0,26125.0,11842.0,0.32095693779904305,0.33186961661881437,3.5440650928178634
sample_iii,31,10023,1830.0,1150.0,6.0,7.0,13431.0,9008.0,0.31390067753704115,0.37133658969804617,2.808653676043164
