heldout_run,method,target,metric,value,selected_k,cluster_model,gmm_fit_rows,train_rows,heldout_rows,benchmark_role
31,traditional hand+PCA morphology,manual_flag,adjusted_mutual_info,0.5626696553128014,8,diag GaussianMixture,12000,41139,1231,claim
31,traditional hand+PCA morphology,manual_flag,purity,0.9626320064987814,8,diag GaussianMixture,12000,41139,1231,claim
31,traditional hand+PCA morphology,peak_group,adjusted_mutual_info,0.4867178384000104,8,diag GaussianMixture,12000,41139,1231,claim
31,traditional hand+PCA morphology,peak_group,purity,0.8115353371242892,8,diag GaussianMixture,12000,41139,1231,claim
31,ML P01b train-only AE embedding,manual_flag,adjusted_mutual_info,0.3576612585733977,8,diag GaussianMixture,12000,41139,1231,claim
31,ML P01b train-only AE embedding,manual_flag,purity,0.7928513403736799,8,diag GaussianMixture,12000,41139,1231,claim
31,ML P01b train-only AE embedding,peak_group,adjusted_mutual_info,0.26172120089250206,8,diag GaussianMixture,12000,41139,1231,claim
31,ML P01b train-only AE embedding,peak_group,purity,0.5970755483346872,8,diag GaussianMixture,12000,41139,1231,claim
31,forbidden all-data release-style embedding,manual_flag,adjusted_mutual_info,0.4912338207974873,8,diag GaussianMixture,12000,41139,1231,forbidden_release_diagnostic
31,forbidden all-data release-style embedding,manual_flag,purity,0.958570268074736,8,diag GaussianMixture,12000,41139,1231,forbidden_release_diagnostic
31,forbidden all-data release-style embedding,peak_group,adjusted_mutual_info,0.48268180214477807,8,diag GaussianMixture,12000,41139,1231,forbidden_release_diagnostic
31,forbidden all-data release-style embedding,peak_group,purity,0.7969130787977254,8,diag GaussianMixture,12000,41139,1231,forbidden_release_diagnostic
32,traditional hand+PCA morphology,manual_flag,adjusted_mutual_info,0.5583237971436823,8,diag GaussianMixture,12000,41151,1219,claim
32,traditional hand+PCA morphology,manual_flag,purity,0.9515996718621821,8,diag GaussianMixture,12000,41151,1219,claim
32,traditional hand+PCA morphology,peak_group,adjusted_mutual_info,0.47315941607347317,8,diag GaussianMixture,12000,41151,1219,claim
32,traditional hand+PCA morphology,peak_group,purity,0.7858900738310091,8,diag GaussianMixture,12000,41151,1219,claim
32,ML P01b train-only AE embedding,manual_flag,adjusted_mutual_info,0.3378917693554977,8,diag GaussianMixture,12000,41151,1219,claim
32,ML P01b train-only AE embedding,manual_flag,purity,0.8146021328958163,8,diag GaussianMixture,12000,41151,1219,claim
32,ML P01b train-only AE embedding,peak_group,adjusted_mutual_info,0.21690369644841212,8,diag GaussianMixture,12000,41151,1219,claim
