heldout_run,epoch,training_loss
31,1,0.41493974219668994
31,2,0.3717312514781952
31,3,0.33065768805417145
31,4,0.28846208073876123
32,1,0.38107899915088306
32,2,0.3425750136375427
32,3,0.3034003106030551
32,4,0.26621562377973035
33,1,0.4707965444434773
33,2,0.4239972044121135
33,3,0.3789300268346613
33,4,0.3258315622806549
34,1,0.43845510482788086
34,2,0.39547002586451446
34,3,0.3466394435275685
34,4,0.2845346819270741
35,1,0.4397931857542558
35,2,0.3953492749821056
35,3,0.3501950068907304
35,4,0.2957396778193387
36,1,0.4290941465984691
36,2,0.38872925530780444
36,3,0.3517664508386092
36,4,0.3028644567186182
37,1,0.429522368311882
37,2,0.3907603740692139
37,3,0.34871737360954286
37,4,0.29982316195964814
39,1,0.4158689650622281
39,2,0.3641665361144326
39,3,0.3186101561242884
39,4,0.2793840169906616
40,1,0.4394203885035081
40,2,0.3948154693300074
40,3,0.3465553440830924
40,4,0.29473639076406305
41,1,0.42600957642902026
41,2,0.3864542300050909
41,3,0.3524511862884868
41,4,0.3035578280687332
42,1,0.41854648427529767
42,2,0.37173431569879706
42,3,0.34471857818690216
42,4,0.29244512861425226
44,1,0.4485531611876054
44,2,0.3955965285951441
44,3,0.3503227559002963
44,4,0.2969355041330511
45,1,0.3971909373998642
45,2,0.3592876732349396
45,3,0.32413236498832704
45,4,0.2850503534078598
46,1,0.42054278471253137
46,2,0.3754446641965346
46,3,0.3329131440682845
46,4,0.28302171419967304
47,1,0.45040188323367725
47,2,0.3907557644627311
47,3,0.33454596996307373
47,4,0.27985173734751617
48,1,0.43563915382732044
48,2,0.39460707794536243
48,3,0.34221874312921
48,4,0.2908134704286402
49,1,0.38805910674008454
49,2,0.33702176809310913
49,3,0.30004575035788794
49,4,0.2669921950860457
50,1,0.4211435724388469
50,2,0.36559117111292755
50,3,0.3300655592571605
50,4,0.2712620496749878
51,1,0.39976401220668445
51,2,0.3606446927244013
51,3,0.31370368328961457
51,4,0.266499478708614
52,1,0.41787624088200653
52,2,0.37789789654991846
52,3,0.3399715938351371
52,4,0.29459119655869226
53,1,0.4185501282865351
53,2,0.3805460171266036
53,3,0.3249544284560464
53,4,0.270878019658002
54,1,0.38615135713057086
54,2,0.33987798474051734
54,3,0.2974190820347179
54,4,0.2538069716908715
55,1,0.42899786071343854
55,2,0.3972903517159549
55,3,0.3466236320408908
55,4,0.2859001931819049
56,1,0.4680396944284439
56,2,0.4204503744840622
56,3,0.3764183968305588
56,4,0.3264588087797165
57,1,0.4108614352616397
57,2,0.37510021979158575
57,3,0.34179600260474463
57,4,0.30738876218145544
58,1,0.43243138085712085
58,2,0.3920526016842235
58,3,0.3610940629785711
58,4,0.3212945109063929
59,1,0.4745782047510147
59,2,0.4274623692035675
59,3,0.37100884020328523
59,4,0.30065229535102844
60,1,0.456358277797699
60,2,0.41893686950206754
60,3,0.38009718954563143
60,4,0.33276143074035647
61,1,0.46448954641819
61,2,0.42090049386024475
61,3,0.3822172164916992
61,4,0.33339022696018217
62,1,0.4343623459339142
62,2,0.4012589782476425
62,3,0.3720753133296967
62,4,0.3423088014125824
63,1,0.4132275879383087
63,2,0.3700491726398468
63,3,0.32054377496242525
63,4,0.2636319980025291
64,1,0.4680340737104416
64,2,0.42775172293186187
64,3,0.38573217689990996
64,4,0.33094504475593567
65,1,0.4013056321577592
65,2,0.35737634246999567
65,3,0.31767552955584094
65,4,0.28408465873111377
