alpha,fold,sigma68_ns,n_pair_residuals
0.01,0,1.4036420387470558,1266
0.01,1,1.4265832495870006,1257
0.01,2,1.4577198390708013,1257
0.01,-1,1.429315042468286,0
0.1,0,1.4035785271630605,1266
0.1,1,1.426460922945587,1257
0.1,2,1.4538206397010833,1257
0.1,-1,1.4279533632699104,0
1.0,0,1.3907643024753995,1266
1.0,1,1.4337729575538065,1257
1.0,2,1.4485801751247558,1257
1.0,-1,1.4243724783846539,0
10.0,0,1.3488248718541385,1266
10.0,1,1.3950850641307766,1257
10.0,2,1.4317133880681128,1257
10.0,-1,1.3918744413510094,0
100.0,0,1.2650730351269999,1266
100.0,1,1.3098842845777032,1257
100.0,2,1.3738809719246872,1257
100.0,-1,1.31627943054313,0
