method,run64_sigma68_ns,analysis_min_sigma68_ns,analysis_median_sigma68_ns,analysis_max_sigma68_ns,run64_rank_ascending_among_8
analytic_timewalk,1.3329797211399408,1.3073183123023264,1.4043221273491764,1.7929873649895456,3
ml_ridge_on_template_phase,1.3536972077783689,1.2890662198057075,1.439403970358232,1.7819672822768844,3
s03b_binned_timewalk,0.9347017690330941,0.8979715141142002,1.25,1.6479715141142002,2
template_phase_base,1.7959430282283932,1.7959430282283897,1.9999999999999993,2.25000000000001,4
