run,method,primary_score,weighted_mae,accepted_res68
58,traditional_action_matrix,0.7410545426866111,0.8407655890411483,0.7764492167456268
59,traditional_action_matrix,1.033343730561167,1.1346234795812757,1.1441185899203121
60,traditional_action_matrix,1.0046449674848559,1.1129868704141903,1.1120259444901195
61,traditional_action_matrix,1.042985106340114,1.152626818366641,1.0998846089922587
62,traditional_action_matrix,0.9971967922983495,1.1004413919343028,1.0956214041419945
63,traditional_action_matrix,0.9166973954727315,1.0209008912765931,0.986425526349866
65,traditional_action_matrix,0.8115860329046962,0.9143519215908449,0.8279739442238101
58,ridge,0.8172459767376195,0.906559225512427,0.8804271925429246
59,ridge,1.1779789499824878,1.2691807843981626,1.2448977359646494
60,ridge,1.1174447790189468,1.2144931305873279,1.2249614580996522
61,ridge,1.1951848786160675,1.2893723886068362,1.2544266293498392
62,ridge,1.1341618215540858,1.2245184936311837,1.2245006797305482
63,ridge,1.0460239666015256,1.135163741598863,1.137062734415109
65,ridge,0.8720079513056697,0.9641326404160218,0.9343859399817767
58,gradient_boosted_trees,0.5445888354497617,0.6657712149069946,0.5617358857186693
59,gradient_boosted_trees,0.7912551040914897,0.908342664154383,0.9860404794924645
60,gradient_boosted_trees,0.7443578175731649,0.8688796165138047,0.9502269843770654
61,gradient_boosted_trees,0.7690244615246148,0.8930624906468961,0.9559214380347136
62,gradient_boosted_trees,0.7451005014142372,0.8636296933137615,0.9427754815062849
63,gradient_boosted_trees,0.7019728730442383,0.8222499282672108,0.8256899321587566
65,gradient_boosted_trees,0.6238767957699699,0.7393864966058085,0.700535822726912
58,mlp,0.5844729552381461,0.7007075680819469,0.6112135518529916
59,mlp,0.8445726808489443,0.9574680468938059,1.0279624196727823
60,mlp,0.799044742055014,0.9183268411963285,1.0026239823703191
61,mlp,0.831440369096466,0.9525028557365314,0.9856768628568741
62,mlp,0.803939835766985,0.9188491176348661,0.9789745818227169
63,mlp,0.7528337356499062,0.8680457115347163,0.8763407255403804
65,mlp,0.6658700288156733,0.7787281310517307,0.7270518087247234
58,1d_cnn,0.8357427969703617,0.9391093984954041,0.739893665040576
59,1d_cnn,1.2677476297274395,1.3582609925045566,1.2517824523502283
60,1d_cnn,1.2948224289647354,1.3835039476308124,1.3086297871226937
61,1d_cnn,1.3477140335797149,1.4325769389546206,1.3476726755084696
62,1d_cnn,1.2340356141147264,1.3220624415587567,1.2477991260612245
63,1d_cnn,1.0758245219217506,1.1773473663385607,1.0132320402203807
65,1d_cnn,0.9136846443536171,1.0149211966791059,0.843267307830409
58,action_prior_residual_cnn_new_arch,0.7489563035684766,0.8497564917233865,0.7655577987419006
59,action_prior_residual_cnn_new_arch,1.0375123843558904,1.138650222969603,1.1455376939842732
60,action_prior_residual_cnn_new_arch,1.003165310326984,1.1116586510716844,1.1105115663364593
61,action_prior_residual_cnn_new_arch,1.0439345167164664,1.1535194457578215,1.1004524388439774
62,action_prior_residual_cnn_new_arch,0.9997234794603915,1.1030576729162638,1.094725465942805
63,action_prior_residual_cnn_new_arch,0.9246264808096565,1.0290063641297307,0.9846616511877387
65,action_prior_residual_cnn_new_arch,0.8200887027064664,0.9244243969634747,0.8122758885152142
