method,delay_samples,scale_bin,n,n_injected,roc_auc,average_precision,fixed_95_clean_rejection,real_minus_shuffled_auc,frontier_pass,fit_delay_bias_samples,fit_delay_rms_samples,fit_failure_rate
1D-CNN,2,high,60,30,0.6744444444444444,0.6613077238655329,0.16666666666666666,0.16888888888888887,False,1.6363636363636365,2.467976720090587,0.2666666666666667
1D-CNN,2,low,82,41,0.5847709696609161,0.577191533040267,0.024390243902439025,0.06900654372397386,False,2.230769230769231,2.8419928002940256,0.36585365853658536
1D-CNN,2,mid,76,38,0.6468144044321329,0.65299324523297,0.13157894736842105,0.16481994459833788,False,1.3125,2.091650066335189,0.1578947368421053
1D-CNN,3,high,92,46,0.7882797731568998,0.7589059458520601,0.43478260869565216,0.23393194706994325,False,0.3157894736842105,1.3377121081198773,0.17391304347826086
1D-CNN,3,low,94,47,0.6573110004526935,0.6404283489446257,0.10638297872340426,0.14440923494794022,False,1.3142857142857143,2.138089935299395,0.25531914893617025
1D-CNN,3,mid,90,45,0.7476543209876543,0.7597928788527798,0.24444444444444444,0.23111111111111104,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
1D-CNN,4,high,74,37,0.8349159970781593,0.8487193326054054,0.43243243243243246,0.3195763330898467,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
1D-CNN,4,low,68,34,0.7577854671280276,0.8038939954983043,0.4117647058823529,0.29238754325259514,False,-0.10714285714285714,1.3228756555322954,0.17647058823529416
1D-CNN,4,mid,66,33,0.7695133149678605,0.8001650248170625,0.42424242424242425,0.25528007346189163,False,0.17391304347826086,1.285369173834303,0.303030303030303
1D-CNN,5,high,82,41,0.842355740630577,0.8289394392411606,0.4878048780487805,0.3016061867935753,False,0.03225806451612903,0.7405316311773545,0.24390243902439024
1D-CNN,5,low,78,39,0.6817882971729126,0.7062986310090257,0.20512820512820512,0.15384615384615385,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
1D-CNN,5,mid,72,36,0.8016975308641975,0.7874632077880086,0.3611111111111111,0.3194444444444445,False,-0.3548387096774194,1.2572371141874243,0.13888888888888884
1D-CNN,6,high,88,44,0.8424586776859504,0.8481464437085648,0.5681818181818182,0.26084710743801653,False,-0.95,1.70293863659264,0.09090909090909094
1D-CNN,6,low,74,37,0.6873630387143901,0.7026472774498279,0.32432432432432434,0.15850986121256394,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
1D-CNN,6,mid,62,31,0.6659729448491154,0.6661013525033929,0.12903225806451613,0.16285119667013515,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
MLP,2,high,60,30,0.94,0.9505728271278555,0.7333333333333333,0.4344444444444444,False,1.6363636363636365,2.467976720090587,0.2666666666666667
MLP,2,low,82,41,0.7138607971445567,0.732915491623247,0.1951219512195122,0.19809637120761447,False,2.230769230769231,2.8419928002940256,0.36585365853658536
MLP,2,mid,76,38,0.8860803324099723,0.9111376668030416,0.6842105263157895,0.4040858725761773,False,1.3125,2.091650066335189,0.1578947368421053
MLP,3,high,92,46,0.9551039697542534,0.9189771746488552,0.9130434782608695,0.40075614366729684,True,0.3157894736842105,1.3377121081198773,0.17391304347826086
MLP,3,low,94,47,0.8270710728836578,0.8106622779731197,0.2978723404255319,0.31416930737890447,False,1.3142857142857143,2.138089935299395,0.25531914893617025
MLP,3,mid,90,45,0.9338271604938272,0.9284474643108565,0.6888888888888889,0.41728395061728396,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
MLP,4,high,74,37,0.9569028487947407,0.9297416263273968,0.7567567567567568,0.4415631848064281,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
MLP,4,low,68,34,0.9368512110726643,0.91959960714613,0.6176470588235294,0.47145328719723184,False,-0.10714285714285714,1.3228756555322954,0.17647058823529416
MLP,4,mid,66,33,0.9265381083562902,0.919499869723664,0.696969696969697,0.4123048668503214,False,0.17391304347826086,1.285369173834303,0.303030303030303
MLP,5,high,82,41,0.9827483640690065,0.9785540075889602,1.0,0.4419988102320047,True,0.03225806451612903,0.7405316311773545,0.24390243902439024
MLP,5,low,78,39,0.8553583168967784,0.8774024939466952,0.5897435897435898,0.32741617357001973,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
MLP,5,mid,72,36,0.9297839506172839,0.9409993004945106,0.8611111111111112,0.4475308641975309,True,-0.3548387096774194,1.2572371141874243,0.13888888888888884
MLP,6,high,88,44,0.9519628099173554,0.9438713845907261,0.7727272727272727,0.3703512396694215,False,-0.95,1.70293863659264,0.09090909090909094
MLP,6,low,74,37,0.8276113951789628,0.7949569326010992,0.4864864864864865,0.2987582176771366,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
MLP,6,mid,62,31,0.9167533818938606,0.9278969404761861,0.7096774193548387,0.4136316337148803,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
