n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,8,0.8217610614453483,0.8349467249366165,0.1779223614236342
400,5,15,0.7946536968926832,0.8104546002159778,0.18621437951181946
300,4,20,0.7783445342305982,0.7965871130280222,0.19294229308953462
