method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,brier,brier_ci_low,brier_ci_high,notes
MLP,0.9035634066238916,0.8808921263522678,0.9314114666763272,0.8935042147522548,0.8633687105318977,0.9287266901799084,0.12356517569733086,0.10443607183057337,0.142623856672836,Small regularized multilayer perceptron on the same shape-only feature table.
gradient-boosted trees,0.8548835017196583,0.8375875961369648,0.8784069719044943,0.8602560213190953,0.8398676446167227,0.8887572445678618,0.1586077548372987,0.14660312962984717,0.1695877730965031,Histogram gradient-boosted trees on the same shape-only feature table.
channel-attention CNN,0.83852213780534,0.8252333083669698,0.8581887048448187,0.838644971068686,0.8161213899917724,0.8616199023334631,0.16773109273540235,0.16026123536567183,0.1785621712236551,New architecture: channel-attention CNN on normalized waveform tensors.
ridge,0.8373289663257178,0.8211038602187993,0.8604611593159348,0.8193104186915685,0.8001402882290692,0.8583905456320942,0.18618287873184738,0.18312089369449114,0.19021980212966513,L2 ridge linear classifier on normalized waveform-shape features.
shape-only RF,0.8217610614453483,0.7992760475775997,0.8450219251281623,0.8349467249366165,0.8124538210796796,0.8622753631118867,0.1779223614236342,0.1656787825103816,0.19214138429069438,"Best params={'n_estimators': 500, 'max_depth': 7, 'min_samples_leaf': 8}; strict shape features only."
1D-CNN,0.7307250604788794,0.7087372295536459,0.7645620079693193,0.7211522956852416,0.6996176491107805,0.7616205834617349,0.22415092452702312,0.2074987709447381,0.24214089074234424,Convolutional net on four amplitude-normalized 18-sample waveforms.
bounded two-pulse fit,0.607549494244439,0.5929788605011893,0.6228025033448238,0.6328208840983969,0.588840266988049,0.6561271241069995,0.23942880587121507,0.23406335066967454,0.24646938611879798,Strong traditional constrained template fit; score chosen from fit outputs on training runs only.
