method,method_class,n_pair_rows,n_runs,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,full_rms_ci_low_ns,full_rms_ci_high_ns,tail_fraction_abs_gt_5ns,correlated_fraction,mean_abs_pair_cov_ns2,note
pair_median,traditional,65484,21,2.090504189144874,1.8043599351902762,11.243546403750738,20.680328523812705,16.8889070879268,25.341705845203272,0.14177509009834463,0.36641949668744095,228.5346093364996,strong traditional B-pair train-median centering
traditional_a_width_gate_ridge,traditional,65484,21,8.278834712467717,7.738726454837559,9.216362340662453,11.725988906620062,10.682158807493169,13.109505450110994,0.5148891332233828,0.39713131299471915,64.20212899370743,traditional A-width gate Ridge using A percentile/MAD/IQR/trimmed robust-width priors plus B pair shape summaries
ridge,ml,65484,21,7.965127369400669,7.424034003543229,8.877326375469787,11.514368064321266,10.6131706126623,12.750444262347065,0.49263942337059435,0.3706085009904494,59.33119822332742,standardized Ridge residual model with S18-style A robust-width priors
gradient_boosted_trees,ml,65484,21,3.911738119572093,3.526968992853735,6.271404591902165,13.608243516763036,12.107267410186529,17.218213589995383,0.1918942031641317,0.3337034572184016,87.92648724033435,histogram gradient-boosted tree residual model with B shape plus A gate priors
extra_trees_s18e_style,ml,65484,21,2.406878890337457,2.2085761986332844,3.566468508799003,9.174375584093962,7.754346136811039,11.481245197828587,0.17237798546209762,0.2913570467541673,39.48287586732098,S18e-style ExtraTrees residual gate model with B shape plus A gate priors
mlp,ml,65484,21,3.8934939937390274,3.5155121736185113,4.758495835433808,19.88943325078724,16.24041436254101,28.177648532350744,0.19574247144340604,0.3677466108962944,215.86969601274308,tabular MLP residual model with B shape plus A gate priors
cnn_1d,ml,65484,21,5.797379089857927,4.368432993159755,7.326993656222539,20.516737560462243,16.128188650448436,24.827151100440055,0.3707623236210372,0.37684997405831683,234.16373258771762,compact two-channel 1D-CNN over left/right waveforms with A gate auxiliaries
support_gated_cnn_new,ml,65484,21,4.888263752427487,3.635523558494461,8.922804738824759,20.33004069825825,17.0331592768697,29.561371418858702,0.30725062610714066,0.3714291166821156,228.15409861559374,new support-gated residual CNN suppressing waveform corrections outside A/B support
waveform_only_mlp,control,65484,21,3.8892144422055708,3.394974823417831,9.51155378647724,19.70316802210373,17.862180836345992,29.22999044590672,0.21831287031946736,0.3787369363395991,221.30098501808544,control: waveform-only MLP without A gate priors
pool_label_control,control,65484,21,6.385608472031155,4.960017688455248,16.796505236206738,19.571165040413167,16.40268319670548,30.185312222963766,0.4693818337303769,0.36641949668744095,228.5346093364996,control: pair and run-family/pool labels only
ml_shuffled_target_control,control,65484,21,4.997359863407203,4.462695210143075,16.839486885215287,20.752348150041065,17.335015503558175,26.440906022152255,0.3179097184044958,0.37138412441126933,232.28843146150948,control: S18e-style ExtraTrees trained on shuffled targets
