method,baseline,comparison,delta_sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,delta_mean_abs_pair_cov_ns2,cov_ci_low_ns2,cov_ci_high_ns2,p_two_sided_sigma68
ridge,pair_median,ridge_minus_pair_median,5.874623180255795,4.593570500905961,6.4043948519855265,-169.2034111131722,-217.87661783770048,-116.89759309610005,0.0
ridge,traditional_a_width_gate_ridge,ridge_minus_traditional_a_width_gate_ridge,-0.3137073430670476,-0.6342012563440516,0.04543343427235491,-4.8709307703800135,-7.186868350557541,-2.2421760438441596,0.16
gradient_boosted_trees,pair_median,gradient_boosted_trees_minus_pair_median,1.8212339304272187,1.5751404958575268,1.8885148848881448,-140.60812209616526,-185.46667312283606,-116.97452088356607,0.0
gradient_boosted_trees,traditional_a_width_gate_ridge,gradient_boosted_trees_minus_traditional_a_width_gate_ridge,-4.367096592895624,-4.771584105015991,-3.7638674103406156,23.72435824662692,14.619783913894716,30.907174952898814,0.0
extra_trees_s18e_style,pair_median,extra_trees_s18e_style_minus_pair_median,0.3163747011925828,-2.000484357389385,0.5201079841896021,-189.05173346917863,-237.07007899758446,-156.4836759890219,0.16
extra_trees_s18e_style,traditional_a_width_gate_ridge,extra_trees_s18e_style_minus_traditional_a_width_gate_ridge,-5.87195582213026,-6.220071801405874,-5.680673881981594,-24.719253126386455,-28.020565024239747,-20.116785625514492,0.0
mlp,pair_median,mlp_minus_pair_median,1.8029898045941533,0.10090700909359426,1.8984643014122744,-12.664913323756537,-19.14511896806845,-9.301365923570645,0.0
mlp,traditional_a_width_gate_ridge,mlp_minus_traditional_a_width_gate_ridge,-4.385340718728689,-4.939458712540551,-0.8817437478680967,151.66756701903563,111.22105260629614,180.10753005217464,0.08
cnn_1d,pair_median,cnn_1d_minus_pair_median,3.7068749007130526,1.912613266772668,4.3631524804358515,5.6291232512180045,0.2651127601228639,9.213073710183558,0.0
cnn_1d,traditional_a_width_gate_ridge,cnn_1d_minus_traditional_a_width_gate_ridge,-2.48145562260979,-3.8926885864990384,-1.2801748937341568,169.96160359401017,127.63501357657991,222.91525857848737,0.0
support_gated_cnn_new,pair_median,support_gated_cnn_new_minus_pair_median,2.7977595632826127,0.24363686724078565,2.9293894994308887,-0.3805107209058747,-3.6467075325676612,2.4337745822039416,0.08
support_gated_cnn_new,traditional_a_width_gate_ridge,support_gated_cnn_new_minus_traditional_a_width_gate_ridge,-3.39057096004023,-4.078503908835992,0.6266620947952086,163.9519696218863,115.49511299926053,215.2357433880373,0.08
waveform_only_mlp,pair_median,waveform_only_mlp_minus_pair_median,1.7987102530606967,0.2623382222725067,1.8674559485440165,-7.233624318414172,-11.888245706495391,-2.0804433541892595,0.08
waveform_only_mlp,traditional_a_width_gate_ridge,waveform_only_mlp_minus_traditional_a_width_gate_ridge,-4.389620270262146,-4.815578402941512,-2.1683402935488534,157.098856024378,102.58354329745137,193.96753074662666,0.08
pool_label_control,pair_median,pool_label_control_minus_pair_median,4.295104282886281,3.2388282706373905,7.2119331204432475,0.0,-1.9397816686250735e-14,3.48165940522449e-15,0.0
pool_label_control,traditional_a_width_gate_ridge,pool_label_control_minus_traditional_a_width_gate_ridge,-1.8932262404365616,-2.909879920020909,0.8760328261997685,164.33248034279217,129.49666588764924,195.78994013877974,0.48
ml_shuffled_target_control,pair_median,ml_shuffled_target_control_minus_pair_median,2.906855674262329,1.0572130943029996,3.214552126572464,3.7538221250098616,-1.3296616561358134,8.665714926790445,0.0
ml_shuffled_target_control,traditional_a_width_gate_ridge,ml_shuffled_target_control_minus_traditional_a_width_gate_ridge,-3.2814748490605137,-3.5366396542307674,4.753775305905284,168.08630246780206,126.08573414188453,199.18742164416102,0.08
