run,run_family,b_sigma68_ns,b_full_rms_ns,b_correlated_fraction,b_mean_abs_cov_ns2,n_pair_rows
44,sample_i_analysis,18.60109361834799,37.91518304020501,0.32806136348541876,393.2081965126204,169
45,sample_i_analysis,14.98904072287177,35.30819016488485,0.38705003668203886,282.56612292290896,1787
46,sample_i_analysis,5.600770019305217,29.791446077361247,,,13
47,sample_i_analysis,7.1624659908779975,34.27646494077162,0.5627340686895074,423.32325283953793,156
48,sample_i_analysis,5.962515954953132,31.03583117326108,0.31018312733399184,163.60193204435262,1098
49,sample_i_analysis,6.233555809252218,29.22292443097471,0.34893864650664264,185.22409286038481,1186
50,sample_i_analysis,36.55831380584743,44.379922926167765,0.36078581793577424,295.39694264065196,1289
51,sample_i_analysis,31.055409191623166,40.48593331502817,0.461762167792622,395.8767536974314,616
52,sample_i_analysis,37.18638162391023,42.579049176270324,0.3134883308468977,300.44818914837987,312
53,sample_i_analysis,41.03361157056183,47.311875827023336,0.3531032924530812,364.5084473824083,1120
54,sample_i_analysis,40.65566013077368,46.24967491934885,0.39691705455612414,409.2325729887265,1053
55,sample_i_analysis,31.255938132136922,41.142998405481784,0.34490410183114195,307.3058969785369,756
56,sample_i_analysis,33.142014138569664,41.93058564787236,0.36212290532115005,313.7935238646461,1669
57,sample_i_analysis,6.951154995327572,31.056285524061533,0.3603386643992806,231.60547198378217,1221
58,sample_ii_analysis,7.795155544514595,29.023631758372915,0.26806328164865406,150.0873114804294,1207
59,sample_ii_analysis,2.067156820047833,12.698722219840532,0.36400360880092586,45.39528035947222,11187
60,sample_ii_analysis,1.54699875995329,9.378039623383527,0.4369283729448519,37.753413613622605,10524
61,sample_ii_analysis,1.579623321269612,9.847932273680637,0.3293851830361438,29.26817531233568,11855
62,sample_ii_analysis,1.7091697648253104,11.117613610572606,0.3070164963000082,28.818186484318858,10936
63,sample_ii_analysis,2.5071339528107712,16.963161132328185,0.35583046953070196,77.89441339298358,5816
65,sample_ii_analysis,2.423055672419242,21.78715968954531,0.4123417926235903,135.3840102224622,1514
