split,method,target,ami,purity,rows,unit,units
run,traditional,s01_q_template_bin,0.153935032423436,0.3958336004582117,31407,run,33
run,traditional,peak_group,0.489704580998097,0.8002583383852562,31407,run,33
run,traditional,downstream_topology,0.1083274483089951,0.6405402644927184,31407,run,33
run,traditional,dt_label,0.09010564023782056,0.6770510662645444,31407,run,33
run,traditional,manual_flag,0.6738269261687695,0.9375991050126882,31407,run,33
run,ml_autoencoder,s01_q_template_bin,0.13357429676019128,0.39826761035335956,31407,run,33
run,ml_autoencoder,peak_group,0.44108069873999356,0.7986876799478304,31407,run,33
run,ml_autoencoder,downstream_topology,0.10522524106106927,0.6705262864294586,31407,run,33
run,ml_autoencoder,dt_label,0.09839494190497938,0.6767332583089621,31407,run,33
run,ml_autoencoder,manual_flag,0.46978098948276836,0.898249788636504,31407,run,33
