heldout_run,model,score_column,average_precision
58,cnn1d,score_cnn1d,0.5550746587590488
58,dilated_tcn,score_dilated_tcn,0.47100413298328614
58,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,0.9186145510835914
58,mlp,score_mlp_hidden64,0.9427846432690723
58,ridge,score_ridge_C1,0.9689542483660131
58,traditional_scorecard,score_traditional_scorecard,0.2698412698412698
59,cnn1d,score_cnn1d,0.5307035048056056
59,dilated_tcn,score_dilated_tcn,0.5528336800490934
59,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,0.8662020916090134
59,mlp,score_mlp_hidden64,0.9354213647170241
59,ridge,score_ridge_C10,0.8938637922817022
59,traditional_scorecard,score_traditional_scorecard,0.41018647422158994
60,cnn1d,score_cnn1d,0.4252800933472414
60,dilated_tcn,score_dilated_tcn,0.4418226738747389
60,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,0.7628321740846302
60,mlp,score_mlp_hidden64,0.871828880652292
60,ridge,score_ridge_C1,0.7668371741977319
60,traditional_scorecard,score_traditional_scorecard,0.3396987983738996
61,cnn1d,score_cnn1d,0.19880556912292158
61,dilated_tcn,score_dilated_tcn,0.18844116223763166
61,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,0.6642057251898745
61,mlp,score_mlp_hidden64,0.77819364038799
61,ridge,score_ridge_C10,0.6896257319528795
61,traditional_scorecard,score_traditional_scorecard,0.14672858046468185
62,cnn1d,score_cnn1d,0.5205916395961128
62,dilated_tcn,score_dilated_tcn,0.5812969725370439
62,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,0.8674798984217393
62,mlp,score_mlp_hidden32,0.9442220272366335
62,ridge,score_ridge_C10,0.9147935126373418
62,traditional_scorecard,score_traditional_scorecard,0.4273415271333631
63,cnn1d,score_cnn1d,0.5616913401175903
63,dilated_tcn,score_dilated_tcn,0.6222272315388689
63,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,0.8972469580479128
63,mlp,score_mlp_hidden32,0.9630660560991161
63,ridge,score_ridge_C10,0.9380122253720602
63,traditional_scorecard,score_traditional_scorecard,0.4554982984648251
65,cnn1d,score_cnn1d,0.5208333333333334
65,dilated_tcn,score_dilated_tcn,0.46735301048662664
65,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,0.9188408600415179
65,mlp,score_mlp_hidden32,0.99164994425864
65,ridge,score_ridge_C10,0.9308333343197988
65,traditional_scorecard,score_traditional_scorecard,0.4067796610169492
