control,n_features,average_precision,roc_auc,brier,ece
amplitude_only,21,0.7261067743730727,0.851688692642959,0.15309104213558633,0.07074174765437638
topology_only,8,0.6201195495606913,0.7977102929970203,0.1702531900644033,0.05713634590258527
pileup_only,8,0.5618442553678137,0.7251611900757342,0.20102204768770726,0.09562507221066052
pretrigger_only,10,0.4377420393600543,0.6629237859143956,0.22615195715296388,0.1308579475491421
shuffled_label,99,0.2762526525880536,0.3827261367509651,0.22732356998423436,0.014166113456316026
