run,traditional_taxonomy_class,n_events,tail_fraction,charge_logsum_mean,pileup_score_mean,saturation_support_fraction,dropout_anomaly_fraction
58,clean_reference,9,0.0,10.060502313520665,2.3516958079527877,0.0,0.0
58,high_amplitude_topology,52,0.3076923076923077,11.003069772901124,3.1038057296106296,0.23076923076923078,0.0
58,large_lowering_mixed_pretrigger_pileup,9,0.1111111111111111,10.361910080141705,3.006768748709486,0.1111111111111111,0.4444444444444444
58,mild_lowering_amplitude_topology,3,0.0,10.154612993056178,2.3672049408463214,0.0,0.0
59,clean_reference,13,0.0,9.990172488128591,1.763717896401998,0.0,0.0
59,high_amplitude_topology,628,0.47770700636942676,10.992477272368696,3.1128419972285752,0.15127388535031847,0.0
59,large_lowering_mixed_pretrigger_pileup,63,0.06349206349206349,10.188946726908693,3.0500276474150168,0.031746031746031744,0.5079365079365079
59,mild_lowering_amplitude_topology,59,0.06779661016949153,10.926649552922985,3.094547844825176,0.1016949152542373,0.0
60,clean_reference,27,0.0,10.031234155213358,1.9707664071078699,0.0,0.0
60,high_amplitude_topology,638,0.4153605015673981,11.170341103209322,3.176105460396272,0.26802507836990597,0.0
60,large_lowering_mixed_pretrigger_pileup,87,0.034482758620689655,10.145401891413385,3.1463399771246676,0.12643678160919541,0.5287356321839081
60,mild_lowering_amplitude_topology,56,0.03571428571428571,11.072825651498249,3.174155141902378,0.125,0.0
61,clean_reference,15,0.0,10.176357650752696,2.373520453493776,0.0,0.0
61,high_amplitude_topology,769,0.16775032509752927,11.108445220404688,3.1420165440385097,0.19245773732119636,0.0
61,large_lowering_mixed_pretrigger_pileup,96,0.0625,9.796612723023168,3.119596048269526,0.07291666666666667,0.4895833333333333
61,mild_lowering_amplitude_topology,53,0.03773584905660377,10.970307528511347,3.124189969145609,0.11320754716981132,0.0
62,clean_reference,17,0.0,10.192041026352683,2.4460958776212394,0.0,0.0
62,high_amplitude_topology,665,0.5022556390977444,11.051375785965512,3.1084389829781807,0.17593984962406015,0.0
62,large_lowering_mixed_pretrigger_pileup,77,0.05194805194805195,9.759934066766153,3.0708186870763834,0.012987012987012988,0.5714285714285714
62,large_lowering_pileup_like,1,0.0,10.247360904637652,3.08936942386209,0.0,0.0
62,mild_lowering_amplitude_topology,47,0.0425531914893617,10.963588641627199,3.1500018813942305,0.14893617021276595,0.0
63,clean_reference,13,0.0,10.100481301699054,2.1038185117707093,0.0,0.0
63,high_amplitude_topology,307,0.5276872964169381,10.968577598858312,3.0580255536192142,0.14332247557003258,0.0
63,large_lowering_mixed_pretrigger_pileup,29,0.0,9.99100321426862,2.96619333116033,0.0,0.41379310344827586
63,mild_lowering_amplitude_topology,21,0.047619047619047616,10.872162015301493,3.050239571412488,0.047619047619047616,0.0
65,clean_reference,6,0.0,9.87295444840405,1.7114281299656116,0.0,0.0
65,high_amplitude_topology,59,0.4067796610169492,10.86736807029812,3.0381909292032976,0.05084745762711865,0.0
65,large_lowering_mixed_pretrigger_pileup,1,0.0,8.757154527656606,2.8806584362139915,0.0,1.0
