model,score_column,flag_column,n_events,n_tail,average_precision,average_precision_ci_low,average_precision_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,brier,brier_ci_low,brier_ci_high,ece,ece_ci_low,ece_ci_high,tail_capture_at_90_clean,tail_capture_at_90_clean_ci_low,tail_capture_at_90_clean_ci_high,clean_acceptance,clean_acceptance_ci_low,clean_acceptance_ci_high,flagged_fraction,flagged_fraction_ci_low,flagged_fraction_ci_high,delta_ap_vs_traditional,delta_ap_vs_traditional_ci_low,delta_ap_vs_traditional_ci_high
mlp,score_mlp_hidden64,flag_mlp_hidden64,3820,1259,0.915390289161314,0.865048593262766,0.947081731109372,0.9566163063661279,0.9489398533763713,0.9614970987461542,0.07594103724212023,0.06250367448780389,0.08706570739373104,0.026297140263496104,0.022556967526101937,0.037129849582603236,0.9038919777601271,0.8606873576478244,0.9315334139772675,0.860210855134713,0.8138023255737943,0.8993806882667187,0.39162303664921466,0.27551546620988987,0.4870684869683038,0.6236408132381772,0.47026221364085347,0.7405192101844167
ridge,score_ridge_C10,flag_ridge_C10,3820,1259,0.8444163527722058,0.7741902155921158,0.9203386026866128,0.9287065188433207,0.9127589155512111,0.9445361676002505,0.09557156660443826,0.08310743842237732,0.10758274832870583,0.026635340826865132,0.019542242109434383,0.04759445758545354,0.8538522637013503,0.8308161499599395,0.8730665123448643,0.8738773916438891,0.8516347795507913,0.8951838202199595,0.36596858638743457,0.2763448784082535,0.43278795598123204,0.552666876849069,0.37688567558082675,0.6772206038596872
gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,flag_gradient_boosted_trees_learning_rate0.03,3820,1259,0.8396744137925551,0.7501105840306649,0.8821549725950343,0.9173200128151887,0.9006891501532991,0.9287498918092382,0.11738165185306274,0.09617971452221348,0.135089521267406,0.07317672659011254,0.06017776438427005,0.09272801023464439,0.8800635424940428,0.8249088412318121,0.9245432883240667,0.786411557985162,0.7369863558438345,0.8387253627573292,0.43324607329842935,0.3051039785663814,0.5276358080137468,0.5479249378694184,0.3773912644176467,0.6563648240802759
dilated_tcn,score_dilated_tcn,flag_dilated_tcn,3820,1259,0.38384706489839443,0.2242291159110873,0.5788660880697641,0.6228208053905671,0.5319510759151385,0.7460840503782872,0.19687281265765663,0.18723914767621946,0.20329948889315866,0.1155005692291359,0.05522397115706801,0.19297535312210154,0.8371723590150913,0.7429230474591304,0.9432750355113636,0.4529480671612651,0.33944411590774687,0.5967241379310343,0.6426701570680629,0.5479242407244886,0.7241898907631142,0.09209758897525766,-0.14417799140024945,0.34513287930102
cnn1d,score_cnn1d,flag_cnn1d,3820,1259,0.36287126895240773,0.23814775976903257,0.5348331899829768,0.5861939292850942,0.4952576697860765,0.7096698356108474,0.20425037683730762,0.19369988084511366,0.2139551689537175,0.053574665977521994,0.028965503478119013,0.16106102980716294,0.69340746624305,0.4145046411046892,0.9216108035419833,0.6048418586489652,0.40007330767899874,0.7657954604208674,0.49345549738219896,0.28517782650970885,0.7241878796838097,0.07112179302927096,-0.15297899704695292,0.30334721908099477
traditional_scorecard,score_traditional_scorecard,flag_traditional_scorecard,3820,1259,0.29174947592313677,0.19004191365268955,0.42511007794471917,0.4352896552087757,0.3474988855899962,0.5607751089377766,0.22383428843892023,0.19744858932129208,0.2466780613319736,0.003354996538659766,0.0023979198282256162,0.12218352383612069,0.9769658459094519,0.9623576894363568,0.9899459544879899,0.051542366263178443,0.04114715846574264,0.07683012710408789,0.9578534031413612,0.941299268484748,0.9686325263763622,0.0,0.0,0.0
