candidate,roc_auc,average_precision
d_t_ns,0.5443397436471076,0.615632996616945
abs_c_t_ns,0.49860697229754114,0.5610276173965709
max_downstream_late_fraction,0.5433583601051184,0.5349799532835205
max_downstream_tail_fraction,0.5310478133641172,0.5242722643205779
min_downstream_tail_fraction,0.5124582017116045,0.5121622379526738
min_downstream_late_fraction,0.5163181114481821,0.5121432874354594
max_downstream_area_over_peak,0.5631784298459914,0.6134032061131833
min_downstream_area_over_peak,0.5222899347036908,0.5311069357763859
max_downstream_peak_sample,0.6059536273904444,0.5706808660114394
min_downstream_peak_sample,0.5187656044457569,0.5099335819548683
max_downstream_max_down_step,0.5019284634039393,0.5116695950608127
min_downstream_max_down_step,0.5115797292097327,0.5163645173051264
max_downstream_final_fraction,0.522838793584317,0.5272957082989419
min_downstream_final_fraction,0.5029605567338125,0.5093902606586997
matched_secondary_template,0.5745165418311007,0.5576998916230795
