method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
1d_cnn,energy_bin,q1_low,995,2.5203162395313186,11.06917056300326,17.64664665279634,0.6904522613065327,0.37889447236180906
edge_attention_cnn_new,energy_bin,q1_low,995,-0.5384936835238658,9.276494474858257,15.738553335993823,0.5407035175879397,0.3035175879396985
gradient_boosted_trees,energy_bin,q1_low,995,-1.3007161068340514,3.5500407652980854,6.09454195058635,0.21206030150753769,0.03919597989949749
mlp,energy_bin,q1_low,995,-0.5805731752103097,3.7092653352811515,5.57651459330206,0.20904522613065327,0.04824120603015075
ridge,energy_bin,q1_low,995,0.4687342417470992,4.237339820934204,5.800621579778792,0.25025125628140704,0.05025125628140704
traditional_cfd_template_timewalk,energy_bin,q1_low,995,-0.11241817072295746,1.1254846444158746,1.0909523355445192,0.0,0.0
waveform_transformer,energy_bin,q1_low,995,4.948667272411477,7.572201118458727,14.788920186529316,0.607035175879397,0.3869346733668342
1d_cnn,energy_bin,q2,1036,2.9366702668242857,8.306364896022629,13.022740467582205,0.5434362934362934,0.26544401544401547
edge_attention_cnn_new,energy_bin,q2,1036,0.7267679178048603,6.4075287823336495,10.57068862125731,0.4295366795366795,0.1805019305019305
gradient_boosted_trees,energy_bin,q2,1036,-0.8143494891932668,3.7162848434352003,6.29189859937827,0.22586872586872586,0.05791505791505792
mlp,energy_bin,q2,1036,-1.3360637676745877,4.274803383759932,6.5075074863731155,0.26544401544401547,0.06853281853281853
ridge,energy_bin,q2,1036,-0.5207630824352769,4.4895841372159415,6.56572144226219,0.26158301158301156,0.06274131274131274
traditional_cfd_template_timewalk,energy_bin,q2,1036,0.3424043389724114,0.8462017490927667,0.8189351548631935,0.0,0.0
waveform_transformer,energy_bin,q2,1036,3.997109994249751,7.505744887951893,12.330575613959404,0.556949806949807,0.3030888030888031
1d_cnn,energy_bin,q3,982,0.1820638096539966,8.739081688290721,12.51034559643809,0.5336048879837068,0.26476578411405294
edge_attention_cnn_new,energy_bin,q3,982,2.206842590365911,7.059395134827573,9.990337988607312,0.48879837067209775,0.21283095723014256
gradient_boosted_trees,energy_bin,q3,982,-0.8880186844484479,3.5701268289571004,5.862920180566729,0.22606924643584522,0.051934826883910386
mlp,energy_bin,q3,982,-0.7673285534695753,4.386853901185217,6.279561402379956,0.2759674134419552,0.06517311608961303
ridge,energy_bin,q3,982,-1.2896678933486467,4.748165163741707,6.363388306242909,0.3044806517311609,0.05804480651731161
traditional_cfd_template_timewalk,energy_bin,q3,982,0.35335666097627727,1.0106047904806377,0.8682271599020361,0.0,0.0
waveform_transformer,energy_bin,q3,982,-0.6114793323969137,9.490925422733113,12.639402984940247,0.5692464358452138,0.28716904276985744
1d_cnn,energy_bin,q4_high,803,-7.022892311298255,6.69551657654941,11.318166645688285,0.7073474470734745,0.37733499377334995
edge_attention_cnn_new,energy_bin,q4_high,803,-6.348305719391226,6.531751015396713,9.814271644959693,0.676214196762142,0.28019925280199254
gradient_boosted_trees,energy_bin,q4_high,803,-1.415464091891813,3.614677196701079,5.251563065219444,0.24533001245330013,0.034869240348692404
mlp,energy_bin,q4_high,803,-1.4811278703689164,4.0657462381769935,5.512307080507344,0.2590286425902864,0.0448318804483188
