method,stratum,level,n,shape_residual_bias_ns,shape_residual_sigma68_ns
1d_cnn,pulse_shape_class,compact,1244,-0.7491853913133415,10.358349679286832
1d_cnn,pulse_shape_class,late_tail,1291,-1.8342619135655696,14.35542500979205
1d_cnn,pulse_shape_class,nominal,1281,1.9021218936278643,7.900231709128233
1d_cnn,rise_time_bin,fast_rise,1272,-5.586246142349314,9.680190457764429
1d_cnn,rise_time_bin,nominal_rise,1272,0.785779110109285,9.329469150387698
1d_cnn,rise_time_bin,slow_rise,1272,3.710873732175573,8.008985122755199
1d_cnn,pulse_shape_class+rise_time_bin,compact+fast_rise,415,-7.947662837257553,9.772706081762621
1d_cnn,pulse_shape_class+rise_time_bin,compact+nominal_rise,271,0.23644214529369734,8.711704432913821
1d_cnn,pulse_shape_class+rise_time_bin,compact+slow_rise,558,3.351993271699296,8.00584449015084
1d_cnn,pulse_shape_class+rise_time_bin,late_tail+fast_rise,458,-3.87206035469689,29.608413189716458
1d_cnn,pulse_shape_class+rise_time_bin,late_tail+nominal_rise,494,-1.09595761772876,12.559931662437487
1d_cnn,pulse_shape_class+rise_time_bin,late_tail+slow_rise,339,-1.0100044699943282,8.929118468008983
1d_cnn,pulse_shape_class+rise_time_bin,nominal+fast_rise,399,-4.89941295351055,6.49751209771714
1d_cnn,pulse_shape_class+rise_time_bin,nominal+nominal_rise,507,2.1296887342859687,7.57493730118144
1d_cnn,pulse_shape_class+rise_time_bin,nominal+slow_rise,375,5.164669677864827,3.9383953953707227
edge_attention_cnn_new,pulse_shape_class,compact,1244,-2.689205707012994,8.835625767370942
edge_attention_cnn_new,pulse_shape_class,late_tail,1291,-0.17614613142502833,9.931799386160506
edge_attention_cnn_new,pulse_shape_class,nominal,1281,0.5744496951762308,7.338340766089984
edge_attention_cnn_new,rise_time_bin,fast_rise,1272,-3.965190522746947,9.905948797096244
edge_attention_cnn_new,rise_time_bin,nominal_rise,1272,1.5441485506308705,7.991439014033775
edge_attention_cnn_new,rise_time_bin,slow_rise,1272,0.11175177713135742,6.255337115901264
edge_attention_cnn_new,pulse_shape_class+rise_time_bin,compact+fast_rise,415,-6.20080077735642,12.36616871089451
edge_attention_cnn_new,pulse_shape_class+rise_time_bin,compact+nominal_rise,271,-0.7295267935200158,8.93303477101059
edge_attention_cnn_new,pulse_shape_class+rise_time_bin,compact+slow_rise,558,-1.0669557449216507,7.2665772252288
edge_attention_cnn_new,pulse_shape_class+rise_time_bin,late_tail+fast_rise,458,-1.30083896026174,20.87960838577265
edge_attention_cnn_new,pulse_shape_class+rise_time_bin,late_tail+nominal_rise,494,1.3535776819605472,8.580113672817738
edge_attention_cnn_new,pulse_shape_class+rise_time_bin,late_tail+slow_rise,339,-0.7898937372909636,7.11380124403825
edge_attention_cnn_new,pulse_shape_class+rise_time_bin,nominal+fast_rise,399,-4.879924149051,7.053464967491541
edge_attention_cnn_new,pulse_shape_class+rise_time_bin,nominal+nominal_rise,507,2.621721132944245,7.632186937630952
edge_attention_cnn_new,pulse_shape_class+rise_time_bin,nominal+slow_rise,375,1.172008709234687,4.009971004796976
gradient_boosted_trees,pulse_shape_class,compact,1244,-1.7168603041111032,3.7921639209066456
gradient_boosted_trees,pulse_shape_class,late_tail,1291,-0.13389820675608632,4.17670575238108
gradient_boosted_trees,pulse_shape_class,nominal,1281,-1.2336570102168454,3.107747366542618
gradient_boosted_trees,rise_time_bin,fast_rise,1272,-1.1308763370876338,3.782842165131108
gradient_boosted_trees,rise_time_bin,nominal_rise,1272,-0.7558235249805787,3.5435016083856508
gradient_boosted_trees,rise_time_bin,slow_rise,1272,-1.418049250156102,3.429526581616158
gradient_boosted_trees,pulse_shape_class+rise_time_bin,compact+fast_rise,415,-1.3106242930752572,4.334633770904514
gradient_boosted_trees,pulse_shape_class+rise_time_bin,compact+nominal_rise,271,-1.221850473920778,4.269588563673504
gradient_boosted_trees,pulse_shape_class+rise_time_bin,compact+slow_rise,558,-2.221251175796626,3.069339066466831
gradient_boosted_trees,pulse_shape_class+rise_time_bin,late_tail+fast_rise,458,-0.6742391155845517,3.8972592547392777
gradient_boosted_trees,pulse_shape_class+rise_time_bin,late_tail+nominal_rise,494,0.2692343280142502,3.880826253587691
gradient_boosted_trees,pulse_shape_class+rise_time_bin,late_tail+slow_rise,339,-0.027158994318576823,4.765024095267856
gradient_boosted_trees,pulse_shape_class+rise_time_bin,nominal+fast_rise,399,-1.3347687425937007,3.6435072653111487
gradient_boosted_trees,pulse_shape_class+rise_time_bin,nominal+nominal_rise,507,-1.248090067101634,2.969090036609066
gradient_boosted_trees,pulse_shape_class+rise_time_bin,nominal+slow_rise,375,-1.0719256156615549,2.4725511483008282
mlp,pulse_shape_class,compact,1244,-1.178904430347287,4.615416703500018
mlp,pulse_shape_class,late_tail,1291,-0.3207331830295459,3.9395480491886654
mlp,pulse_shape_class,nominal,1281,-1.7682209589840112,3.8041205054368747
mlp,rise_time_bin,fast_rise,1272,-0.7053515119503047,4.434664531898319
mlp,rise_time_bin,nominal_rise,1272,-0.83545729352943,4.24052108467553
mlp,rise_time_bin,slow_rise,1272,-1.6848335275430673,3.527609663903678
mlp,pulse_shape_class+rise_time_bin,compact+fast_rise,415,0.602114332995491,4.823844673246333
mlp,pulse_shape_class+rise_time_bin,compact+nominal_rise,271,-1.1840963631739108,5.136658091824449
mlp,pulse_shape_class+rise_time_bin,compact+slow_rise,558,-2.234997226120184,3.575763135416131
mlp,pulse_shape_class+rise_time_bin,late_tail+fast_rise,458,-0.9615364419140278,4.062530614227084
mlp,pulse_shape_class+rise_time_bin,late_tail+nominal_rise,494,0.20319226838446935,3.940941491848645
mlp,pulse_shape_class+rise_time_bin,late_tail+slow_rise,339,-0.3502611764601369,3.8690941646099066
mlp,pulse_shape_class+rise_time_bin,nominal+fast_rise,399,-1.599095547003671,4.093877824073903
mlp,pulse_shape_class+rise_time_bin,nominal+nominal_rise,507,-1.973705799060706,4.040874858043359
mlp,pulse_shape_class+rise_time_bin,nominal+slow_rise,375,-1.7305813855079402,3.3952890133468903
ridge,pulse_shape_class,compact,1244,-0.7787564830179505,5.016555243412188
ridge,pulse_shape_class,late_tail,1291,-0.3106603032818782,4.325558701834474
ridge,pulse_shape_class,nominal,1281,-0.9830698751279794,4.075538031207127
ridge,rise_time_bin,fast_rise,1272,-1.1194087808790085,4.763728092930627
ridge,rise_time_bin,nominal_rise,1272,-0.9816830826119531,4.574859062638476
ridge,rise_time_bin,slow_rise,1272,0.09495321086235098,4.128457704108417
ridge,pulse_shape_class+rise_time_bin,compact+fast_rise,415,-1.019279474057079,5.366219118442039
ridge,pulse_shape_class+rise_time_bin,compact+nominal_rise,271,-2.113937504082486,5.324794561693009
ridge,pulse_shape_class+rise_time_bin,compact+slow_rise,558,-0.03323914962963492,4.596248384639106
ridge,pulse_shape_class+rise_time_bin,late_tail+fast_rise,458,-1.1263681140375779,4.498754175761347
ridge,pulse_shape_class+rise_time_bin,late_tail+nominal_rise,494,-0.1759413307940747,4.1151491489076495
ridge,pulse_shape_class+rise_time_bin,late_tail+slow_rise,339,0.735404559455894,4.070240445061198
ridge,pulse_shape_class+rise_time_bin,nominal+fast_rise,399,-1.311230739693361,4.542649852270243
ridge,pulse_shape_class+rise_time_bin,nominal+nominal_rise,507,-1.4230448297310359,4.382288423973744
ridge,pulse_shape_class+rise_time_bin,nominal+slow_rise,375,-0.2720271618029262,3.3509624767722173
traditional_cfd_template_timewalk,pulse_shape_class,compact,1244,0.12671987683480745,1.0388889801467478
traditional_cfd_template_timewalk,pulse_shape_class,late_tail,1291,0.3291121285838159,0.862945810246152
traditional_cfd_template_timewalk,pulse_shape_class,nominal,1281,0.29442494733085,1.0523169145905773
traditional_cfd_template_timewalk,rise_time_bin,fast_rise,1272,0.08043321684125893,1.0733328600042824
traditional_cfd_template_timewalk,rise_time_bin,nominal_rise,1272,0.3335631137303956,1.0312649818114001
traditional_cfd_template_timewalk,rise_time_bin,slow_rise,1272,0.22519164447164375,1.0008312624075781
traditional_cfd_template_timewalk,pulse_shape_class+rise_time_bin,compact+fast_rise,415,-0.02050524515280827,1.20482939622942
traditional_cfd_template_timewalk,pulse_shape_class+rise_time_bin,compact+nominal_rise,271,0.2422119662144322,1.0198643647806436
traditional_cfd_template_timewalk,pulse_shape_class+rise_time_bin,compact+slow_rise,558,0.19994225808892008,1.005326374570109
traditional_cfd_template_timewalk,pulse_shape_class+rise_time_bin,late_tail+fast_rise,458,0.41541514728974716,0.8345076131682151
traditional_cfd_template_timewalk,pulse_shape_class+rise_time_bin,late_tail+nominal_rise,494,0.3324468569747202,0.8620929098205111
traditional_cfd_template_timewalk,pulse_shape_class+rise_time_bin,late_tail+slow_rise,339,0.08463184930663914,0.9087226239227139
traditional_cfd_template_timewalk,pulse_shape_class+rise_time_bin,nominal+fast_rise,399,-0.1386866095823618,1.205350284361168
traditional_cfd_template_timewalk,pulse_shape_class+rise_time_bin,nominal+nominal_rise,507,0.3607866858413271,1.0416416509448676
traditional_cfd_template_timewalk,pulse_shape_class+rise_time_bin,nominal+slow_rise,375,0.3324097142328297,1.0117163761051986
waveform_transformer,pulse_shape_class,compact,1244,4.9750816668946385,6.235768754840892
waveform_transformer,pulse_shape_class,late_tail,1291,-3.4965071422080847,18.768631449543054
waveform_transformer,pulse_shape_class,nominal,1281,1.787058520188376,5.516187247712754
waveform_transformer,rise_time_bin,fast_rise,1272,0.23816506604580567,9.81318568675982
waveform_transformer,rise_time_bin,nominal_rise,1272,1.5573177628091286,9.205553208818198
waveform_transformer,rise_time_bin,slow_rise,1272,4.415142947819219,7.66255863231188
waveform_transformer,pulse_shape_class+rise_time_bin,compact+fast_rise,415,2.5936558752621153,7.725652331526577
waveform_transformer,pulse_shape_class+rise_time_bin,compact+nominal_rise,271,4.35314537149511,6.099219775364251
waveform_transformer,pulse_shape_class+rise_time_bin,compact+slow_rise,558,7.074903584253284,5.066915972292513
waveform_transformer,pulse_shape_class+rise_time_bin,late_tail+fast_rise,458,-4.106495778094442,28.887992161917886
waveform_transformer,pulse_shape_class+rise_time_bin,late_tail+nominal_rise,494,-3.073671109428809,17.21050902089076
waveform_transformer,pulse_shape_class+rise_time_bin,late_tail+slow_rise,339,-2.8849908059689042,15.492036117249388
waveform_transformer,pulse_shape_class+rise_time_bin,nominal+fast_rise,399,0.6029235886613513,5.82805198178248
waveform_transformer,pulse_shape_class+rise_time_bin,nominal+nominal_rise,507,1.8941076611699597,5.631999321932016
waveform_transformer,pulse_shape_class+rise_time_bin,nominal+slow_rise,375,2.504996343277938,4.911462268282858
