geometry,observed_even_charge,traditional_template_corrected,traditional_template_energy_ci95,ml_p07_p04_corrected,ml_p07_p04_energy_ci95,ml_minus_traditional_template_res68,traditional_template_minus_observed_res68
center_2cm,0.019103582006076484,0.026926246562907617,"[0.02214684590192434, 0.03262421112251109]",0.013379344479276231,"[0.013089787196226508, 0.013745135525996368]",-0.013546902083631386,0.007822664556831133
center_4cm,0.021189225434905888,0.02889373883470322,"[0.024777722320676814, 0.034959602398529716]",0.014548452065275675,"[0.014165571606790666, 0.015005129327745377]",-0.014345286769427543,0.00770451339979733
zero_4cm,0.06630568052994923,0.10066632986040724,"[0.09033992794660173, 0.11007543984855175]",0.03834605817335316,"[0.03397967291549161, 0.04801158063442073]",-0.062320271687054084,0.034360649330458015
