hrd_channel,sci_bar_layer_id,n_truth_hits_in_s12a_pairs,median_x_cm,median_y_cm,median_z_cm,x_ci95_cm,z_ci95_cm,median_edep
B2,0,92523,-66.28125486142987,0.011945199249782745,86.53839371284744,"[-85.03570849561413, -49.00456688103519]","[71.88580865547263, 100.03642170557116]",12.151964731608423
B4,2,92524,-68.71580241333916,0.011618223445124634,89.71238956378392,"[-88.15423519959037, -50.801390218410354]","[74.52542142606893, 103.70866231899845]",14.25101873103971
B6,4,84413,-71.04629443037153,0.011152984154281214,92.96768250847819,"[-90.57834184068177, -53.231227979533465]","[77.70757461055506, 106.88633786178002]",18.7968826331552
B8,6,59734,-69.26373815833351,0.004026469276409116,99.43644096255125,"[-88.84743537977955, -55.5061749390642]","[84.13597980957589, 110.18502736152382]",21.725876564235392
