run,selected_pulses,events,B2,B4,B6,B8
31,27871,39990,26948,592,237,94
32,28240,41921,27316,605,224,95
33,48737,57173,47724,559,318,136
34,34118,39765,33373,412,244,89
35,11667,27786,11029,403,163,72
36,10391,21764,9847,340,143,61
37,24537,50513,22956,997,423,161
39,14218,30321,13174,663,273,108
40,14708,32613,13575,707,310,116
41,16146,33997,14963,758,298,127
42,18112,33972,16977,711,307,117
44,2038,4294,1884,93,44,17
45,24333,48181,22786,969,401,177
46,687,1441,675,7,3,2
47,5276,10970,5116,85,50,25
48,14000,31713,13044,599,245,112
49,14815,32354,13779,640,281,115
50,35217,44804,34088,659,330,140
51,14740,20569,14200,303,177,60
52,7152,10005,6893,148,76,35
53,32200,39612,31225,559,296,120
54,30440,37413,29493,536,298,113
55,17387,24416,16735,372,199,81
56,40148,51823,38730,825,421,172
57,13833,31284,12774,656,273,130
58,16781,34141,15791,591,285,114
59,21377,42303,13565,4527,2366,919
60,17029,36074,9873,4040,2189,927
61,18965,36535,11015,4401,2490,1059
62,19089,37584,11635,4183,2342,929
63,18817,37030,14566,2645,1153,453
64,14630,35943,11907,1689,763,271
65,13038,38424,11768,842,323,105
