hrd_pair,sci_bar_pair,median_distance_cm,distance_ci95,distance_minus_4cm_cm,within_spacing_contract
B2-B4,0-2,4.025865223556806,"[4.025592185765055, 4.026173034590801]",0.025865223556806427,True
B4-B6,2-4,4.02625728172289,"[4.026023979652145, 4.026538598954171]",0.026257281722889658,True
B6-B8,4-6,4.024990766652012,"[4.024740771890063, 4.0253059164913845]",0.024990766652011942,True
