method,family,n_runs,mean_sigma68_ns,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,mean_full_rms_ns,mean_tail_frac_abs_gt5ns,mean_bias_vs_log_amp_slope_ns
ml_gated_proxy_all_root_proxies,ml,7,1.28841735618882,1.2429719340646836,1.3378807229110028,-0.366746683235429,-0.5558211204646579,-0.23452915274888098,2.2672288262658844,0.013799045236617862,-0.1375607288192848
ml_cnn1d_proxy_all_root_proxies,ml,7,1.3083801790902299,1.224082789406997,1.4005241062340406,-0.34678386033401903,-0.5687924784471451,-0.16504463478316406,2.2866877641486703,0.013850551293806182,-0.1219010083688881
ml_mlp_all_root_proxies,ml,7,1.316044506761227,1.2110927731855163,1.4556713874928227,-0.3391195326630217,-0.5656110040046893,-0.13090821239228045,2.2795753840684854,0.01445813567290358,-0.1229567492798689
ml_ridge_all_root_proxies,ml,7,1.371139434747158,1.325987107993355,1.4242446708351955,-0.284024604677091,-0.5083903828220186,-0.13845557556658036,2.3162997772656913,0.013922744693897298,-0.12924731548035062
ml_hgb_all_root_proxies,ml,7,1.3767702908996207,1.3125465633808842,1.4525420167142167,-0.27839374852462845,-0.5051973581531266,-0.11453575130029628,2.2983294828043057,0.01342169780869852,-0.17654246010066613
ml_mlp_all_root_proxies_shuffled,shuffled_target_control,7,1.6367954525403827,1.498402429693686,1.82984747576461,-0.018368586883866365,-0.0795874561890213,0.03269584318705971,2.4495501507438875,0.015436036593518098,-0.130021411618551
ml_hgb_all_root_proxies_shuffled,shuffled_target_control,7,1.6380854670023737,1.5337674442551286,1.8003148018030422,-0.017078572421874938,-0.04737141043249481,0.00013223901499389743,2.4527268928901447,0.015136102724502257,-0.1259901680328464
ml_cnn1d_proxy_all_root_proxies_shuffled,shuffled_target_control,7,1.650202494093348,1.5344154223446531,1.829893016263164,-0.004961545330901033,-0.012438274110454601,0.000375614645599323,2.462797322731432,0.015344792092846794,-0.1292049783115374
ml_ridge_all_root_proxies_shuffled,shuffled_target_control,7,1.652586366662431,1.5498839915069718,1.8077895973364437,-0.002577672761817862,-0.036604656576308174,0.027525474033516746,2.465407640752645,0.015238106967920865,-0.12924729309356375
traditional_proxy_current,traditional_proxy,7,1.655164039417847,1.5313266755132298,1.850024041950689,-6.401990049198503e-12,-5.582561635186778e-11,4.25917555192865e-11,2.4644483833842914,0.015293753456599156,-0.12924729914820468
traditional_global_no_proxy,traditional,7,1.6551640394242493,1.5367146525187405,1.8394534636177218,0.0,0.0,0.0,2.4644483833687825,0.015293753456599156,-0.12924729911350197
ml_gated_proxy_all_root_proxies_shuffled,shuffled_target_control,7,1.7047052550003126,1.5869808865684236,1.8681501428147413,0.04954121557606334,0.010385646047673846,0.10075381568528027,2.4861502274446114,0.016376393271163338,-0.14359959825581042
traditional_proxy_topology_occupancy,traditional_proxy,7,1.867334657981818,1.6549867074443405,2.0726276858168733,0.21217061855756908,0.022303521418363854,0.4202557881010841,2.5763389175228495,0.021026950132182587,-0.04522127424782174
traditional_proxy_selected_pulse_density,traditional_proxy,7,1.948280966253803,1.5515992188716847,2.559972331176222,0.2931169268295539,-0.024462962452709174,0.8905214359050256,2.693799356301381,0.04589881146261482,-0.15506690948907575
traditional_binned_no_proxy,traditional,7,3.148494417300134,2.7656692375778134,3.4556272000422346,1.493330377875885,1.103946365238417,1.8449296572346583,3.6679000022976704,0.12211622135297551,-1.8558373493579274
traditional_proxy_event_order_density,traditional_proxy,7,5.096280535357814,1.5513570033954138,11.976836478977358,3.441116495933565,-0.004943937517219405,10.330084438271996,5.474180721242839,0.06427644001121624,-0.1349568371245156
traditional_proxy_trigger_density,traditional_proxy,7,5.096280535357814,1.5591360666997398,11.976836478977358,3.441116495933565,-0.004768258779853866,10.330163377158238,5.474180721242839,0.06427644001121624,-0.1349568371245156
traditional_proxy_all_root_proxies,traditional_proxy,7,5.18079424446068,1.650325559989954,11.446943781757403,3.5256302050364305,0.0032140252152846405,9.794013693734517,5.4836560045673375,0.11196096212119455,-0.06613602723046777
