method,base_method,drift_order,fold,heldout_runs,sigma68_ns,n_pair_residuals,proxy_family,heldout_run
s02j_global_proxy_selected_pulse_density,template_phase,1,0,60 65,2.3871890709308436,2622,selected_pulse_density,61
s02j_global_proxy_selected_pulse_density,template_phase,1,1,58 62,1.7325260494370083,2640,selected_pulse_density,61
s02j_global_proxy_selected_pulse_density,template_phase,1,2,59 63,1.6732474079820707,3399,selected_pulse_density,61
s02j_global_proxy_topology_occupancy,template_phase,1,0,60 65,1.6174736736732964,2622,topology_occupancy,61
s02j_global_proxy_topology_occupancy,template_phase,1,1,58 62,1.7585956212823612,2640,topology_occupancy,61
s02j_global_proxy_topology_occupancy,template_phase,1,2,59 63,1.7079194143542598,3399,topology_occupancy,61
s02j_global_proxy_all_root_proxies,template_phase,1,0,60 65,1.899963646786415,2622,all_root_proxies,61
s02j_global_proxy_all_root_proxies,template_phase,1,1,58 62,1.9256721163175639,2640,all_root_proxies,61
s02j_global_proxy_all_root_proxies,template_phase,1,2,59 63,1.5241442856322647,3399,all_root_proxies,61
s02j_global_proxy_current,template_phase,1,0,61,2.1824845031419526,2799,current,62
s02j_global_proxy_current,template_phase,1,1,58 60 65,1.4863074050545881,2841,current,62
s02j_global_proxy_current,template_phase,1,2,59 63,1.5201255486776206,3399,current,62
s02j_global_proxy_trigger_density,template_phase,1,0,61,2.1802202376387276,2799,trigger_density,62
s02j_global_proxy_trigger_density,template_phase,1,1,58 60 65,1.9731596419707462,2841,trigger_density,62
s02j_global_proxy_trigger_density,template_phase,1,2,59 63,1.505292977493603,3399,trigger_density,62
s02j_global_proxy_event_order_density,template_phase,1,0,61,2.1802202376387276,2799,event_order_density,62
s02j_global_proxy_event_order_density,template_phase,1,1,58 60 65,1.9731596419707462,2841,event_order_density,62
s02j_global_proxy_event_order_density,template_phase,1,2,59 63,1.505292977493603,3399,event_order_density,62
s02j_global_proxy_selected_pulse_density,template_phase,1,0,61,2.1671502885312477,2799,selected_pulse_density,62
s02j_global_proxy_selected_pulse_density,template_phase,1,1,58 60 65,3.296375834835878,2841,selected_pulse_density,62
s02j_global_proxy_selected_pulse_density,template_phase,1,2,59 63,1.4589346855950125,3399,selected_pulse_density,62
s02j_global_proxy_topology_occupancy,template_phase,1,0,61,2.186104950608711,2799,topology_occupancy,62
s02j_global_proxy_topology_occupancy,template_phase,1,1,58 60 65,1.5525306400021832,2841,topology_occupancy,62
s02j_global_proxy_topology_occupancy,template_phase,1,2,59 63,1.7072255945348283,3399,topology_occupancy,62
s02j_global_proxy_all_root_proxies,template_phase,1,0,61,2.211487277807811,2799,all_root_proxies,62
s02j_global_proxy_all_root_proxies,template_phase,1,1,58 60 65,18.079475404483425,2841,all_root_proxies,62
s02j_global_proxy_all_root_proxies,template_phase,1,2,59 63,2.2969809045498657,3399,all_root_proxies,62
s02j_global_proxy_current,template_phase,1,0,61,2.1931134869852893,2799,current,63
s02j_global_proxy_current,template_phase,1,1,58 60 65,1.506523859697083,2841,current,63
s02j_global_proxy_current,template_phase,1,2,59 62,1.5200048065674392,4710,current,63
s02j_global_proxy_trigger_density,template_phase,1,0,61,2.1925089313352566,2799,trigger_density,63
s02j_global_proxy_trigger_density,template_phase,1,1,58 60 65,1.7974807090913585,2841,trigger_density,63
s02j_global_proxy_trigger_density,template_phase,1,2,59 62,1.5087629540923377,4710,trigger_density,63
s02j_global_proxy_event_order_density,template_phase,1,0,61,2.1925089313352566,2799,event_order_density,63
s02j_global_proxy_event_order_density,template_phase,1,1,58 60 65,1.7974807090913585,2841,event_order_density,63
s02j_global_proxy_event_order_density,template_phase,1,2,59 62,1.5087629540923377,4710,event_order_density,63
s02j_global_proxy_selected_pulse_density,template_phase,1,0,61,2.1747146785185185,2799,selected_pulse_density,63
s02j_global_proxy_selected_pulse_density,template_phase,1,1,58 60 65,3.429608602044452,2841,selected_pulse_density,63
s02j_global_proxy_selected_pulse_density,template_phase,1,2,59 62,1.4573816756500928,4710,selected_pulse_density,63
s02j_global_proxy_topology_occupancy,template_phase,1,0,61,2.170048418500381,2799,topology_occupancy,63
s02j_global_proxy_topology_occupancy,template_phase,1,1,58 60 65,1.6553185030953996,2841,topology_occupancy,63
s02j_global_proxy_topology_occupancy,template_phase,1,2,59 62,1.598529482267219,4710,topology_occupancy,63
s02j_global_proxy_all_root_proxies,template_phase,1,0,61,2.2180813248506093,2799,all_root_proxies,63
s02j_global_proxy_all_root_proxies,template_phase,1,1,58 60 65,36.399997643161015,2841,all_root_proxies,63
s02j_global_proxy_all_root_proxies,template_phase,1,2,59 62,1.3720620409500544,4710,all_root_proxies,63
s02j_global_proxy_current,template_phase,1,0,58 61,2.1365011719876814,3018,current,65
s02j_global_proxy_current,template_phase,1,1,60 63,1.522461079711073,3534,current,65
s02j_global_proxy_current,template_phase,1,2,59 62,1.5806733464133227,4710,current,65
s02j_global_proxy_trigger_density,template_phase,1,0,58 61,2.4279100378939065,3018,trigger_density,65
s02j_global_proxy_trigger_density,template_phase,1,1,60 63,1.5175469873244771,3534,trigger_density,65
s02j_global_proxy_trigger_density,template_phase,1,2,59 62,1.5688612492824703,4710,trigger_density,65
s02j_global_proxy_event_order_density,template_phase,1,0,58 61,2.4279100378939065,3018,event_order_density,65
s02j_global_proxy_event_order_density,template_phase,1,1,60 63,1.5175469873244771,3534,event_order_density,65
s02j_global_proxy_event_order_density,template_phase,1,2,59 62,1.5688612492824703,4710,event_order_density,65
s02j_global_proxy_selected_pulse_density,template_phase,1,0,58 61,2.071070475728843,3018,selected_pulse_density,65
s02j_global_proxy_selected_pulse_density,template_phase,1,1,60 63,3.0620046178959353,3534,selected_pulse_density,65
s02j_global_proxy_selected_pulse_density,template_phase,1,2,59 62,1.5059180184110914,4710,selected_pulse_density,65
s02j_global_proxy_topology_occupancy,template_phase,1,0,58 61,2.1575664164103454,3018,topology_occupancy,65
s02j_global_proxy_topology_occupancy,template_phase,1,1,60 63,1.7325548733468197,3534,topology_occupancy,65
s02j_global_proxy_topology_occupancy,template_phase,1,2,59 62,1.61212428950588,4710,topology_occupancy,65
s02j_global_proxy_all_root_proxies,template_phase,1,0,58 61,2.502795157215729,3018,all_root_proxies,65
s02j_global_proxy_all_root_proxies,template_phase,1,1,60 63,4.130166150446407,3534,all_root_proxies,65
s02j_global_proxy_all_root_proxies,template_phase,1,2,59 62,1.5414301969389315,4710,all_root_proxies,65
