model,alpha,fold,target_rmse_ns,heldout_run,proxy_family
ridge,0.001,0,2.1274618118356186,58,all_root_proxies
ridge,0.001,1,1.8907196176202556,58,all_root_proxies
ridge,0.001,2,1.957988002756622,58,all_root_proxies
ridge,0.001,-1,1.9920564774041651,58,all_root_proxies
ridge,0.01,0,2.1274620803678808,58,all_root_proxies
ridge,0.01,1,1.8907194154028326,58,all_root_proxies
ridge,0.01,2,1.9579878588266326,58,all_root_proxies
ridge,0.01,-1,1.9920564515324486,58,all_root_proxies
ridge,0.1,0,2.127464644102109,58,all_root_proxies
ridge,0.1,1,1.8907175940595538,58,all_root_proxies
ridge,0.1,2,1.9579863189967681,58,all_root_proxies
ridge,0.1,-1,1.992056185719477,58,all_root_proxies
ridge,1.0,0,2.127490594155553,58,all_root_proxies
ridge,1.0,1,1.8906992680322654,58,all_root_proxies
ridge,1.0,2,1.9579710312797858,58,all_root_proxies
ridge,1.0,-1,1.992053631155868,58,all_root_proxies
ridge,10.0,0,2.127749823365701,58,all_root_proxies
ridge,10.0,1,1.890516543461626,58,all_root_proxies
ridge,10.0,2,1.9578188676269643,58,all_root_proxies
ridge,10.0,-1,1.992028411484764,58,all_root_proxies
ridge,0.001,0,2.1648095739200697,59,all_root_proxies
ridge,0.001,1,1.8479087565982888,59,all_root_proxies
ridge,0.001,2,1.9896231545822858,59,all_root_proxies
ridge,0.001,-1,2.000780495033548,59,all_root_proxies
ridge,0.01,0,2.1648099502375855,59,all_root_proxies
ridge,0.01,1,1.8479001631169922,59,all_root_proxies
ridge,0.01,2,1.9896229559488436,59,all_root_proxies
ridge,0.01,-1,2.000777689767807,59,all_root_proxies
ridge,0.1,0,2.1648132667185607,59,all_root_proxies
ridge,0.1,1,1.8478958590304646,59,all_root_proxies
ridge,0.1,2,1.9896210790667614,59,all_root_proxies
ridge,0.1,-1,2.000776734938596,59,all_root_proxies
ridge,1.0,0,2.1648463579395667,59,all_root_proxies
ridge,1.0,1,1.8478684461077972,59,all_root_proxies
ridge,1.0,2,1.989602253306584,59,all_root_proxies
ridge,1.0,-1,2.000772352451316,59,all_root_proxies
ridge,10.0,0,2.165177174908141,59,all_root_proxies
ridge,10.0,1,1.8475952983656225,59,all_root_proxies
ridge,10.0,2,1.989415270308947,59,all_root_proxies
ridge,10.0,-1,2.0007292478609036,59,all_root_proxies
ridge,0.001,0,2.166782419687955,60,all_root_proxies
ridge,0.001,1,1.9490273044309698,60,all_root_proxies
ridge,0.001,2,2.0093244334436484,60,all_root_proxies
ridge,0.001,-1,2.041711385854191,60,all_root_proxies
ridge,0.01,0,2.1667827338060874,60,all_root_proxies
ridge,0.01,1,1.948980364722778,60,all_root_proxies
ridge,0.01,2,2.0093241348793724,60,all_root_proxies
ridge,0.01,-1,2.0416957444694126,60,all_root_proxies
ridge,0.1,0,2.1667859454437823,60,all_root_proxies
ridge,0.1,1,1.9489781743874053,60,all_root_proxies
ridge,0.1,2,2.009321590149675,60,all_root_proxies
ridge,0.1,-1,2.041695236660287,60,all_root_proxies
ridge,1.0,0,2.16681767935059,60,all_root_proxies
ridge,1.0,1,1.94896040260064,60,all_root_proxies
ridge,1.0,2,2.009296350089088,60,all_root_proxies
ridge,1.0,-1,2.0416914773467725,60,all_root_proxies
ridge,10.0,0,2.167135355699692,60,all_root_proxies
ridge,10.0,1,1.9487833010202502,60,all_root_proxies
ridge,10.0,2,2.0090444650300197,60,all_root_proxies
ridge,10.0,-1,2.041654373916654,60,all_root_proxies
ridge,0.001,0,1.7599056600282932,61,all_root_proxies
ridge,0.001,1,1.96861554765219,61,all_root_proxies
ridge,0.001,2,1.9661875513466638,61,all_root_proxies
ridge,0.001,-1,1.898236253009049,61,all_root_proxies
ridge,0.01,0,1.7599056065990284,61,all_root_proxies
ridge,0.01,1,1.9686155874698135,61,all_root_proxies
ridge,0.01,2,1.966187553290016,61,all_root_proxies
ridge,0.01,-1,1.8982362491196192,61,all_root_proxies
ridge,0.1,0,1.7599050852432503,61,all_root_proxies
ridge,0.1,1,1.9686160345687036,61,all_root_proxies
ridge,0.1,2,1.966187557772994,61,all_root_proxies
ridge,0.1,-1,1.8982362258616492,61,all_root_proxies
ridge,1.0,0,1.7598999044712615,61,all_root_proxies
ridge,1.0,1,1.9686204910113236,61,all_root_proxies
ridge,1.0,2,1.966187579362233,61,all_root_proxies
ridge,1.0,-1,1.8982359916149392,61,all_root_proxies
ridge,10.0,0,1.7598488684022455,61,all_root_proxies
