method,run,sampling_phase_bin,n,bias_ns,sigma68_ns,rms_ns,pileup_false_positive_rate,pedestal_residual_adc,energy_scale_drift_log_adc,pid_boundary_movement
1d_cnn,42,phase_q1,225,1.2096650326824268,7.300272278682481,8.869745664638303,0.37777777777777777,0.0,0.0,0.0
1d_cnn,42,phase_q2,188,1.340219076299178,6.253512287217101,7.187797457956904,0.3670212765957447,0.0,0.0,0.0
1d_cnn,42,phase_q3,135,0.948543668390446,5.916111004144583,6.859937777448856,0.32592592592592595,0.0,0.0,0.0
1d_cnn,42,phase_q4,109,-0.005921540490327,6.710453408480088,6.819650918794291,0.28440366972477066,0.0,0.0,0.0
1d_cnn,50,phase_q1,236,-3.3255545950229806,9.318972939024189,10.583407828682326,0.3728813559322034,0.0,0.0,-2.168404344971009e-19
1d_cnn,50,phase_q2,198,-2.98392534384873,10.437744821164026,10.095879091290737,0.3282828282828283,0.0,8.881784197001252e-16,-4.336808689942018e-19
1d_cnn,50,phase_q3,146,-4.09565737058251,9.062470748877812,10.65876249350159,0.4589041095890411,0.0,8.881784197001252e-16,4.336808689942018e-19
1d_cnn,50,phase_q4,100,-2.644509780927562,9.670279016388763,14.83376083595709,0.29,0.0,0.0,4.336808689942018e-19
1d_cnn,57,phase_q1,233,-0.7476232445450712,7.011497305295171,9.735357109403436,0.40772532188841204,0.0,0.0,0.0
1d_cnn,57,phase_q2,173,-1.0920218847333452,6.657831899456694,5.942484528637385,0.37572254335260113,0.0,0.0,0.0
1d_cnn,57,phase_q3,165,-0.5675538765202148,7.006083258407157,7.690498523826383,0.38181818181818183,0.0,0.0,0.0
1d_cnn,57,phase_q4,99,-1.5832193443766869,7.4793059717098895,7.4825310774412985,0.26262626262626265,0.0,0.0,0.0
1d_cnn,58,phase_q1,234,-4.376011532281846,5.954762172472452,8.881322045905424,0.4358974358974359,0.0,8.881784197001252e-16,0.0
1d_cnn,58,phase_q2,179,-4.143532223847725,5.55428793562587,6.614191072938662,0.441340782122905,0.0,0.0,0.0
1d_cnn,58,phase_q3,139,-4.522612995854303,5.274345155313191,8.57918667081926,0.5107913669064749,0.0,0.0,0.0
1d_cnn,58,phase_q4,102,-5.922907895437441,6.301218253449034,8.217124653591835,0.43137254901960786,0.0,0.0,-2.168404344971009e-19
1d_cnn,60,phase_q1,240,-0.8713417317548302,5.357193967125351,5.850895550079325,0.35833333333333334,0.0,0.0,-2.168404344971009e-19
1d_cnn,60,phase_q2,175,-1.6981436645477714,5.521040197165696,5.904665662740603,0.3942857142857143,0.0,0.0,0.0
1d_cnn,60,phase_q3,179,-0.990658818164036,5.411975393473382,7.7035438597855945,0.2849162011173184,0.0,0.0,0.0
1d_cnn,60,phase_q4,126,-1.2992514981005794,5.113757032743246,7.271250417243249,0.1746031746031746,0.0,0.0,-8.673617379884035e-19
1d_cnn,62,phase_q1,215,-1.9499643371606687,4.771620309443931,6.553012804442034,0.33488372093023255,0.0,0.0,0.0
1d_cnn,62,phase_q2,203,-2.253753214324292,4.274929057150556,5.4220623776035435,0.2561576354679803,0.0,0.0,0.0
1d_cnn,62,phase_q3,182,-1.6352583316312188,4.129733668379817,8.61698187430191,0.2692307692307692,0.0,-4.440892098500626e-16,0.0
1d_cnn,62,phase_q4,120,-2.761512496727036,4.639017144579208,5.789794336504472,0.2833333333333333,0.0,-4.440892098500626e-16,0.0
1d_cnn,64,phase_q1,226,-2.5140345432634996,4.254106620649108,6.41518872849088,0.33185840707964603,0.0,-4.440892098500626e-16,-2.168404344971009e-19
1d_cnn,64,phase_q2,191,-3.060979578024824,4.367684771956677,6.547343508748081,0.193717277486911,0.0,0.0,0.0
1d_cnn,64,phase_q3,180,-2.726653078738128,4.78914751850028,6.63720247264887,0.19444444444444445,0.0,0.0,-4.336808689942018e-19
1d_cnn,64,phase_q4,123,-2.1811051340595817,4.053784856843987,5.851631395671923,0.21138211382113822,0.0,0.0,0.0
1d_cnn,65,phase_q1,217,-1.721510688381784,5.544735158279085,8.202181789648312,0.3317972350230415,0.0,0.0,0.0
1d_cnn,65,phase_q2,166,-2.179724067615819,4.635812520948926,5.7662545827260345,0.2469879518072289,0.0,0.0,0.0
1d_cnn,65,phase_q3,145,-2.0573312587493824,5.356175897502484,8.58827633448393,0.2482758620689655,0.0,0.0,0.0
1d_cnn,65,phase_q4,117,-1.4123705900753922,4.034037408580899,5.563139236318008,0.2905982905982906,0.0,0.0,0.0
compact_waveform_transformer,42,phase_q1,225,2.558160089244802,5.9627026680352895,6.763494814075646,0.37777777777777777,0.0,0.0,0.0
compact_waveform_transformer,42,phase_q2,188,2.9161604822099543,5.93387124890091,6.732194351125345,0.3670212765957447,0.0,0.0,0.0
compact_waveform_transformer,42,phase_q3,135,2.4743233835248297,5.159933676089585,6.637396283126775,0.32592592592592595,0.0,0.0,0.0
compact_waveform_transformer,42,phase_q4,109,1.5510166308963915,5.621941442472242,6.634557189921301,0.28440366972477066,0.0,0.0,0.0
compact_waveform_transformer,50,phase_q1,236,0.10608658783577504,8.613394157676359,9.779197803553107,0.3728813559322034,0.0,0.0,-2.168404344971009e-19
compact_waveform_transformer,50,phase_q2,198,-0.22585028252921274,8.9256555862012,9.221375561307255,0.3282828282828283,0.0,8.881784197001252e-16,-4.336808689942018e-19
compact_waveform_transformer,50,phase_q3,146,-0.3154587478507533,8.353312419738527,9.393065420813429,0.4589041095890411,0.0,8.881784197001252e-16,4.336808689942018e-19
compact_waveform_transformer,50,phase_q4,100,0.19838983377835762,7.813835520239756,8.481644369578426,0.29,0.0,0.0,4.336808689942018e-19
compact_waveform_transformer,57,phase_q1,233,0.0788767132900218,6.159710669572151,6.3568313348823535,0.40772532188841204,0.0,0.0,0.0
compact_waveform_transformer,57,phase_q2,173,0.3573076798391774,5.928077348103169,5.921972287854988,0.37572254335260113,0.0,0.0,0.0
compact_waveform_transformer,57,phase_q3,165,0.9618413469706866,6.400856853804912,6.326440749590113,0.38181818181818183,0.0,0.0,0.0
compact_waveform_transformer,57,phase_q4,99,-0.047681588718909,7.234305827114451,6.470326572399804,0.26262626262626265,0.0,0.0,0.0
compact_waveform_transformer,58,phase_q1,234,-2.936246464550679,7.762931234086353,7.386571487303098,0.4358974358974359,0.0,8.881784197001252e-16,0.0
compact_waveform_transformer,58,phase_q2,179,-1.5634273959668654,5.253253627814666,5.619717566657801,0.441340782122905,0.0,0.0,0.0
compact_waveform_transformer,58,phase_q3,139,-1.0047043310757855,4.106699608261188,5.7220044124902465,0.5107913669064749,0.0,0.0,0.0
compact_waveform_transformer,58,phase_q4,102,-2.9214443889979336,5.532917944519879,6.628370427858513,0.43137254901960786,0.0,0.0,-2.168404344971009e-19
compact_waveform_transformer,60,phase_q1,240,0.3678131810207841,6.314202627751445,6.1428757865291015,0.35833333333333334,0.0,0.0,-2.168404344971009e-19
compact_waveform_transformer,60,phase_q2,175,0.8016699888849459,5.572155577400174,5.545647225727722,0.3942857142857143,0.0,0.0,0.0
compact_waveform_transformer,60,phase_q3,179,1.0385527930879022,5.9848729877994185,5.707727558891216,0.2849162011173184,0.0,0.0,0.0
compact_waveform_transformer,60,phase_q4,126,0.41911255909448464,5.347056341216871,5.730273173230881,0.1746031746031746,0.0,0.0,-8.673617379884035e-19
compact_waveform_transformer,62,phase_q1,215,0.1001398450598962,5.584028233721726,5.688404635176074,0.33488372093023255,0.0,0.0,0.0
compact_waveform_transformer,62,phase_q2,203,0.2888515009211296,4.888865773329584,5.145892791934703,0.2561576354679803,0.0,0.0,0.0
compact_waveform_transformer,62,phase_q3,182,0.7501821543036051,5.011112579715471,5.244654678297205,0.2692307692307692,0.0,-4.440892098500626e-16,0.0
compact_waveform_transformer,62,phase_q4,120,-1.4575585309835528,5.119212523374799,4.889695182248357,0.2833333333333333,0.0,-4.440892098500626e-16,0.0
compact_waveform_transformer,64,phase_q1,226,-0.20274354977702555,6.044373408046558,5.914528370902954,0.33185840707964603,0.0,-4.440892098500626e-16,-2.168404344971009e-19
compact_waveform_transformer,64,phase_q2,191,-0.0206296151081719,4.553682057056815,6.275818754248648,0.193717277486911,0.0,0.0,0.0
compact_waveform_transformer,64,phase_q3,180,0.4390411454152545,5.293388100613791,4.89465226813274,0.19444444444444445,0.0,0.0,-4.336808689942018e-19
compact_waveform_transformer,64,phase_q4,123,-0.0120790027570336,5.045101871280254,5.155910357096315,0.21138211382113822,0.0,0.0,0.0
compact_waveform_transformer,65,phase_q1,217,0.2337248869142918,6.757687318815616,6.49739436969107,0.3317972350230415,0.0,0.0,0.0
compact_waveform_transformer,65,phase_q2,166,0.5570514326209466,4.713637950272396,4.848705973754982,0.2469879518072289,0.0,0.0,0.0
compact_waveform_transformer,65,phase_q3,145,1.916609218856252,4.965226723157295,5.724245315931372,0.2482758620689655,0.0,0.0,0.0
