method,sampling_phase_bin,n,bias_ns,sigma68_ns,rms_ns,bias_ns_ci_low,bias_ns_ci_high,pileup_false_positive_rate,saturation_tail_rate,pedestal_residual_adc,energy_scale_drift_log_adc,pid_boundary_movement
1d_cnn,phase_q1,1826,-1.7700726027324638,6.002738954331591,8.307614074762286,-2.780325023278228,-0.7327920402945219,0.3696604600219058,1.0,0.0,-8.881784197001252e-16,-2.168404344971009e-19
1d_cnn,phase_q2,1473,-2.159460047136733,5.416946396222824,6.874439269948524,-2.987564619573845,-0.879469078792682,0.32382892057026474,1.0,0.0,0.0,0.0
1d_cnn,phase_q3,1271,-1.775596475774644,5.730607814567546,8.210946954991492,-3.0317740183451094,-0.9694207414119603,0.32730133752950435,1.0,0.0,0.0,0.0
1d_cnn,phase_q4,896,-2.073402800826779,5.939111175561299,8.047045569004824,-3.209472225498864,-1.4693189661044779,0.27455357142857145,1.0,0.0,-4.440892098500626e-16,0.0
compact_waveform_transformer,phase_q1,1826,0.03178132893630885,6.5009756059737045,6.947020255584022,-1.0915816897343418,0.7816850891599256,0.3696604600219058,1.0,0.0,-8.881784197001252e-16,-2.168404344971009e-19
compact_waveform_transformer,phase_q2,1473,0.4702947446489114,5.518194172753189,6.342789918024538,-0.3385123709305446,1.559917485188658,0.32382892057026474,1.0,0.0,0.0,0.0
compact_waveform_transformer,phase_q3,1271,0.6440536020451804,5.62343781894327,6.264883612929092,-0.2775799048719392,1.6238882543178352,0.32730133752950435,1.0,0.0,0.0,0.0
compact_waveform_transformer,phase_q4,896,-0.26848261335466006,5.7475436937580415,6.238836191507422,-1.2187007796206066,0.5176344288095569,0.27455357142857145,1.0,0.0,-4.440892098500626e-16,0.0
derivative_gate_transformer_new,phase_q1,1826,-2.9366285596145376,4.883893210395017,6.761785287601161,-3.946685364235675,-2.0425090758946043,0.3696604600219058,1.0,0.0,-8.881784197001252e-16,-2.168404344971009e-19
derivative_gate_transformer_new,phase_q2,1473,-2.3485207541962723,4.936625903266051,6.665695353301387,-3.367543818711657,-1.4801649524677734,0.32382892057026474,1.0,0.0,0.0,0.0
derivative_gate_transformer_new,phase_q3,1271,-2.3947781713584195,4.904318961984626,6.4668106825756,-2.971626272347879,-1.4810559009944098,0.32730133752950435,1.0,0.0,0.0,0.0
derivative_gate_transformer_new,phase_q4,896,-2.3680724534241504,4.883413137876378,6.146354226918944,-3.736796422862817,-1.2129923643316303,0.27455357142857145,1.0,0.0,-4.440892098500626e-16,0.0
gradient_boosted_trees,phase_q1,1826,-0.5998185128792475,3.929926807076437,4.761282647535952,-1.8925146791438536,0.9248211680083641,0.3696604600219058,1.0,0.0,-8.881784197001252e-16,-2.168404344971009e-19
gradient_boosted_trees,phase_q2,1473,-0.5918713674098481,3.7748071528643186,4.5474258527439915,-1.7884218526327937,0.5240921559115055,0.32382892057026474,1.0,0.0,0.0,0.0
gradient_boosted_trees,phase_q3,1271,-0.4897498996462071,3.6246945766552097,4.671255905207297,-1.6600861409738066,0.5899964349422908,0.32730133752950435,1.0,0.0,0.0,0.0
gradient_boosted_trees,phase_q4,896,-0.6765019563068053,3.7197064903936736,4.3428651752806875,-2.144227620929404,0.5163057408175559,0.27455357142857145,1.0,0.0,-4.440892098500626e-16,0.0
mlp,phase_q1,1826,-0.7972482604644462,4.468157424402906,5.117436324881391,-1.6519901462439022,0.9419677760823013,0.3696604600219058,1.0,0.0,-8.881784197001252e-16,-2.168404344971009e-19
mlp,phase_q2,1473,-0.8987725352366085,4.227415771447655,4.98945165202105,-2.1396849856386257,0.7184205393624292,0.32382892057026474,1.0,0.0,0.0,0.0
mlp,phase_q3,1271,-1.1666575029467423,4.355577502823612,5.04880515525985,-1.984995579697747,0.5400196736520576,0.32730133752950435,1.0,0.0,0.0,0.0
mlp,phase_q4,896,-0.9711705528062293,4.2771077610735055,4.706092095584387,-2.0223925496265367,0.2679718893971188,0.27455357142857145,1.0,0.0,-4.440892098500626e-16,0.0
ridge,phase_q1,1826,-0.6397655592049567,4.368326735937912,5.328188693895186,-1.7449174084987191,0.46319018908244697,0.3696604600219058,1.0,0.0,-8.881784197001252e-16,-2.168404344971009e-19
ridge,phase_q2,1473,-0.5168159499541076,4.083637722190111,4.961385856666285,-1.6348916511019758,0.6567352666924228,0.32382892057026474,1.0,0.0,0.0,0.0
ridge,phase_q3,1271,-0.4178235000128723,3.9766207369334765,5.305406591928037,-1.1560850872006525,0.6426817315053149,0.32730133752950435,1.0,0.0,0.0,0.0
ridge,phase_q4,896,-0.4804904692790672,4.146314820939946,4.907502767204041,-1.487697390533587,0.5884063840377416,0.27455357142857145,1.0,0.0,-4.440892098500626e-16,0.0
traditional_cfd_template_derivative,phase_q1,1826,0.44074406897649876,0.8769111484975749,0.9495719456087122,0.1217656819000456,0.6807344534675838,0.3696604600219058,1.0,0.0,-8.881784197001252e-16,-2.168404344971009e-19
traditional_cfd_template_derivative,phase_q2,1473,0.406279966983341,0.8903727820071692,0.9273978658671658,0.03112328350728348,0.661720259630883,0.32382892057026474,1.0,0.0,0.0,0.0
traditional_cfd_template_derivative,phase_q3,1271,0.3364336667784451,0.9520420017370668,0.9425354600352966,-0.008868811119673586,0.6301165853214936,0.32730133752950435,1.0,0.0,0.0,0.0
traditional_cfd_template_derivative,phase_q4,896,0.27655020645093836,0.8600281978128566,0.864081192048634,-0.04436666247113148,0.5483480672825024,0.27455357142857145,1.0,0.0,-4.440892098500626e-16,0.0
