method,trigger_alignment_bin,n,bias_ns,sigma68_ns,rms_ns
1d_cnn,even_peak_sample,2741,-2.098170950986942,5.3510429005035345,7.482133767420082
1d_cnn,odd_peak_sample,2725,-1.7579709746742882,6.387828122050988,8.259511025164691
compact_waveform_transformer,even_peak_sample,2741,0.4469718636970796,5.799782675807981,6.235680305910322
compact_waveform_transformer,odd_peak_sample,2725,-0.0166548643373758,6.013537407645055,6.788144114452982
derivative_gate_transformer_new,even_peak_sample,2741,-2.4214227582248924,4.686508218668,6.264099841300792
derivative_gate_transformer_new,odd_peak_sample,2725,-2.6132208444521225,5.000414164753474,6.8638954755047195
gradient_boosted_trees,even_peak_sample,2741,-0.657016672989271,3.6689623410646095,4.382287328771161
gradient_boosted_trees,odd_peak_sample,2725,-0.5171627420781135,3.9085325428912965,4.840539819433086
mlp,even_peak_sample,2741,-0.8420303953778556,4.1595622358274476,4.820992107980997
mlp,odd_peak_sample,2725,-1.0007300144042564,4.5065385689501465,5.176710563641138
ridge,even_peak_sample,2741,-0.6474566009232952,4.148409594516462,5.064767003257874
ridge,odd_peak_sample,2725,-0.4381304319939403,4.156118587905187,5.251132070009036
traditional_cfd_template_derivative,even_peak_sample,2741,0.3886366862303099,0.8682996952291726,0.8975464902750598
traditional_cfd_template_derivative,odd_peak_sample,2725,0.3857965534215886,0.9346089739744704,0.958466971674776
