run,stave,low_current,n
44,B2,0,91
44,B4,0,39
44,B6,0,31
44,B8,0,17
45,B2,0,293
45,B4,0,375
45,B6,0,309
45,B8,0,177
46,B2,1,675
46,B4,1,7
46,B6,1,3
46,B8,1,2
47,B2,1,1200
47,B4,1,85
47,B6,1,50
47,B8,1,25
48,B2,0,216
48,B4,0,228
48,B6,0,194
48,B8,0,112
49,B2,0,203
49,B4,0,228
49,B6,0,231
49,B8,0,115
50,B2,0,265
50,B4,0,237
50,B6,0,258
50,B8,0,140
51,B2,0,118
51,B4,0,118
51,B6,0,146
51,B8,0,60
52,B2,0,87
52,B4,0,60
52,B6,0,64
52,B8,0,35
53,B2,0,217
53,B4,0,203
53,B6,0,235
53,B8,0,120
54,B2,0,215
54,B4,0,207
54,B6,0,230
54,B8,0,113
55,B2,0,203
55,B4,0,142
55,B6,0,158
55,B8,0,81
56,B2,0,289
56,B4,0,334
56,B6,0,331
56,B8,0,172
57,B2,0,203
57,B4,0,229
57,B6,0,213
57,B8,0,130
