max_depth,min_samples_leaf,n_estimators,roc_auc,roc_auc_ci,average_precision,average_precision_ci,brier_isotonic,brier_ci
7,20,250,0.7682546212172584,"[0.758211118799001, 0.7784993424471982]",0.39030499770758176,"[0.37044076602767473, 0.410719026116237]",0.14506462359036246,"[0.14086721512185546, 0.14896917051045172]"
5,30,150,0.7642723084935552,"[0.7536131467846288, 0.7738850570593309]",0.38256472744706704,"[0.36231953959320756, 0.4027235142898827]",0.14257201852432613,"[0.13868264758404578, 0.1467139638004715]"
5,30,250,0.7633889422462592,"[0.7527025573054202, 0.7730885899099266]",0.38002986955541096,"[0.36047112235784995, 0.4017278692373683]",0.1433885769712823,"[0.13963746854516698, 0.147646396202345]"
3,50,150,0.7558932888729586,"[0.7443741897092485, 0.7659959412774885]",0.363389947341739,"[0.344791919411582, 0.38173837064309557]",0.15897252634144324,"[0.15473008500051422, 0.1633946549087538]"
