hidden,weight_decay,fold,sigma68_ns,n_pair_residuals,pred_sigma_median_ns
16,0.001,0,3.1542343020565764,3018,3.093250870704651
16,0.001,1,1.6921535249290098,3534,2.471432685852051
16,0.001,2,2.2467779149084586,4710,2.8241469860076904
16,0.001,-1,2.364388580631348,0,
32,0.001,0,2.1648096643468295,3018,1.9366973638534546
32,0.001,1,1.5546171481368256,3534,1.9967666268348694
32,0.001,2,1.700304120631645,4710,1.652480959892273
32,0.001,-1,1.8065769777051,0,
