model,size,weight_decay,fold,sigma68_ns,n_pair_residuals,pred_sigma_median_ns
mlp_analytic_residual,16,0.001,0,1.9206465748869552,3018,1.9293742775917053
mlp_analytic_residual,16,0.001,1,1.4281072428577863,3534,2.2055383920669556
mlp_analytic_residual,16,0.001,2,1.4833949050747255,4710,2.1716678142547607
mlp_analytic_residual,16,0.001,-1,1.6107162409398221,0,
mlp_analytic_residual,16,0.01,0,1.9191384128653184,3018,1.9272844791412354
mlp_analytic_residual,16,0.01,1,1.4285158843963452,3534,2.2055174112319946
mlp_analytic_residual,16,0.01,2,1.4840007175965462,4710,2.173043131828308
mlp_analytic_residual,16,0.01,-1,1.6105516716194035,0,
mlp_analytic_residual,32,0.001,0,1.9017536555650514,3018,1.7933637499809265
mlp_analytic_residual,32,0.001,1,1.5605007690589359,3534,2.118894100189209
mlp_analytic_residual,32,0.001,2,1.48469732855781,4710,2.1268755197525024
mlp_analytic_residual,32,0.001,-1,1.6489839177272658,0,
mlp_analytic_residual,32,0.01,0,1.9019881609464226,3018,1.7929975986480713
mlp_analytic_residual,32,0.01,1,1.560753334642284,3534,2.120277762413025
mlp_analytic_residual,32,0.01,2,1.4808025973091636,4710,2.1284334659576416
mlp_analytic_residual,32,0.01,-1,1.6478480309659567,0,
cnn_analytic_residual,4,0.001,0,1.9090141392616609,3018,2.289945602416992
cnn_analytic_residual,4,0.001,1,1.361845906767244,3534,2.5065563917160034
cnn_analytic_residual,4,0.001,2,1.5010777273955944,4710,2.38454008102417
cnn_analytic_residual,4,0.001,-1,1.590645924474833,0,
cnn_analytic_residual,4,0.01,0,1.9112999318791337,3018,2.2903988361358643
cnn_analytic_residual,4,0.01,1,1.3613422746702313,3534,2.504987359046936
cnn_analytic_residual,4,0.01,2,1.5010858441107733,4710,2.383692741394043
cnn_analytic_residual,4,0.01,-1,1.5912426835533795,0,
cnn_analytic_residual,8,0.001,0,1.9359187254104566,3018,2.1619491577148438
cnn_analytic_residual,8,0.001,1,1.4198191493174694,3534,2.427232503890991
cnn_analytic_residual,8,0.001,2,1.4853113846064685,4710,2.3975830078125
cnn_analytic_residual,8,0.001,-1,1.6136830864447982,0,
cnn_analytic_residual,8,0.01,0,1.9343544568381328,3018,2.162388801574707
cnn_analytic_residual,8,0.01,1,1.4197212454101702,3534,2.426514506340027
cnn_analytic_residual,8,0.01,2,1.4853259944499608,4710,2.3968846797943115
cnn_analytic_residual,8,0.01,-1,1.6131338988994213,0,
