method,n,bias,res68,mae,res68_ci95,bias_ci95,mae_ci95
gradient_boosted_trees,88089,0.0033251374384648535,0.01569260862332334,0.027917244351673958,"[0.012043406547890073, 0.019924458890556232]","[0.0024946861670774546, 0.004306044867853479]","[0.022805848289224825, 0.033649105321987866]"
traditional_fractional_delay_template,88089,-0.00210459243768224,0.018160026296102926,0.038692931658643466,"[0.016483277054745213, 0.020346939045237974]","[-0.0031474716236049457, -0.001185950889042672]","[0.03162862143450207, 0.045401288811583736]"
charge_tail_integration,88089,0.0007394094094950177,0.024605275411124047,0.061319984436191244,"[0.018327049069111045, 0.03018890117260721]","[-0.0005262658810993859, 0.002646680366709064]","[0.04771591833225684, 0.07423505728981324]"
birks_huber_saturation,88089,-0.0009733940782770123,0.026784424067925305,0.06054704387748341,"[0.020670770476014563, 0.03205393958581623]","[-0.003675721049291403, 0.0027101429940665387]","[0.049379577921226755, 0.07313203149882601]"
mlp,88089,-0.0030049681663513184,0.045014941692352296,0.05160194213120621,"[0.04015351366996765, 0.04903064131736759]","[-0.006915169954299927, 0.0017186209559440628]","[0.045733859549553876, 0.0567303397330835]"
waveform_transformer,88089,0.009613096714019775,0.04585033893585205,0.053896012221508055,"[0.04343169766664507, 0.04869784766435623]","[0.0014200225472450257, 0.015448093414306642]","[0.047420468717696895, 0.06045166477829686]"
ridge,88089,-0.008781491778927841,0.0473185934807427,0.055854232138582025,"[0.04047792501981823, 0.05523039611567644]","[-0.014750031636344548, -0.003831509945911894]","[0.04890336087049925, 0.06342473873879581]"
1d_cnn,88089,-0.011636614799499512,0.059037315845489505,0.07194032999210763,"[0.0543318548202515, 0.06441608709096909]","[-0.018881963193416597, -0.0038875401020050013]","[0.06301626451007446, 0.0805266296151102]"
gated_residual_cnn,88089,0.01145392656326294,0.07654348611831667,0.08378029639608506,"[0.06954538005590438, 0.08692556446790696]","[0.0026996612548828127, 0.022164343297481535]","[0.07568670710784191, 0.09262941990016302]"
