method,stratum,metric,value,ci_low,ci_high,heldout_rows
traditional residual PCA-4,q1_low,balanced_accuracy,0.2253954247558279,0.20494588125836727,0.256171312653679,3942
traditional residual PCA-4,q2_midlow,balanced_accuracy,0.2235759100087965,0.19423634679968707,0.23794178083101553,3341
traditional residual PCA-4,q3_midhigh,balanced_accuracy,0.20153838303579802,0.19169035275192933,0.20796709664803487,3068
traditional residual PCA-4,q4_high,balanced_accuracy,0.26938871329760433,0.2086319468448746,0.325030193236715,1647
ML residual masked-denoising AE-4,q1_low,balanced_accuracy,0.20005039332310753,0.18259874685810498,0.21461562938151263,3942
ML residual masked-denoising AE-4,q2_midlow,balanced_accuracy,0.2355913954787312,0.2230147776364959,0.25042399344470956,3341
ML residual masked-denoising AE-4,q3_midhigh,balanced_accuracy,0.24898819269457406,0.21311295672037284,0.2737576132732318,3068
ML residual masked-denoising AE-4,q4_high,balanced_accuracy,0.3627610966057441,0.2811959903214656,0.4395150131451502,1647
proxy: amplitude+topology,q1_low,balanced_accuracy,0.5124374355530936,0.4758788021053674,0.5410752083274316,3942
proxy: amplitude+topology,q2_midlow,balanced_accuracy,0.7003348891165276,0.6355961060338513,0.7363923163498941,3341
proxy: amplitude+topology,q3_midhigh,balanced_accuracy,0.8491550339214324,0.8144156557589688,0.8731225569411174,3068
proxy: amplitude+topology,q4_high,balanced_accuracy,0.7098134533461591,0.6193452380952381,0.8017063148354552,1647
