method,metric,value,ci_low,ci_high,macro_f1,train_rows,heldout_rows,category
leakage check: AE label-shuffle,balanced_accuracy,0.2986003434433352,0.29609528055831935,0.3036239698672088,0.27954304354993936,82118,11998,sentinel
proxy: amplitude only,balanced_accuracy,0.34655043395512164,0.32387190415543654,0.35979468713549334,0.27307483575133545,82118,11998,proxy
proxy: topology only,balanced_accuracy,0.6752290635402239,0.6377612471188715,0.6922492224833524,0.6356244972129069,82118,11998,proxy
proxy: amplitude+topology,balanced_accuracy,0.6687480711432652,0.6374110141810498,0.6834329352205828,0.6228120962090313,82118,11998,proxy
leakage check: peer topology mask,balanced_accuracy,0.8417831788188902,0.7882981941850584,0.8776837846167252,0.8799096509894133,82118,11998,sentinel
leakage check: target-including topology,balanced_accuracy,0.8277106966944232,0.8037629176334627,0.8484070513803289,0.7319173771393914,82118,11998,sentinel
