epoch,training_loss
1,0.18001691926093327
2,0.166861830722718
3,0.1406401644150416
4,0.0999632967369897
5,0.08601208811714536
6,0.07735317910001391
7,0.0674300566315651
8,0.05595473217822257
9,0.05026811964455105
10,0.0451203744326319
11,0.042704513030392785
12,0.04198937029356048
13,0.04174148291349411
14,0.03985188316021647
15,0.039606328521456034
16,0.038555758340018134
17,0.03727974760390464
18,0.03862026298329944
19,0.03646028139406726
20,0.03571304306387901
21,0.03590872138738632
22,0.03455689726840882
23,0.034054940477723165
24,0.033103998218263896
25,0.032885986424627756
