quantity,report_value,reproduced,delta,tolerance,pass
low_2nA multi_stave_per_selected_event,0.0156,0.015587529976019185,-1.2470023980814399e-05,0.0015,True
low_2nA three_stave_per_selected_event,0.0041,0.0041109969167523125,1.099691675231218e-05,0.0015,True
low_2nA downstream_per_selected_event,0.0231,0.023124357656731757,2.435765673175841e-05,0.0015,True
high_20nA multi_stave_per_selected_event,0.0268,0.026806295960723994,6.295960723993327e-06,0.0015,True
high_20nA three_stave_per_selected_event,0.0085,0.00853789586801239,3.789586801238899e-05,0.0015,True
high_20nA downstream_per_selected_event,0.0334,0.03341410480625382,1.4104806253821545e-05,0.0015,True
S10d 5pct template live-time,141.0557117938371,141.0557117938371,0.0,0.05,True
S10d 10pct template live-time,124.79018394263471,124.79018394263471,0.0,0.05,True
S10d 20pct template live-time,101.86521002119034,101.86521002119034,0.0,0.05,True
S10d noise-floor template live-time,161.18335762759685,161.18335762759685,0.0,0.05,True
S10d 5pct naive empirical live-time,124.87810615613058,124.87810615613058,0.0,0.05,True
S10d 10pct naive empirical live-time,123.25552601769233,123.25552601769233,0.0,0.05,True
S10d 20pct naive empirical live-time,119.0300244680748,119.0300244680748,0.0,0.05,True
S10d noise-floor naive empirical live-time,120.37181019387364,120.37181019387364,0.0,0.05,True
