target,label,threshold_fraction,traditional_template_mean_ns,traditional_template_ci95_low_ns,traditional_template_ci95_high_ns,s10d_naive_empirical_mean_ns,s10d_naive_empirical_ci95_low_ns,s10d_naive_empirical_ci95_high_ns,s10d_direct_ml_mean_ns,s10d_direct_ml_ci95_low_ns,s10d_direct_ml_ci95_high_ns,s10d_direct_ml_mean_r2
5pct,5%,0.05,141.0557117938371,139.2608060119394,142.95621711047474,124.87810615613058,122.58465306113085,126.96124496823349,124.75498010671699,122.58762150449328,126.76497699722762,0.8840212513190387
10pct,10%,0.1,124.79018394263471,123.34907890309188,126.3128510727213,123.25552601769233,120.53620983398633,125.77084998811154,123.21520754849443,120.73530434920546,125.56627148542313,0.8839928589969489
20pct,20%,0.2,101.86521002119034,100.90676316079998,102.84904960671787,119.0300244680748,115.34331223539311,122.6770646867766,119.1803543650311,115.73185500153535,122.59063015813796,0.8895180479068567
noise_floor,noise floor,0.006727491100764061,161.18335762759685,158.95884149353788,163.5877869164058,120.37181019387364,116.86190354991496,123.84848513833323,120.29899988935708,117.03952163974355,123.2316048953353,0.8150978473339945
