target,label,template_exponential_cross_ns,template_ci95_low_ns,template_ci95_high_ns,naive_last_above_mean_ns,naive_ci95_low_ns,naive_ci95_high_ns,km_restricted_mean_ns,km_ci95_low_ns,km_ci95_high_ns,censored_weibull_mean_ns,weibull_ci95_low_ns,weibull_ci95_high_ns,ml_ipcw_mean_ns,ml_ipcw_ci95_low_ns,ml_ipcw_ci95_high_ns,censored_fraction,uncensored_tail_excess_over_km_ns,weibull_minus_template_ns,ml_minus_weibull_ns
5pct,5%,141.0557117938371,139.2608060119394,142.95621711047474,124.87810615613061,122.46040878395439,126.95466241796757,156.9025875835712,154.37211045107603,159.1934931419227,2832.9805505812233,2030.4246954846883,3646.838929815533,192.59764957922658,187.739433492172,197.669336498805,0.9352692958384735,2275.7755976138524,2691.9248387873863,-2640.3829010019967
10pct,10%,124.79018394263471,123.34907890309188,126.3128510727213,123.25552601769239,120.51288847149306,125.75195299157802,151.6379100027044,148.07736550617358,154.93822192563576,1357.2395240902038,934.5821436453239,1801.0678371308938,179.0489111795885,172.84015384640838,185.25607562492496,0.8630373869324725,1205.6016140874992,1232.449340147569,-1178.1906129106153
20pct,20%,101.86521002119034,100.90676316079998,102.84904960671787,119.03002446807481,115.34995250388468,122.6241306189329,141.66904250389638,136.08042503059986,147.27502278107352,690.8921557678568,468.44338711366385,920.7977049285298,127.37723943156972,119.62269018032673,135.5748945830021,0.7388853651837736,549.2231132639605,589.0269457466665,-563.5149163362871
noise_floor,noise floor,161.18335762759685,158.95884149353788,163.5877869164058,120.37181019387366,116.58257853660167,123.94068719888229,148.33041209066135,143.15866129971513,153.52698207625104,2250.2852529798265,1614.6659463471394,2865.2378603374104,405.676978937126,393.6345305626292,418.1219131816349,0.9235921476515753,2101.9548408891646,2089.10189535223,-1844.6082740427005
