target,label,estimator,mean,ci95_low,ci95_high,n_runs
5pct,5%,naive_last_above_mean_ns,124.87810615613061,122.46040878395439,126.95466241796757,14
5pct,5%,km_restricted_mean_ns,156.9025875835712,154.37211045107603,159.1934931419227,14
5pct,5%,censored_weibull_mean_ns,2832.9805505812233,2030.4246954846883,3646.838929815533,14
5pct,5%,censored_weibull_median_ns,1963.672481216537,1381.6248247577948,2553.239350478664,14
5pct,5%,censored_fraction,0.9352692958384735,0.9128595183258065,0.9554381324109057,14
5pct,5%,uncensored_tail_excess_over_km_ns,2275.7755976138524,1518.6923468954626,3038.1032395109532,14
10pct,10%,naive_last_above_mean_ns,123.25552601769239,120.51288847149306,125.75195299157802,14
10pct,10%,km_restricted_mean_ns,151.6379100027044,148.07736550617358,154.93822192563576,14
10pct,10%,censored_weibull_mean_ns,1357.2395240902038,934.5821436453239,1801.0678371308938,14
10pct,10%,censored_weibull_median_ns,940.7667494676464,650.5463363136494,1247.857630756764,14
10pct,10%,censored_fraction,0.8630373869324725,0.8231185702893965,0.903400149528983,14
10pct,10%,uncensored_tail_excess_over_km_ns,1205.6016140874992,776.7945553964929,1666.4845602074809,14
20pct,20%,naive_last_above_mean_ns,119.03002446807481,115.34995250388468,122.6241306189329,14
20pct,20%,km_restricted_mean_ns,141.66904250389638,136.08042503059986,147.27502278107352,14
20pct,20%,censored_weibull_mean_ns,690.8921557678568,468.44338711366385,920.7977049285298,14
20pct,20%,censored_weibull_median_ns,478.8899498414725,323.8024368987056,641.8392197005551,14
20pct,20%,censored_fraction,0.7388853651837736,0.6603947083440822,0.8153505374715361,14
20pct,20%,uncensored_tail_excess_over_km_ns,549.2231132639605,330.6464927339817,769.7323118115003,14
noise_floor,noise floor,naive_last_above_mean_ns,120.37181019387366,116.58257853660167,123.94068719888229,14
noise_floor,noise floor,km_restricted_mean_ns,148.33041209066135,143.15866129971513,153.52698207625104,14
noise_floor,noise floor,censored_weibull_mean_ns,2250.2852529798265,1614.6659463471394,2865.2378603374104,14
noise_floor,noise floor,censored_weibull_median_ns,1559.7788785585897,1134.2812430643366,1998.0376947487512,14
noise_floor,noise floor,censored_fraction,0.9235921476515753,0.8993493837215896,0.9463672073419477,14
noise_floor,noise floor,uncensored_tail_excess_over_km_ns,2101.9548408891646,1480.8206321081132,2734.0576574545507,14
