split_name,method,endpoint,metric,timing_shape_cells,cell_span,cell_std,largest_abs_cell,largest_abs_value
particle_heldout,spectral_transformer_new,pid_separation,roc_auc,6,0.8174178762414057,0.3232966233070412,timing_tail/mid_harmonic,0.8174178762414057
particle_heldout,traditional_dE_E_tail_pedestal_likelihood,pid_separation,roc_auc,6,0.7650921144897049,0.2953124426943206,timing_tail/low_harmonic,0.999219098616689
particle_heldout,1d_cnn,pid_separation,roc_auc,6,0.6867838044308633,0.28852339478877664,timing_tail/mid_harmonic,0.6867838044308633
particle_heldout,spectral_transformer_new,energy_scale,energy_bias,6,0.6865803839637833,0.22901132020767065,timing_tail/low_harmonic,-0.8874677642093036
particle_heldout,ridge,pid_separation,roc_auc,6,0.6717265888952637,0.26626007846675565,timing_tail/low_harmonic,0.999107541276216
particle_heldout,mlp,pid_separation,roc_auc,6,0.6596505067890609,0.21599607793255288,timing_tail/low_harmonic,0.96619812583668
particle_heldout,1d_cnn,saturation_clipping,roc_auc,5,0.5340898825654923,0.19623403676570872,timing_tail/mid_harmonic,0.7703703703703704
particle_heldout,spectral_transformer_new,saturation_clipping,roc_auc,5,0.4680576268287338,0.17847416175291245,timing_tail/low_harmonic,0.6662283585360509
particle_heldout,mlp,saturation_clipping,roc_auc,5,0.4373385012919896,0.1725675645516988,timing_mid/low_harmonic,0.9373385012919896
particle_heldout,mlp,pileup_sideband,roc_auc,6,0.3571533274699502,0.11598272111990984,timing_core/mid_harmonic,0.996042216358839
particle_heldout,traditional_dE_E_tail_pedestal_likelihood,saturation_clipping,roc_auc,5,0.25466671210104597,0.08632651760019758,timing_mid/mid_harmonic,0.9984756097560975
particle_heldout,1d_cnn,energy_scale,energy_bias,6,0.21851465427955857,0.08114150515399154,timing_tail/low_harmonic,-0.5950731731864
particle_heldout,gradient_boosted_trees,pid_separation,roc_auc,6,0.20537433179429743,0.07406419930468318,timing_tail/low_harmonic,0.9972110664881749
particle_heldout,ridge,saturation_clipping,roc_auc,5,0.20141227423122354,0.06928962531062868,timing_mid/mid_harmonic,0.9984756097560975
particle_heldout,1d_cnn,pileup_sideband,roc_auc,6,0.17823065989233655,0.06086332652551282,timing_core/low_harmonic,0.9730538922155688
particle_heldout,traditional_dE_E_tail_pedestal_likelihood,energy_scale,energy_bias,6,0.17012697731024448,0.05757259562852467,timing_core/low_harmonic,-0.14874736748154946
particle_heldout,mlp,energy_scale,energy_bias,6,0.15877954755035034,0.054712767229193666,timing_mid/low_harmonic,0.08115887674128949
particle_heldout,gradient_boosted_trees,energy_scale,energy_bias,6,0.13984906017556417,0.04810563057878099,timing_tail/low_harmonic,-0.09837732610877853
particle_heldout,ridge,energy_scale,energy_bias,6,0.1230766273614484,0.03897613181487747,timing_core/low_harmonic,-0.11740161199290698
particle_heldout,spectral_transformer_new,pileup_sideband,roc_auc,6,0.0717436683694106,0.026981609396474964,timing_core/mid_harmonic,0.9934036939313985
particle_heldout,traditional_dE_E_tail_pedestal_likelihood,pileup_sideband,roc_auc,6,0.02721599879708292,0.009456814947303918,timing_tail/low_harmonic,1.0
particle_heldout,ridge,pileup_sideband,roc_auc,6,0.02661454026013088,0.009249938191176617,timing_tail/low_harmonic,1.0
particle_heldout,gradient_boosted_trees,pileup_sideband,roc_auc,6,0.021765280805954523,0.007849480294681832,timing_core/low_harmonic,1.0
particle_heldout,gradient_boosted_trees,saturation_clipping,roc_auc,5,0.0006459948320413078,0.0002583979328165231,timing_core/low_harmonic,1.0
run_heldout,1d_cnn,pileup_sideband,roc_auc,7,0.9440993788819876,0.3263416255064387,timing_mid/low_harmonic,1.0
run_heldout,1d_cnn,energy_scale,energy_bias,9,0.7895766771938852,0.2585338835498534,timing_mid/low_harmonic,-0.4314874987113416
run_heldout,spectral_transformer_new,pid_separation,roc_auc,9,0.6462503018893629,0.18116519224278635,timing_tail/high_harmonic,0.7923728813559322
run_heldout,spectral_transformer_new,energy_scale,energy_bias,9,0.59968095158452,0.208495512961395,timing_mid/low_harmonic,-0.3553825105521994
run_heldout,1d_cnn,pid_separation,roc_auc,9,0.5337974303973396,0.14162574343305842,timing_core/mid_harmonic,0.8429634881247785
run_heldout,spectral_transformer_new,saturation_clipping,roc_auc,9,0.5303242002708264,0.17034164898280132,timing_tail/low_harmonic,0.7889875666074601
run_heldout,mlp,pileup_sideband,roc_auc,7,0.5,0.17292758962621874,timing_core/low_harmonic,1.0
run_heldout,mlp,saturation_clipping,roc_auc,9,0.44454022988505726,0.17471145170070185,timing_core/low_harmonic,0.9445402298850573
