method,bin,mean_predicted_probability,observed_clean_fraction,absolute_calibration_error
traditional_span_q,1,1.208675437858872e-05,0.0,1.208675437858872e-05
traditional_span_q,2,0.9999999908483337,1.0,9.151666313655937e-09
ridge,1,0.023163148864165296,0.004835589941972921,0.018327558922192375
ridge,2,0.14528497693752107,0.0056022408963585435,0.13968273604116252
ridge,3,0.24953178040364116,0.036885245901639344,0.21264653450200183
ridge,4,0.3511317220286162,0.09561752988047809,0.2555141921481381
ridge,5,0.4484384537373873,0.21568627450980393,0.23275217922758334
ridge,6,0.5468784937422672,0.4044943820224719,0.14238411171979526
ridge,7,0.6521302256022908,0.6763005780346821,0.024170352432391295
ridge,8,0.756526797971845,0.910761154855643,0.15423435688379805
ridge,9,0.8645324032767404,0.975201072386059,0.11066866910931861
ridge,10,0.9669870668143734,0.9865663621708759,0.01957929535650249
gradient_boosted_trees,1,0.019567903920016654,0.004596527068437181,0.014971376851579473
gradient_boosted_trees,2,0.1452746809244601,0.04310344827586207,0.10217123264859804
gradient_boosted_trees,3,0.24500701569604824,0.1746031746031746,0.07040384109287365
gradient_boosted_trees,4,0.3456043795228378,0.29411764705882354,0.05148673246401425
gradient_boosted_trees,5,0.4520488901785921,0.4716981132075472,0.019649223028955054
gradient_boosted_trees,6,0.5439159296588493,0.5625,0.018584070341150727
gradient_boosted_trees,7,0.6491138825290292,0.5348837209302325,0.11423016159879673
gradient_boosted_trees,8,0.756352396980987,0.6923076923076923,0.0640447046732947
gradient_boosted_trees,9,0.86183158222727,0.8175675675675675,0.04426401465970242
gradient_boosted_trees,10,0.9862879549662796,0.9906567366283006,0.004368781662020926
mlp,1,0.008818049436022027,0.0048,0.004018049436022028
mlp,2,0.1451128873184622,0.055944055944055944,0.08916883137440626
mlp,3,0.25289666587875964,0.07692307692307693,0.1759735889556827
mlp,4,0.342929519985208,0.11864406779661017,0.2242854521885978
mlp,5,0.44917204312983716,0.22727272727272727,0.2218993158571099
mlp,6,0.5492325342798667,0.425,0.12423253427986675
mlp,7,0.6571448285180375,0.5961538461538461,0.060990982364191315
mlp,8,0.7568147963935491,0.8266666666666667,0.06985187027311757
mlp,9,0.8599295440367588,0.8628318584070797,0.0029023143703208465
mlp,10,0.985393459690121,0.9908281998631074,0.0054347401729863964
cnn1d,1,0.06747764404919465,0.01812004530011325,0.0493575987490814
cnn1d,2,0.1399280958541593,0.13916256157635468,0.0007655342778046248
cnn1d,3,0.24382319552914986,0.4755784061696658,0.23175521064051594
cnn1d,4,0.3553665214796629,0.543918918918919,0.18855239743925606
cnn1d,5,0.44583099668427945,0.6805970149253732,0.23476601824109372
cnn1d,6,0.5584030322011028,0.7702127659574468,0.21180973375634404
cnn1d,7,0.6534113618912427,0.8870292887029289,0.23361792681168614
cnn1d,8,0.7552521688339529,0.9661016949152542,0.21084952608130136
cnn1d,9,0.8475039282555771,0.9823570924488356,0.13485316419325855
cnn1d,10,0.9594846666201312,0.9869605712511642,0.027475904631033
gated_dilated_cnn,1,0.01264709837225771,0.02050728548300054,0.00786018711074283
gated_dilated_cnn,2,0.14552840868946046,0.11797752808988764,0.027550880599572822
gated_dilated_cnn,3,0.24978005457220967,0.21,0.03978005457220968
gated_dilated_cnn,4,0.3495971771922825,0.28888888888888886,0.06070828830339364
gated_dilated_cnn,5,0.4559671076627982,0.4782608695652174,0.022293761902419218
gated_dilated_cnn,6,0.5512292853793369,0.6428571428571429,0.091627857477806
gated_dilated_cnn,7,0.6536313383343749,0.7850467289719626,0.13141539063758767
gated_dilated_cnn,8,0.7599101716665311,0.9212598425196851,0.161349670853154
gated_dilated_cnn,9,0.8627588155070668,0.980849292256453,0.11809047674938622
gated_dilated_cnn,10,0.9626337961975604,0.9879497907949791,0.025315994597418734
shuffled_hgb_control,1,0.4669542949899771,0.6,0.13304570501002289
shuffled_hgb_control,2,0.5692476928040596,0.6923076923076923,0.12305999950363267
shuffled_hgb_control,3,0.6704905558075278,0.7444444444444445,0.07395388863691665
shuffled_hgb_control,4,0.7557320813221344,0.7978899773926149,0.04215789607048048
shuffled_hgb_control,5,0.8257434095381919,0.6914261460101867,0.13431726352800522
shuffled_hgb_control,6,0.9232293340694221,0.46153846153846156,0.4616908725309605
