definition_id,cfd_fraction,cfd_key,downstream_min_hits,timing_profile,clean_downstream_span_ns,clean_all_span_ns,violating_downstream_span_ns,violating_b2_displacement_ns,qtemplate_quality,q_downstream_max_le,ambiguity_handling,labelled_events,clean,violating,ambiguous_promoted,qtemplate_missing_events,runs,labelled_delta_to_12147,abs_labelled_delta_to_12147,clean_delta_to_10636,violating_delta_to_1511
cfd15_ds2_loose_qnone_ambexclude,0.15,cfd15,2,loose,6.0,12.0,12.0,25.0,none,,exclude,12002,9816,2186,0,2,32,-145,145,-820,675
cfd20_ds2_loose_qnone_ambexclude,0.2,cfd20,2,loose,6.0,12.0,12.0,25.0,none,,exclude,12307,10153,2154,0,2,32,160,160,-483,643
cfd25_ds2_loose_qnone_ambexclude,0.25,cfd25,2,loose,6.0,12.0,12.0,25.0,none,,exclude,12490,10368,2122,0,2,32,343,343,-268,611
cfd25_ds2_app_a_qnone_ambexclude,0.25,cfd25,2,app_a,5.0,10.0,10.0,20.0,none,,exclude,9951,7661,2290,0,2,32,-2196,2196,-2975,779
cfd20_ds2_app_a_qnone_ambexclude,0.2,cfd20,2,app_a,5.0,10.0,10.0,20.0,none,,exclude,9897,7583,2314,0,2,32,-2250,2250,-3053,803
cfd15_ds2_app_a_qnone_ambexclude,0.15,cfd15,2,app_a,5.0,10.0,10.0,20.0,none,,exclude,9739,7386,2353,0,2,32,-2408,2408,-3250,842
cfd20_ds2_strict_qnone_ambas_violating,0.2,cfd20,2,strict,4.0,8.0,8.0,15.0,none,,as_violating,15354,4854,10500,7848,2,33,3207,3207,-5782,8989
cfd15_ds2_strict_qnone_ambas_violating,0.15,cfd15,2,strict,4.0,8.0,8.0,15.0,none,,as_violating,15354,5101,10253,7524,2,33,3207,3207,-5535,8742
cfd20_ds2_app_a_qnone_ambas_violating,0.2,cfd20,2,app_a,5.0,10.0,10.0,20.0,none,,as_violating,15354,7583,7771,5457,2,33,3207,3207,-3053,6260
cfd15_ds2_app_a_qnone_ambas_violating,0.15,cfd15,2,app_a,5.0,10.0,10.0,20.0,none,,as_violating,15354,7386,7968,5615,2,33,3207,3207,-3250,6457
cfd25_ds2_loose_qnone_ambas_violating,0.25,cfd25,2,loose,6.0,12.0,12.0,25.0,none,,as_violating,15354,10368,4986,2864,2,33,3207,3207,-268,3475
cfd15_ds2_loose_qnone_ambas_violating,0.15,cfd15,2,loose,6.0,12.0,12.0,25.0,none,,as_violating,15354,9816,5538,3352,2,33,3207,3207,-820,4027
cfd20_ds2_loose_qnone_ambas_violating,0.2,cfd20,2,loose,6.0,12.0,12.0,25.0,none,,as_violating,15354,10153,5201,3047,2,33,3207,3207,-483,3690
cfd25_ds2_app_a_qnone_ambas_violating,0.25,cfd25,2,app_a,5.0,10.0,10.0,20.0,none,,as_violating,15354,7661,7693,5403,2,33,3207,3207,-2975,6182
cfd25_ds2_strict_qnone_ambas_violating,0.25,cfd25,2,strict,4.0,8.0,8.0,15.0,none,,as_violating,15354,4778,10576,7906,2,33,3207,3207,-5858,9065
cfd20_ds2_app_a_qtight_ambas_violating,0.2,cfd20,2,app_a,5.0,10.0,10.0,20.0,tight,0.06,as_violating,8750,3471,5279,3573,2,33,-3397,3397,-7165,3768
cfd20_ds2_loose_qtight_ambas_violating,0.2,cfd20,2,loose,6.0,12.0,12.0,25.0,tight,0.06,as_violating,8750,5116,3634,2015,2,33,-3397,3397,-5520,2123
cfd25_ds2_app_a_qtight_ambas_violating,0.25,cfd25,2,app_a,5.0,10.0,10.0,20.0,tight,0.06,as_violating,8750,3577,5173,3485,2,33,-3397,3397,-7059,3662
cfd20_ds2_strict_qtight_ambas_violating,0.2,cfd20,2,strict,4.0,8.0,8.0,15.0,tight,0.06,as_violating,8750,1752,6998,5067,2,33,-3397,3397,-8884,5487
cfd15_ds2_app_a_qtight_ambas_violating,0.15,cfd15,2,app_a,5.0,10.0,10.0,20.0,tight,0.06,as_violating,8750,3306,5444,3702,2,33,-3397,3397,-7330,3933
cfd15_ds2_strict_qtight_ambas_violating,0.15,cfd15,2,strict,4.0,8.0,8.0,15.0,tight,0.06,as_violating,8750,1843,6907,4914,2,33,-3397,3397,-8793,5396
cfd25_ds2_loose_qtight_ambas_violating,0.25,cfd25,2,loose,6.0,12.0,12.0,25.0,tight,0.06,as_violating,8750,5300,3450,1857,2,33,-3397,3397,-5336,1939
cfd25_ds2_strict_qtight_ambas_violating,0.25,cfd25,2,strict,4.0,8.0,8.0,15.0,tight,0.06,as_violating,8750,1801,6949,5030,2,33,-3397,3397,-8835,5438
