method,calibration_layer,average_precision,brier,ece_10bin
traditional_span_q,raw,1.0,7.903968595898353e-08,2.832994515278443e-06
traditional_span_q,isotonic_oof_diagnostic,1.0,0.0,0.0
traditional_span_q,platt_oof_diagnostic,1.0,7.864432755578034e-06,0.002373838030165223
ridge,raw,0.9820259489409559,0.038235776965561144,0.060122934931641364
ridge,isotonic_oof_diagnostic,0.9855425969375238,0.028620721356793423,2.481623856372019e-16
ridge,platt_oof_diagnostic,0.9820259489409559,0.029617223192413035,0.007888302720412277
gradient_boosted_trees,raw,0.9967164629589209,0.016782649780102656,0.009788545854588486
gradient_boosted_trees,isotonic_oof_diagnostic,0.9970069526761303,0.0160686733484532,1.0435333622891299e-17
gradient_boosted_trees,platt_oof_diagnostic,0.9967164629589209,0.01754486735022183,0.004536555422042487
mlp,raw,0.9905636103329322,0.017389429398685256,0.011189629163428624
mlp,isotonic_oof_diagnostic,0.9936387208634383,0.015896277441284468,7.838419101311793e-19
mlp,platt_oof_diagnostic,0.9905636103329322,0.01676351721222224,0.004146934228028806
cnn1d,raw,0.9796638521903178,0.08246820632375032,0.11130438860070262
cnn1d,isotonic_oof_diagnostic,0.9800389635489244,0.05986473268440508,2.1494655886226918e-17
cnn1d,platt_oof_diagnostic,0.9796638521903178,0.06395517496636836,0.025919242423870732
gated_dilated_cnn,raw,0.9851573216451057,0.02909288537592599,0.03890036859176422
gated_dilated_cnn,isotonic_oof_diagnostic,0.9871087245764425,0.0250180930124674,8.647220557060745e-17
gated_dilated_cnn,platt_oof_diagnostic,0.9851573216451057,0.025593610549669268,0.004436264361070332
shuffled_hgb_control,raw,0.7123800944855067,0.18566327087218423,0.0688230833205466
shuffled_hgb_control,isotonic_oof_diagnostic,0.769015489792642,0.17880230887311566,4.935820256997766e-19
shuffled_hgb_control,platt_oof_diagnostic,0.7852094643005978,0.1774612730281702,0.021948545147138235
