method,ambiguous_promoted,ambiguous_promoted_clean,ambiguous_promoted_violating,labelled_events,clean,violating,labelled_delta_to_12147,clean_delta_to_10636,violating_delta_to_1511,tuple_l1_error
traditional_span_q,2341,2341,0,12238,9924,2314,91,-712,803,1606
mlp,4092,4049,43,13989,11632,2357,1842,996,846,3684
gated_dilated_cnn,4270,4088,182,14167,11671,2496,2020,1035,985,4040
gradient_boosted_trees,4277,4217,60,14174,11800,2374,2027,1164,863,4054
cnn1d,4455,4337,118,14352,11920,2432,2205,1284,921,4410
ridge,4468,4275,193,14365,11858,2507,2218,1222,996,4436
