method,n_high,overlap_auc,overlap_auc_ci95,average_precision,average_precision_ci95,brier,brier_ci95,ece,ece_ci95,candidate_rate,confused_overlap_reset_rate,confused_overlap_reset_rate_ci95,baseline_reset_enrichment_among_candidates,disagreement_with_template_label,rank_loss
gradient_boosted_trees_shape_no_reset,246303,0.9987767334504627,"[0.998632442272296, 0.9988878581778078]",0.9948279823040789,"[0.9934641601906947, 0.9957497713222193]",0.010206609470208954,"[0.00909779689676475, 0.011723231599617237]",0.00511291055576079,"[0.004338456308729033, 0.00637613877529922]",0.1732622014348181,0.0021152807720571814,"[0.0014995524546635467, 0.0033244846821388714]",-0.11748130053737305,0.013532112885348535,-0.03017864803918767
gradient_boosted_trees_with_reset_features,246303,0.9987141487495996,"[0.998581708169276, 0.9988060629331572]",0.9945840191915597,"[0.9937464271886485, 0.995937124733177]",0.010511127943410047,"[0.009279502365389334, 0.011622244759274144]",0.00528288849409414,"[0.004601595428753424, 0.006636396475993878]",0.1730064189230338,0.0021234008517963645,"[0.0014189037615186667, 0.0031471589987477145]",-0.11741631558383718,0.013909696593220545,-0.02960256642577248
mlp_shape_no_reset,246303,0.9974445793854092,"[0.9972024455049738, 0.9977783734335458]",0.9929421454591468,"[0.9909025575903868, 0.9948176235565707]",0.011283402070872615,"[0.010340567581487855, 0.012372322961828016]",0.012578486976482506,"[0.011405294706380537, 0.014235146053378514]",0.17968924454838148,0.0024847444001900097,"[0.001846369657016852, 0.003522882131304381]",-0.11586184505872271,0.013649854041566689,-0.021355504211428664
control_topology_only,246303,0.7725437667179399,"[0.7453596833690498, 0.7938997772577072]",0.4943979018391251,"[0.45002735695333135, 0.5487653655031619]",0.11374240170634521,"[0.0929316268773411, 0.14312919819823175]",0.03517697602153467,"[0.03030371674976611, 0.054943773255096376]",0.03426267645948283,0.0011246310438768508,"[0.0006615663071509511, 0.0016271020580410668]",-0.09686605926593911,0.14689630252169075,0.14757858054434397
control_shuffled_label,246303,0.4056642068404743,"[0.39588332430341566, 0.4200247531468153]",0.17207353525946534,"[0.14324561145149275, 0.21999790174353348]",0.15619168841963305,"[0.13213988238083096, 0.18638800213690435]",0.07632859610144632,"[0.0727813356840179, 0.0898130171130252]",0.0017945376223594516,0.0007145670170481074,"[0.0005409104611262415, 0.0010726705478337044]",0.26850019169450684,0.17782974628810855,0.2523350046016305
ridge_shape_no_reset,246303,0.9761221003351916,"[0.9747609210229089, 0.9770249965313375]",0.9078089223418913,"[0.8948471419821387, 0.9175816745279012]",0.11861793608889357,"[0.11166794996396744, 0.12488878950763141]",0.23742750986347796,"[0.22032093394938607, 0.25415625619386817]",0.28419873083153674,0.012488682638863513,"[0.009630918156974077, 0.01768645799517368]",-0.08574636864743468,0.11957223419933984,0.3433767408048787
control_pretrigger_only,246303,0.7638490709129371,"[0.7465356392411934, 0.7845631339772355]",0.36174820895291127,"[0.2924768810215601, 0.46290569828118877]",0.19164239236058148,"[0.17901011721728013, 0.20393124686511993]",0.19139850756340615,"[0.16011645928129883, 0.22234283069436864]",0.41785118329862,0.0,"[0.0, 0.0]",-0.1296898535543619,0.32797002066560293,0.42684095154474144
reset_gated_cnn_new,246303,0.877888873975448,"[0.8703324817640551, 0.883890600469503]",0.7129406497472283,"[0.6846620300902444, 0.7414634847384064]",0.23908788247565183,"[0.2330969344120851, 0.24256110223736269]",0.3146684472068375,"[0.2558399628691152, 0.35329325414025076]",0.7210062402812796,0.000609005980438728,"[0.00043510899157189997, 0.0009064805437268202]",-0.12884519237611589,0.5699402768135183,0.6526514581773158
cnn_1d_waveform,246303,0.7654454924636991,"[0.7506430409360245, 0.7767089156442579]",0.4722227823211058,"[0.44737496890744133, 0.5072109458772984]",0.2539795368215985,"[0.2508972350798441, 0.25596055073126595]",0.33035494331853443,"[0.2808518660171953, 0.366097599686395]",0.9476133055626607,0.09031964693893293,"[0.06955190863672052, 0.10646782582762859]",-0.034377085773727806,0.7930313475678331,0.7894798658783727
traditional_template_shape_score,246303,1.0,"[1.0, 1.0]",1.0,"[1.0, 1.0]",0.42964729911634225,"[0.39329447514420857, 0.45420933484766773]",0.5801047593731355,"[0.5352494162284769, 0.611246574296616]",0.9455061448703427,0.07805020645302736,"[0.059859304283345335, 0.08855652676564096]",-0.04714125577266225,0.7675464773064071,1.1906637810425933
