run,group,eventno,evt,stave,stave_idx,even_amp,even_peak,even_pos_charge,even_area,target_odd_neg_amp,target_odd_pos_charge,baseline_median,baseline_mad,baseline_slope,baseline_range,raw_max_adc,saturation_count,late_fraction,early_fraction,tail_fraction,width_half,area_norm,secondary_peak,secondary_sep,post_peak_min,undershoot_area,dropout_score,timing_span_dup,current_group,baseline_score,atom_baseline_excursion,atom_delayed_peak,atom_dropout,timing_tail,is_saturated,amp_bin,peak_bin,p09_pca_anomaly_score,p11_pre_rms_adc,p11_pre_slope_adc,p11_pre_range_adc,p11_pre_asym_adc,p11_adaptive_lowering_adc,p11_pretrigger_score,p11_pretrigger_atom,selected_stave_multiplicity,has_downstream_stave,run_family,amp_match_bin,lowering_bin,broad_late_taxon,p09_anomaly_taxon,topology_bin,traditional_overlap_score,baseline_reset_score,overlap_proxy,baseline_reset_proxy,confused_overlap_reset_proxy,secondary_fraction_proxy
44,sample_i_analysis,0,16013,B2,0,2392.0,7,17135.0,17126.0,2389.5,17292.0,6749.0,2.5,9.0,10.0,9141.0,18,0.21138021,0.00029180042,0.5372629,7,0.99947476,0.8908863,2,0.08528428,0.0,0.0,0.99764156,high_20nA,13.683932,0,0,0,0,1,2,1,4.0286994,4.0620193,9.0,10.0,-2.0,0.0,14.05347,quiet,1,0,high_20nA,2,no_lowering,compact,mild,mult1_ds0_staveB2,-0.24379972,-0.461373,0,0,0,0.47114747384677147
44,sample_i_analysis,1,16014,B2,0,6522.5,6,55351.0,55349.0,6487.5,56636.0,6780.5,1.0,70.0,72.0,13303.0,18,0.33152065,0.001282723,0.55248326,9,0.9999639,0.6475278,2,0.35331544,0.0,0.0,0.98799324,high_20nA,100.4241,0,0,0,0,1,5,1,0.31359884,35.25975,70.0,72.0,-35.5,0.0,106.42956,quiet,1,0,high_20nA,5,no_lowering,broad_late,common,mult1_ds0_staveB2,-0.16494682,0.43748412,0,0,0,0.39302997402764667
44,sample_i_analysis,2,16015,B2,0,8549.0,6,61110.0,54337.0,9291.5,68795.0,6751.0,11.0,693.0,693.0,15300.0,17,0.33690068,0.011176567,0.5621175,7,0.8891671,0.7692128,2,0.3498655,0.0,0.0,0.9169352,high_20nA,980.11176,0,0,0,0,1,6,1,12.08813,338.6211,693.0,693.0,-352.5,6.0,1036.9177,range_spike,1,0,high_20nA,6,mild_lowering,compact,broad_late_anomaly,mult1_ds0_staveB2,-0.0015384727,5.7752447,0,1,0,0.43477686236638363
44,sample_i_analysis,4,16017,B2,0,5761.5,6,50821.0,50812.0,5752.0,52411.0,6745.5,4.5,19.0,21.0,12507.0,18,0.35103598,0.0003738612,0.5891167,11,0.9998229,0.7144841,3,0.35364056,0.0,0.0,0.9979968,high_20nA,28.674902,0,0,0,0,1,5,1,0.36361444,8.587782,19.0,21.0,-14.0,0.0,29.593073,quiet,1,0,high_20nA,5,no_lowering,broad_late,common,mult1_ds0_staveB2,0.38138118,-0.31557864,0,0,0,0.4167341635994934
44,sample_i_analysis,11,16024,B2,0,8983.0,6,66203.0,66193.0,8945.5,69104.0,6754.0,5.0,83.0,83.0,15737.0,18,0.31306738,0.0011328792,0.520928,6,0.99984896,0.5533786,2,0.35144162,0.0,0.0,0.9881983,high_20nA,117.48617,0,0,0,0,1,6,1,0.53934485,37.27935,83.0,83.0,-42.5,0.0,123.15742,quiet,1,0,high_20nA,6,no_lowering,compact,common,mult1_ds0_staveB2,-0.8523819,0.5784727,0,0,0,0.35624192866621585
44,sample_i_analysis,12,16025,B2,0,3467.5,6,27887.0,27871.0,3467.5,28284.0,6804.5,3.5,-20.0,20.0,10272.0,18,0.2364184,0.00025101303,0.56178504,8,0.99942625,0.94232154,3,0.14578226,0.0,0.0,0.99999976,high_20nA,28.5,0,0,0,0,1,3,1,0.5729719,7.826238,-20.0,20.0,11.5,4.5,29.690065,quiet,1,0,high_20nA,3,mild_lowering,broad_late,common,mult1_ds0_staveB2,0.1503115,-0.32383475,0,0,0,0.48515218517662456
44,sample_i_analysis,13,16026,B2,0,3675.0,7,30138.0,30128.0,3669.5,30649.0,6727.0,5.0,10.0,20.0,10402.0,18,0.29942265,0.00039816843,0.63113016,8,0.9996682,0.9357823,4,0.19945578,0.0,0.0,0.99520206,high_20nA,22.912878,0,0,0,0,1,3,1,3.4864366,7.1414285,10.0,20.0,-11.0,0.0,23.473389,quiet,1,0,high_20nA,3,no_lowering,broad_late,mild,mult1_ds0_staveB2,0.5932664,-0.36789128,1,0,0,0.4834129885859665
44,sample_i_analysis,15,16028,B2,0,4052.5,10,30476.5,30470.0,4053.0,32288.0,6731.5,1.0,-4.0,6.0,10784.0,18,0.6653323,6.5624336e-05,0.98956573,8,0.99978673,0.8859963,4,0.65848243,0.0,0.0,1.0002542,high_20nA,7.28011,0,1,0,1,1,4,3,13.455563,2.3979158,-4.0,6.0,2.5,0.0,7.599342,quiet,1,0,high_20nA,4,no_lowering,broad_late,broad_late_anomaly,mult1_ds0_staveB2,2.978426,-0.53814036,1,0,0,0.46977626123092303
44,sample_i_analysis,19,16032,B2,0,3281.5,8,26018.0,26017.0,3275.0,26428.0,6729.5,0.5,13.0,14.0,10011.0,18,0.31286034,0.000538089,0.65864015,8,0.99996156,0.9811062,2,0.18269084,0.0,0.0,0.9966836,high_20nA,19.111515,0,1,0,0,1,3,2,5.248433,6.7638745,13.0,14.0,-6.5,0.0,20.266968,quiet,1,0,high_20nA,3,no_lowering,broad_late,mild,mult1_ds0_staveB2,0.8449758,-0.38782698,1,0,0,0.4952315080036081
44,sample_i_analysis,20,16033,B2,0,5192.0,5,46618.0,46601.0,4717.5,39938.0,6743.0,8.5,949.0,950.0,11935.0,18,0.28499722,0.020356944,0.5211935,10,0.99963534,0.7447997,3,0.24537751,0.0,0.0,0.88990736,high_20nA,1342.8229,0,0,0,0,1,4,0,10.335489,470.5555,949.0,950.0,-483.0,0.0,1422.8575,range_spike,1,0,high_20nA,4,no_lowering,broad_late,broad_late_anomaly,mult1_ds0_staveB2,-0.10370798,5.92,0,1,0,0.42686830175683765
44,sample_i_analysis,22,16035,B2,0,1712.5,6,11688.0,11655.0,1691.0,11353.0,6824.5,16.5,43.0,76.0,8537.0,18,0.112850785,0.005817933,0.399769,7,0.9971766,0.89839417,2,0.031824816,0.0,0.0,0.971987,high_20nA,88.86647,0,0,0,0,1,1,1,13.025807,30.874746,43.0,76.0,-17.5,10.5,93.21212,quiet,1,0,high_20nA,1,mild_lowering,compact,broad_late_anomaly,mult1_ds0_staveB2,-1.0385054,0.69528115,0,0,0,0.47323900528132556
44,sample_i_analysis,23,16036,B2,0,2283.5,8,15855.0,15836.0,2283.5,15997.0,6790.5,5.5,-23.0,23.0,9074.0,18,0.21072216,0.0006937875,0.5444024,7,0.99880165,0.77008975,2,0.07203854,0.0,0.0,1.0,high_20nA,32.988636,0,1,0,0,1,2,2,5.750241,8.958237,-23.0,23.0,15.0,5.5,34.18333,quiet,1,0,high_20nA,2,mild_lowering,compact,mild,mult1_ds0_staveB2,-0.5214922,-0.24675241,0,0,0,0.4350568932846077
44,sample_i_analysis,24,16037,B2,0,5822.5,6,50644.0,50636.0,5816.0,52218.0,6734.5,4.0,13.0,21.0,12557.0,18,0.35036728,0.00027643947,0.5898724,11,0.99984205,0.70888793,3,0.3420352,0.0,0.0,0.9986026,high_20nA,25.019993,0,0,0,0,1,5,1,0.35625687,7.7298126,13.0,21.0,-10.0,0.0,25.879528,quiet,1,0,high_20nA,5,no_lowering,broad_late,common,mult1_ds0_staveB2,0.3675632,-0.35698932,0,0,0,0.41482412058548784
44,sample_i_analysis,27,16039,B2,0,6474.5,7,50761.0,50755.0,6473.0,52984.0,6742.5,2.0,-6.0,9.0,13217.0,18,0.40146962,7.880065e-05,0.63845277,9,0.9998818,0.64012665,3,0.469766,0.0,0.0,0.99972534,high_20nA,11.0,0,0,0,0,1,5,1,2.9020746,3.2787192,-6.0,9.0,1.0,0.0,11.302654,quiet,1,0,high_20nA,5,no_lowering,broad_late,mild,mult1_ds0_staveB2,0.35593766,-0.5033786,0,0,0,0.3902909859406044
44,sample_i_analysis,28,16040,B2,0,2947.0,11,19861.0,19773.0,2947.0,20589.0,6774.0,2.0,10.0,14.0,9721.0,18,0.60545796,0.00020139973,0.97583205,8,0.9955692,0.870716,2,0.37427893,0.0,0.0,0.9999995,high_20nA,17.320509,0,1,0,0,1,2,3,16.416548,5.3851647,10.0,14.0,-3.0,0.0,18.027756,quiet,2,1,high_20nA,2,no_lowering,broad_late,broad_late_anomaly,mult2_ds1_staveB2,2.788318,-0.43382996,1,0,0,0.46544530919880406
44,sample_i_analysis,28,16040,B4,1,3177.0,10,24850.0,24813.0,3176.0,25809.0,7022.0,2.0,20.0,22.0,10199.0,18,0.59211266,0.00016096579,0.95577466,8,0.9985111,0.9943343,3,0.4356311,0.0,0.0,0.99921846,high_20nA,29.79933,0,1,0,0,1,3,3,13.896319,9.643651,20.0,22.0,-12.0,9.0,32.526913,quiet,2,1,high_20nA,3,mild_lowering,broad_late,broad_late_anomaly,mult2_ds1_staveB4,2.9791245,-0.30913582,1,0,0,0.4985795461762483
44,sample_i_analysis,29,16041,B2,0,2067.5,0,2439.0,-23920.0,917.0,1091.0,12051.5,545.5,-2787.0,2787.0,14119.0,18,0.0,1.0,0.0,1,-9.807298,0.0,0,-1.7559855,-12.749214,1.7559855,18.0,high_20nA,3978.9834,1,0,1,1,1,2,0,77.1047,1125.6399,-2787.0,2787.0,1765.0,709.5,4159.951,adaptive_lowering,1,0,high_20nA,2,large_lowering,early_pretrigger,extreme,mult1_ds0_staveB2,-5.200102,6.284761,0,1,0,0.0
