method,n_cells,matched_weight,matched_delta_candidate_rate,matched_delta_reset_rate,matched_delta_confused_rate,matched_delta_template_overlap_label,matched_delta_candidate_rate_ci95,matched_delta_reset_rate_ci95,matched_delta_confused_rate_ci95,matched_delta_template_overlap_label_ci95
traditional_template_shape_score,65,5466,0.0005027280688203475,-0.020317172519597602,-0.02045334560274073,0.06401109670787272,"[-0.00046858325119878894, 0.002496442172439771]","[-0.03186282646418604, -0.008208974202508343]","[-0.031677482937368016, -0.008429535563920329]","[0.03438902479232514, 0.08405668158355918]"
ridge_shape_no_reset,65,5466,0.0750560994756948,-0.020317172519597602,0.001163938026212812,0.06401109670787272,"[0.05265566658235557, 0.10471625495446958]","[-0.035881257620017364, -0.004375021353406809]","[5.016121239891372e-05, 0.0022356437624845857]","[0.04363972596185922, 0.096158607075217]"
gradient_boosted_trees_shape_no_reset,65,5466,0.06133257256532903,-0.020317172519597602,0.0001898513009539944,0.06401109670787272,"[0.03375470076278753, 0.08455984115520068]","[-0.0363599660976399, -0.008633237040289078]","[-0.00040229612042318175, 0.0008186130537153071]","[0.03586742956593101, 0.08635413333316952]"
gradient_boosted_trees_with_reset_features,65,5466,0.06120677989357655,-0.020317172519597602,0.0002361357880703073,0.06401109670787272,"[0.026667720316548744, 0.08329161975011558]","[-0.03087530928742391, -0.010774767022072146]","[-0.00021228984618080384, 0.0009760710781745267]","[0.028921469955350602, 0.08591017527478428]"
mlp_shape_no_reset,65,5466,0.06386931147347655,-0.020317172519597602,0.00011363445865684572,0.06401109670787272,"[0.03678333915028317, 0.0904002520768169]","[-0.03462187542943397, -0.009540813052060915]","[-0.0006988643386588192, 0.0008388578489779962]","[0.03644448749890559, 0.09093344563573123]"
control_pretrigger_only,65,5466,0.07022559922907742,-0.020317172519597602,0.0,0.06401109670787272,"[0.05572592189328929, 0.08845683408673005]","[-0.031736026798079436, -0.008845288198672066]","[0.0, 0.0]","[0.036114499258314975, 0.08971266950889611]"
control_topology_only,65,5466,0.008769674353487847,-0.020317172519597602,0.00023074068690736782,0.06401109670787272,"[0.003110788856754861, 0.017509808243524265]","[-0.03884315040455134, -0.009003446732494643]","[7.009990939276912e-05, 0.0004725149443558865]","[0.03086362967233255, 0.08399656830363664]"
control_shuffled_label,65,5466,-0.009665007723729503,-0.020317172519597602,-0.001066149623789156,0.06401109670787272,"[-0.012556733448977576, -0.006580103556632019]","[-0.032835220746242504, -0.009621601671244826]","[-0.0025884299622906328, 0.00010546909005219983]","[0.03999269251506091, 0.09046816316396442]"
cnn_1d_waveform,65,5466,-0.0033848688226227573,-0.020317172519597602,-0.02085534826100022,0.06401109670787272,"[-0.006206510446891526, -0.0010849717645999043]","[-0.03317778817448309, -0.010862967961058342]","[-0.03333138179290423, -0.011220678320683629]","[0.03903409766081633, 0.09275214780543896]"
reset_gated_cnn_new,65,5466,0.03133017835367535,-0.020317172519597602,0.0,0.06401109670787272,"[0.013563696185442838, 0.04590321305140152]","[-0.03252333731868839, -0.00941909067588312]","[0.0, 0.0]","[0.04038269863691803, 0.08984451358182803]"
