task,model,alpha,fold,train_seconds,sigma68_ns,n_pair_residuals,learning_rate,hidden,width,n_parameters,train_loss
timing,ridge,0.1,0,0.004393815994262695,1.227419477456705,3018,,,,,
timing,ridge,0.1,1,0.0056879520416259766,1.4076508305263813,3534,,,,,
timing,ridge,0.1,2,0.005144357681274414,1.384912721986305,4710,,,,,
timing,ridge,0.1,-1,,1.3399943433231305,0,,,,,
timing,ridge,1.0,0,0.006477832794189453,1.2258498318224493,3018,,,,,
timing,ridge,1.0,1,0.012756109237670898,1.4098363860110645,3534,,,,,
timing,ridge,1.0,2,0.00702667236328125,1.38595636998265,4710,,,,,
timing,ridge,1.0,-1,,1.3405475292720546,0,,,,,
timing,ridge,10.0,0,0.009000539779663086,1.22234211069712,3018,,,,,
timing,ridge,10.0,1,0.006884574890136719,1.4083010333207389,3534,,,,,
timing,ridge,10.0,2,0.00601506233215332,1.3831559109756628,4710,,,,,
timing,ridge,10.0,-1,,1.3379330183311737,0,,,,,
timing,gradient_boosted_trees,,0,0.5157794952392578,1.1001569793710029,3018,0.03,,,,
timing,gradient_boosted_trees,,1,0.3578782081604004,1.224098393017339,3534,0.03,,,,
timing,gradient_boosted_trees,,2,0.34045982360839844,1.131568291708859,4710,0.03,,,,
timing,gradient_boosted_trees,,-1,,1.1519412213657336,0,0.03,,,,
timing,gradient_boosted_trees,,0,0.3493335247039795,1.1313044366519267,3018,0.08,,,,
timing,gradient_boosted_trees,,1,0.3798229694366455,1.2866789438034336,3534,0.08,,,,
timing,gradient_boosted_trees,,2,0.3246598243713379,1.1961181407020829,4710,0.08,,,,
timing,gradient_boosted_trees,,-1,,1.204700507052481,0,0.08,,,,
timing,mlp,,0,5.232698202133179,1.198630348998623,3018,,32.0,,,
timing,mlp,,1,2.199857711791992,1.330880250981161,3534,,32.0,,,
timing,mlp,,2,1.0651345252990723,1.2479980730212354,4710,,32.0,,,
timing,mlp,,-1,,1.2591695576670066,0,,32.0,,,
timing,mlp,,0,9.345845937728882,1.1957737567020295,3018,,64.0,,,
timing,mlp,,1,2.370112895965576,1.2613919455591496,3534,,64.0,,,
timing,mlp,,2,1.3925516605377197,1.3357522221588027,4710,,64.0,,,
timing,mlp,,-1,,1.2643059748066605,0,,64.0,,,
timing,cnn,,0,2.0508980751037598,1.1244748744930209,3018,,,8.0,337.0,1.6410619020462036
timing,cnn,,1,1.9497246742248535,1.3486415381220285,3534,,,8.0,337.0,4.042038917541504
timing,cnn,,2,1.5880272388458252,1.4147937446797565,4710,,,8.0,337.0,3.2655282020568848
timing,cnn,,-1,,1.295970052431602,0,,,8.0,,
timing,resnet,,0,3.0762481689453125,1.1577987532266614,3018,,,8.0,537.0,7.322990894317627
timing,resnet,,1,2.9257616996765137,1.3613165491339367,3534,,,8.0,537.0,3.7960875034332275
timing,resnet,,2,2.358588933944702,1.0661326880898114,4710,,,8.0,537.0,5.214259147644043
timing,resnet,,-1,,1.19508266348347,0,,,8.0,,
timing,tcn,,0,2.3819897174835205,1.1256508441293538,3018,,,8.0,337.0,1.6485339403152466
timing,tcn,,1,2.3004722595214844,1.3245676675682572,3534,,,8.0,337.0,4.035999774932861
timing,tcn,,2,2.2955942153930664,1.4086363007434242,4710,,,8.0,337.0,3.2585456371307373
timing,tcn,,-1,,1.2862849374803451,0,,,8.0,,
timing,attention,,0,7.948533296585083,1.1688730573618948,3018,,,8.0,425.0,1.013749361038208
timing,attention,,1,7.3099024295806885,1.350831021471112,3534,,,8.0,425.0,4.4108452796936035
timing,attention,,2,5.909989833831787,1.4137569344346852,4710,,,8.0,425.0,4.720987796783447
timing,attention,,-1,,1.3111536710892306,0,,,8.0,,
timing,gru,,0,6.601852655410767,1.1213246590131152,3018,,,16.0,1249.0,1.6632113456726074
timing,gru,,1,5.4124932289123535,1.2111810579270126,3534,,,16.0,1249.0,3.9935131072998047
timing,gru,,2,4.673533916473389,1.307861421806611,4710,,,16.0,1249.0,3.265061378479004
timing,gru,,-1,,1.2134557129155796,0,,,16.0,,
