event_id,split,source_run,stave,is_overlap,true_t1_sample,true_t2_sample,true_amp1_adc,true_amp2_adc,true_sep_sample,true_ratio
train:58:0,train,58,B4,1,7.7631013078164814,9.26310130781648,2045.0,1022.5,1.5,0.5
train:58:1,train,58,B6,1,6.527086253910934,9.527086253910934,1538.5,384.625,3.0,0.25
train:58:2,train,58,B2,1,5.223068148172024,6.723068148172024,6102.0,6102.0,1.5,1.0
train:58:3,train,58,B6,1,5.7207309708452865,9.720730970845286,4077.0,4077.0,4.0,1.0
train:58:4,train,58,B4,1,4.893168627470779,10.893168627470779,2988.0,747.0,6.0,0.25
train:58:5,train,58,B6,1,5.988558830131206,9.988558830131206,6181.0,1545.25,4.0,0.25
train:58:6,train,58,B4,1,6.002637201607657,11.002637201607657,5828.5,5828.5,5.0,1.0
train:58:7,train,58,B6,1,5.408774575785592,10.408774575785593,2803.0,2102.25,5.0,0.75
train:58:8,train,58,B4,1,7.709470145220142,8.709470145220141,4282.5,2141.25,1.0,0.5
train:58:9,train,58,B8,1,6.725617262563116,9.725617262563116,4135.5,2067.75,3.0,0.5
train:58:10,train,58,B2,1,6.45046822768505,10.45046822768505,9201.0,4600.5,4.0,0.5
train:58:11,train,58,B6,1,6.524624447470337,7.274624447470337,4799.0,4799.0,0.75,1.0
train:58:12,train,58,B8,1,7.074007262886418,8.074007262886418,1766.0,1766.0,1.0,1.0
train:58:13,train,58,B6,1,5.437764192435102,8.437764192435102,5575.5,4181.625,3.0,0.75
train:58:14,train,58,B2,1,5.813579214944029,8.813579214944028,6673.0,6673.0,3.0,1.0
train:58:15,train,58,B2,1,7.270307439490242,8.770307439490242,3718.5,929.625,1.5,0.25
train:58:16,train,58,B4,1,5.8383283131207815,7.8383283131207815,2370.5,592.625,2.0,0.25
train:58:17,train,58,B2,1,8.118193049100075,8.618193049100075,3977.5,2983.125,0.5,0.75
train:58:18,train,58,B4,1,4.762945482806914,10.762945482806913,3084.5,2313.375,6.0,0.75
train:58:19,train,58,B6,1,8.080976844660487,8.830976844660487,3042.5,1521.25,0.75,0.5
train:58:20,train,58,B4,1,7.014656920182211,11.014656920182212,2743.5,1371.75,4.0,0.5
train:58:21,train,58,B4,1,9.421434833810245,10.921434833810245,1871.5,935.75,1.5,0.5
train:58:22,train,58,B8,1,6.154694678936724,9.154694678936725,4203.0,2101.5,3.0,0.5
train:58:23,train,58,B2,1,9.360258295799,9.860258295799,5051.5,5051.5,0.5,1.0
train:58:24,train,58,B2,1,5.9009448649112315,10.900944864911231,6081.0,4560.75,5.0,0.75
train:58:25,train,58,B8,1,10.465710929339664,11.215710929339664,3085.5,1542.75,0.75,0.5
