model,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_analytic_timewalk_ns,delta_ci_low,delta_ci_high,task,cv_sigma68_ns,train_seconds,n_parameters,alpha,learning_rate,hidden,width
mlp,66,198,1.176102265836601,1.024271333418154,1.3858794345208996,1.3035398260998248,-0.31853781043307516,-0.5250034817759659,-0.060291056061359566,timing,1.2591695576670066,4.678443670272827,832.0,,,32.0,
gru,66,198,1.224673623873883,1.013970574213437,1.4616518010568564,1.3082700659311362,-0.2699664523957932,-0.48855635864133223,0.018427413508966713,timing,1.2134557129155796,8.838881254196167,1249.0,,,,16.0
gradient_boosted_trees,66,198,1.2558411331904944,1.0121525307696821,1.4380561394688172,1.2416354379259007,-0.2387989430791817,-0.49304737743402827,0.013923182050963271,timing,1.1519412213657336,0.632072925567627,26.0,,0.03,,
resnet,66,198,1.2989328657813277,1.086842366565669,1.49712871532366,1.345595338193128,-0.19570721048834838,-0.43828173744929316,0.11083709859181082,timing,1.19508266348347,3.780529737472534,537.0,,,,8.0
tcn,66,198,1.3412981098455397,1.0538925299046724,1.5600384893826562,1.3808404660359095,-0.15334196642413644,-0.46320714308308386,0.13413240698856838,timing,1.2862849374803451,3.0634543895721436,337.0,,,,8.0
cnn,66,198,1.3626313618225443,1.030299382282311,1.5815755439801098,1.3877018328058366,-0.1320087144471318,-0.4738206107119469,0.16246877961853148,timing,1.295970052431602,2.610999345779419,337.0,,,,8.0
attention,66,198,1.434896343304376,1.0786580707911504,1.632441541549211,1.4229207662066772,-0.05974373296530011,-0.44082309080032683,0.2134077876866923,timing,1.3111536710892306,10.647078275680542,425.0,,,,8.0
ridge,66,198,1.4428421669311344,1.1955321773088647,1.6351584901370675,1.4115887395844882,-0.05179790933854167,-0.33084688734998835,0.21682476426278893,timing,1.3379330183311737,0.006633281707763672,26.0,10.0,,,
analytic_timewalk,66,198,1.494640076269676,1.2986523154325624,1.666220166352765,1.6991283591200679,0.0,0.0,0.0,,,,,,,,
s02_ridge_cfd20,66,198,1.77781251968152,1.492656507418151,2.0703081939066355,1.7157724289805303,0.2831724434118439,-0.01082722623377593,0.6239653265114045,,,,,,,,
template_phase,66,198,2.889152765080617,2.639152765080615,3.277183911488385,2.5766948897254753,1.3945126888109407,1.08279826807262,1.8028746382267602,,,,,,,,
cfd20,66,198,2.9933861916712807,2.688401792796271,3.388569175495942,2.7426839288126446,1.4987461154016046,1.1551827316564667,1.966646195752655,,,,,,,,
