task,model,cv_sigma68_ns,train_seconds,n_parameters,alpha,learning_rate,hidden,width
timing,ridge,1.3379330183311737,0.006633281707763672,26,10.0,,,
timing,gradient_boosted_trees,1.1519412213657336,0.632072925567627,26,,0.03,,
timing,mlp,1.2591695576670066,4.678443670272827,832,,,32.0,
timing,cnn,1.295970052431602,2.610999345779419,337,,,,8.0
timing,resnet,1.19508266348347,3.780529737472534,537,,,,8.0
timing,tcn,1.2862849374803451,3.0634543895721436,337,,,,8.0
timing,attention,1.3111536710892306,10.647078275680542,425,,,,8.0
timing,gru,1.2134557129155796,8.838881254196167,1249,,,,16.0
