input_view,methods,n,timing_pull_sigma68,pileup_miss_rate,false_split_rate,energy_fractional_sigma68,pid_balanced_accuracy
raw_adc_sequence_view,"1d_cnn, joint_sequence_transformer",1280,9.669347420036193,0.3515625,0.20625,0.14696916092130263,0.6507575757575758
pedestal_subtracted_feature_view,"deltaE_over_E_likelihood_template, gradient_boosted_trees, mlp, ridge, template_residual_boosted_stack_new",3200,7.556594086470591,0.375625,0.19,0.1255976489606534,0.8221603128054741
