heldout_run,heldout_rows,fit_rows,calibration_rows,calibration_runs,train_heldout_run_overlap
31,229,2198,1628,32 33 34 35 36 37 39 40,0
32,207,2132,1716,33 34 35 36 37 39 40 41,0
33,8,2060,1987,34 35 36 37 39 40 41 42,0
34,16,2038,2001,35 36 37 39 40 41 42 44,0
35,221,1752,2082,36 37 39 40 41 42 44 45,0
36,295,1881,1879,37 39 40 41 42 44 45 47,0
37,292,1916,1847,39 40 41 42 44 45 47 48,0
39,324,1920,1811,40 41 42 44 45 47 48 49,0
40,265,2183,1607,41 42 44 45 47 48 49 50,0
41,295,2423,1337,42 44 45 47 48 49 50 51,0
42,279,2712,1064,44 45 47 48 49 50 51 52,0
44,30,2974,1051,45 47 48 49 50 51 52 53,0
45,302,2986,767,47 48 49 50 51 52 53 54,0
47,92,3261,702,48 49 50 51 52 53 54 55,0
48,260,3285,510,49 50 51 52 53 54 55 56,0
49,288,3269,498,50 51 52 53 54 55 56 57,0
50,61,3523,471,51 52 53 54 55 56 57 58,0
51,25,3575,455,52 53 54 55 56 57 58 59,0
52,6,3590,459,53 54 55 56 57 58 59 60,0
53,17,3590,448,54 55 56 57 58 59 60 61,0
54,18,3599,438,55 56 57 58 59 60 61 62,0
55,27,3578,450,56 57 58 59 60 61 62 63,0
56,68,3570,417,57 58 59 60 61 62 63 64,0
57,276,3625,154,58 59 60 61 62 63 64 65,0
58,34,3672,349,31 59 60 61 62 63 64 65,0
59,9,3499,547,31 32 60 61 62 63 64 65,0
60,10,3500,545,31 32 33 61 62 63 64 65,0
61,6,3494,555,31 32 33 34 62 63 64 65,0
62,8,3279,768,31 32 33 34 35 63 64 65,0
63,39,2992,1024,31 32 33 34 35 36 64 65,0
64,35,2739,1281,31 32 33 34 35 36 37 65,0
65,13,2450,1592,31 32 33 34 35 36 37 39,0
