method,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_25pct_rate,coverage68,mean_width68_frac,coverage90,mean_width90_frac,abstention_threshold_width90_frac,abstention_rate,retained_n,retained_coverage90,retained_res68_abs_frac,retained_within_25pct_rate,method_family
frozen_peak_loglinear,4055,-0.054156071395558225,0.519105974198242,0.8398197121358092,0.34500616522811345,0.679901356350185,1.0422714104682522,0.899383477188656,2.1678383920035573,1.0,0.6345252774352651,1482.0,0.8832658569500674,0.5092384384270654,0.3508771929824561,traditional
integral_topology_ridge,4055,-0.0550207934878765,0.5184080782857613,0.837876709360366,0.3442663378545006,0.681134401972873,1.0455982200046914,0.9011097410604192,2.1647173509608355,1.0,0.6049321824907521,1602.0,0.8870162297128589,0.5045344392331967,0.3489388264669164,traditional
adaptive_template_ridge,4055,-0.05542631288025943,0.5248974466955625,0.8496289239590862,0.33958076448828606,0.6838471023427867,1.056927646239599,0.8991368680641184,2.1805488730392146,1.0,0.6165228113440198,1555.0,0.8778135048231511,0.5201803972493929,0.34662379421221867,traditional
support_huber,4055,-0.02804680319685229,0.5260580377053948,0.8802613217276256,0.338347718865598,0.6845869297163996,1.062321280781544,0.8969173859432799,2.2946218057196774,1.0,0.7839704069050555,876.0,0.865296803652968,0.5096790824276077,0.3447488584474886,traditional
b_waveform_extra_trees,4055,-0.05438696048293826,0.5180266058015456,0.845652577966342,0.3442663378545006,0.6818742293464858,1.0470492799412696,0.8983970406905055,2.1552744077688217,1.0,0.606905055487053,1594.0,0.8808030112923463,0.5021002535291871,0.3506900878293601,ml
topology_only_sentinel,4055,-0.05341650505730065,0.5191053433534122,0.8404766057743377,0.33982737361282367,,,,,,,,,,,sentinel
run_family_sentinel,4055,-0.004028671584785225,0.5207429086192598,0.8942757555719613,0.35166461159062884,,,,,,,,,,,sentinel
shuffled_target_extra_trees,4055,-0.05808174334699732,0.521996746630176,0.8536244317448654,0.34845869297163995,,,,,,,,,,,sentinel
