delta,metric,ci95_low,ci95_high,point_delta
ml_minus_adaptive_template,bias_median_frac,-0.005085789108151936,0.0067690788534615545,0.0010393523973211763
ml_minus_adaptive_template,res68_abs_frac,-0.011482685592302939,-0.000841190691479158,-0.006870840894016905
ml_minus_adaptive_template,full_rms_frac,-0.015382256154834004,0.007292016291189011,-0.003976345992744212
ml_minus_adaptive_template,within_25pct_rate,-0.0012332291571394067,0.011094702737999817,0.004685573366214557
ml_minus_adaptive_template,coverage68,-0.008821049797062542,0.004125202508431316,-0.0019728729963008895
ml_minus_adaptive_template,mean_width68_frac,-0.013364085895117483,-0.006255004224632855,-0.009878366298329277
ml_minus_adaptive_template,coverage90,-0.00469530155380316,0.002859575297438368,-0.0007398273736128891
ml_minus_adaptive_template,mean_width90_frac,-0.05438612502522057,0.0012993458685311148,-0.0252744652703929
ml_minus_adaptive_template,abstention_rate,-0.1062620168953211,0.09366145237232237,-0.009617755856966781
ml_minus_adaptive_template,retained_coverage90,-0.010675463634052645,0.01124863375116293,0.002989506469195158
